,0_x,0_y,date
0,366.09,521.76,0
1,368.02,514.18,1
2,372.06,506.25,2
3,378.91,497.71,3
4,367.7,491.27,4
5,372.11,480.66,5
6,373.53,485.14,6
7,371.98,487.47,7
8,372.81,488.32,8
9,370.6,496.08,9
10,370.94,516.14,10
11,375.85,528.48,11
12,371.37,529.71,12
13,376.89,528.79,13
14,371.87,518.07,14
15,377.27,508.45,15
16,377.28,496.25,16
17,366.87,493.8,17
18,368.43,492.76,18
19,372.51,495.79,19
20,373.77,501.55,20
21,377.26,505.08,21
22,368.64,519.72,22
23,368.68,538.48,23
24,374.35,542.09,24
25,375.21,535.84,25
26,377.36,528.22,26
27,377.43,514.64,27
28,374.89,504.01,28
29,372.67,492.51,29
30,375.32,490.1,30
31,372.31,489.3,31
32,373.04,489.65,32
33,372.48,497.59,33
34,375.76,504.84,34
35,374.69,513.41,35
36,377.89,529.14,36
37,377.18,530.21,37
38,380.23,524.34,38
39,377.05,505.75,39
40,379.04,496.11,40
41,369.93,486.99,41
42,369.82,483.61,42
43,371.27,486.22,43
44,370.44,495.1,44
45,372.69,500.74,45
46,375.78,513.64,46
47,366.42,535.79,47
48,365.75,536.79,48
49,365.19,537.92,49
50,360.88,527.24,50
51,360.25,513.71,51
52,354.4,506.51,52
53,354.37,500.39,53
54,350.82,497.16,54
55,348.23,500.38,55
56,342.7,506.77,56
57,343.71,515.79,57
58,338.51,532.91,58
59,336.39,545.25,59
60,334.54,547.22,60
61,331.77,543.39,61
62,329.78,533.5,62
63,330.72,520.09,63
64,327.14,515.7,64
65,327.52,511.75,65
66,328.39,516.67,66
67,325.99,521.14,67
68,330.29,524.61,68
69,330.82,536.28,69
70,329.4,549.13,70
71,330.02,559.72,71
72,330.35,563.37,72
73,331.52,561.35,73
74,336.63,548.38,74
75,335.64,529.7,75
76,336.08,517.34,76
77,337.27,510.74,77
78,340.2,501.98,78
79,346.26,501.47,79
80,344.34,498.26,80
81,349.68,502.96,81
82,350.56,513.87,82
83,354.62,523.68,83
84,358.39,539.28,84
85,357.2,550.25,85
86,355.34,554.13,86
87,359.08,544.72,87
88,359.54,529.69,88
89,359.79,522.34,89
90,365.14,511.15,90
91,361.98,512.43,91
92,362.72,513.74,92
93,359,519.42,93
94,359.46,527.37,94
95,364.62,534.67,95
96,360.91,550.19,96
97,359.75,555.69,97
98,362.38,557.17,98
99,368.52,557.03,99
100,365.3,551.62,100
101,370.06,549.71,101
102,369.21,543.67,102
103,370.19,544.43,103
104,375.2,541.91,104
105,375.76,543.86,105
106,374.87,547.15,106
107,373.23,548.19,107
108,374.92,549.69,108
109,375.31,549.23,109
110,378.13,549.62,110
111,378.06,554.58,111
112,379.47,554.03,112
113,380.67,555.11,113
114,379.95,557.03,114
115,382.13,559.09,115
116,380.63,561.23,116
117,385.75,561.24,117
118,386.36,561.37,118
119,389.8,561.47,119
120,384.64,558.89,120
121,383.4,561.49,121
122,380.49,568.02,122
123,377.43,570.29,123
124,376.54,575.05,124
125,369.2,581.88,125
126,368.09,580.15,126
127,362.84,585.86,127
128,361.52,585.42,128
129,357.45,589.98,129
130,351.92,593.52,130
131,345.8,596.69,131
132,346.39,593.43,132
133,344.72,594.78,133
134,343.65,594.62,134
135,339.71,596.17,135
136,338.21,596.22,136
137,334.56,596.27,137
138,334.85,599.1,138
139,332,599.72,139
140,331.45,595.9,140
141,326.57,599.43,141
142,325.71,597.04,142
143,320.8,599.39,143
144,315.38,600.52,144
145,311.33,601.78,145
146,304.68,598,146
147,303.73,602.89,147
148,297.66,607.59,148
149,296.9,605.7,149
150,292.6,613.36,150
151,289.43,616.65,151
152,287.98,617.11,152
153,279.83,616.01,153
154,278.26,615.17,154
155,274.27,612.11,155
156,271.34,613.27,156
157,267.5,615.67,157
158,265.51,613.76,158
159,263.89,618.18,159
160,263.76,618.16,160
161,261.55,620.75,161
162,258.64,617.91,162
163,263.09,619.38,163
164,256.14,621.23,164
165,258.88,618.99,165
166,260.32,616.44,166
167,261.49,618.1,167
168,261.82,618.76,168
169,266.42,614.05,169
170,268.66,615.95,170
171,266.45,610.45,171
172,270.24,604.71,172
173,275.89,605.04,173
174,279.83,602.04,174
175,281.79,600.01,175
176,289.02,599.36,176
177,289.3,598.96,177
178,292.18,595.3,178
179,297.96,594.91,179
180,301.17,593.89,180
181,306.41,589.26,181
182,314.97,590.65,182
183,318.29,587.23,183
184,327,582.3,184
185,332.36,580.51,185
186,336.48,579.58,186
187,339.29,575.45,187
188,341.23,576.28,188
189,349.6,576.55,189
190,349.44,574.73,190
191,357.32,569.98,191
192,361.29,564.88,192
193,364.12,564.89,193
194,363.59,558.22,194
195,365.63,553.64,195
196,369.58,552.97,196
197,372.46,550.28,197
198,380.26,545.73,198
199,380.87,548.05,199
