left,right
"tensor([243.5239, 685.3361])","tensor([308.8745, 685.3361])"
"tensor([243.9447, 681.2350])","tensor([303.9678, 681.2350])"
"tensor([243.0819, 687.8751])","tensor([308.6745, 682.4091])"
"tensor([242.9121, 691.0677])","tensor([302.8415, 685.6196])"
"tensor([239.0003, 696.5427])","tensor([303.3738, 691.1782])"
"tensor([242.5150, 696.8318])","tensor([303.9117, 696.8318])"
"tensor([246.2908, 698.2206])","tensor([302.2172, 698.2206])"
"tensor([245.1060, 700.5615])","tensor([302.1331, 694.8588])"
"tensor([239.9635, 697.1219])","tensor([301.8815, 697.1219])"
"tensor([242.6438, 697.0695])","tensor([303.5737, 691.5305])"
"tensor([240.5355, 698.6334])","tensor([307.1534, 693.0820])"
"tensor([238.3930, 691.1223])","tensor([305.9037, 691.1223])"
"tensor([237.3403, 685.5322])","tensor([309.3001, 685.5322])"
"tensor([238.3964, 680.9023])","tensor([304.3724, 675.4043])"
"tensor([234.4428, 679.7013])","tensor([306.3714, 679.7013])"
"tensor([236.9197, 685.7773])","tensor([304.4581, 680.1491])"
"tensor([236.3306, 688.5119])","tensor([305.2693, 688.5119])"
"tensor([235.9023, 694.6310])","tensor([303.7557, 688.9766])"
"tensor([240.5723, 693.6084])","tensor([304.7691, 693.6084])"
"tensor([238.4681, 702.8945])","tensor([305.4922, 702.8945])"
"tensor([239.0434, 701.9437])","tensor([299.4396, 701.9437])"
"tensor([242.4759, 699.6227])","tensor([298.9669, 705.2719])"
"tensor([238.6183, 701.3661])","tensor([301.4199, 701.3661])"
"tensor([238.2112, 698.1050])","tensor([300.7211, 698.1050])"
"tensor([239.8526, 695.3564])","tensor([306.1582, 695.3564])"
"tensor([232.9977, 690.7095])","tensor([304.9203, 685.1770])"
"tensor([232.7879, 692.1743])","tensor([304.2905, 681.1738])"
"tensor([234.6574, 682.2073])","tensor([305.1307, 676.7863])"
"tensor([237.5277, 676.0103])","tensor([303.0299, 676.0103])"
"tensor([235.5842, 679.1561])","tensor([301.3911, 679.1561])"
"tensor([240.2353, 680.0498])","tensor([300.1541, 680.0498])"
"tensor([241.5703, 681.6926])","tensor([305.5572, 687.0248])"
"tensor([242.8934, 688.8500])","tensor([303.1051, 694.3238])"
"tensor([244.7132, 693.6705])","tensor([303.9349, 693.6705])"
"tensor([246.2010, 691.2741])","tensor([301.5712, 696.8111])"
"tensor([244.5744, 693.7951])","tensor([305.7036, 699.3524])"
"tensor([242.6837, 690.1573])","tensor([304.4821, 695.7753])"
"tensor([242.5181, 687.1938])","tensor([305.0693, 692.8803])"
"tensor([243.4913, 688.4095])","tensor([304.1463, 688.4095])"
"tensor([235.4561, 686.0932])","tensor([301.9349, 680.5533])"
"tensor([234.7994, 680.6669])","tensor([305.6766, 675.2148])"
"tensor([235.0606, 675.9474])","tensor([300.5567, 670.4894])"
"tensor([236.5075, 673.7795])","tensor([302.3250, 673.7795])"
"tensor([233.5066, 681.8391])","tensor([299.5734, 676.3336])"
"tensor([233.1706, 688.6820])","tensor([299.9001, 683.1212])"
"tensor([233.0409, 689.7778])","tensor([298.2965, 689.7778])"
"tensor([236.3026, 692.7515])","tensor([299.3594, 692.7515])"
"tensor([239.9081, 698.6364])","tensor([295.4233, 698.6364])"
"tensor([236.9420, 702.5892])","tensor([297.8701, 702.5892])"
"tensor([241.0916, 696.6508])","tensor([297.3427, 696.6508])"
"tensor([234.4943, 698.0682])","tensor([297.0008, 698.0682])"
"tensor([233.7247, 694.9661])","tensor([301.6107, 694.9661])"
"tensor([234.6304, 697.8317])","tensor([300.6476, 692.3303])"
"tensor([236.1341, 693.9203])","tensor([302.3029, 682.8922])"
"tensor([230.5656, 687.7338])","tensor([297.2033, 682.1806])"
"tensor([228.1005, 686.1933])","tensor([300.7157, 686.1933])"
"tensor([223.3036, 685.7712])","tensor([297.0747, 685.7712])"
"tensor([227.1939, 688.4921])","tensor([296.1306, 688.4921])"
"tensor([225.3699, 700.3694])","tensor([297.2949, 700.3694])"
"tensor([225.0295, 706.3632])","tensor([296.9545, 706.3632])"
"tensor([225.0535, 712.3569])","tensor([296.9785, 712.3569])"
"tensor([223.2199, 718.2353])","tensor([292.2545, 718.2353])"
"tensor([228.5250, 718.0961])","tensor([290.7974, 718.0961])"
"tensor([225.8890, 716.7443])","tensor([293.1646, 716.7443])"
"tensor([223.0146, 718.8571])","tensor([291.5602, 718.8571])"
"tensor([223.9991, 709.0566])","tensor([293.8291, 709.0566])"
"tensor([218.4934, 712.1021])","tensor([300.3115, 712.1021])"
"tensor([222.0674, 711.0554])","tensor([299.8439, 705.0726])"
"tensor([225.8530, 701.9328])","tensor([297.3270, 701.9328])"
"tensor([228.3945, 697.6655])","tensor([300.0420, 697.6655])"
"tensor([226.8889, 700.3694])","tensor([298.8139, 700.3694])"
"tensor([226.0146, 700.3694])","tensor([297.9396, 700.3694])"
"tensor([226.3146, 712.3569])","tensor([298.2396, 706.3632])"
"tensor([225.9764, 718.3506])","tensor([297.9014, 712.3569])"
"tensor([232.0124, 724.3444])","tensor([297.9437, 718.3506])"
"tensor([230.9716, 730.2611])","tensor([295.8318, 724.3647])"
"tensor([235.0943, 733.3891])","tensor([298.1950, 727.6526])"
"tensor([234.1894, 729.4099])","tensor([296.9479, 729.4099])"
"tensor([234.4780, 728.7115])","tensor([298.1724, 722.9211])"
"tensor([232.2858, 728.5392])","tensor([303.4499, 722.6089])"
"tensor([231.0286, 721.7404])","tensor([302.6951, 721.7404])"
"tensor([229.4491, 722.3680])","tensor([301.1779, 716.3906])"
"tensor([230.9716, 714.7432])","tensor([302.5356, 714.7432])"
"tensor([233.9259, 712.3569])","tensor([305.8509, 706.3632])"
"tensor([230.9718, 718.3506])","tensor([302.8969, 712.3569])"
"tensor([234.5002, 724.3444])","tensor([300.4315, 712.3569])"
"tensor([234.1853, 730.3381])","tensor([306.1104, 724.3444])"
"tensor([230.2492, 736.3319])","tensor([302.1742, 724.3444])"
"tensor([235.2052, 738.5787])","tensor([299.7617, 726.8412])"
"tensor([235.4847, 740.6796])","tensor([299.2125, 734.8862])"
"tensor([234.2558, 737.4638])","tensor([303.4752, 737.4638])"
"tensor([234.3046, 739.7993])","tensor([304.8463, 728.0424])"
"tensor([235.7171, 730.1336])","tensor([301.6299, 730.1336])"
"tensor([233.3743, 730.3381])","tensor([305.2993, 730.3381])"
"tensor([229.1886, 724.3444])","tensor([301.1136, 718.3506])"
"tensor([230.1135, 718.3506])","tensor([302.0385, 718.3506])"
"tensor([227.6340, 718.3506])","tensor([299.5591, 712.3569])"
"tensor([226.1759, 724.3444])","tensor([298.1010, 718.3506])"
"tensor([225.1932, 724.3444])","tensor([297.1182, 718.3506])"
"tensor([225.1926, 730.3381])","tensor([297.1176, 718.3506])"
"tensor([226.3875, 736.3319])","tensor([292.3187, 724.3444])"
"tensor([229.6290, 734.2565])","tensor([293.3021, 734.2565])"
"tensor([230.9772, 739.3395])","tensor([294.0961, 733.6015])"
"tensor([227.8495, 729.9337])","tensor([292.6806, 729.9337])"
"tensor([226.0100, 724.3444])","tensor([291.9412, 724.3444])"
"tensor([225.5391, 724.3444])","tensor([297.4641, 724.3444])"
"tensor([224.2835, 724.3444])","tensor([296.2085, 718.3506])"
"tensor([222.5696, 723.2341])","tensor([294.3845, 717.2495])"
"tensor([221.5442, 718.3506])","tensor([293.4692, 712.3569])"
"tensor([220.8755, 718.3506])","tensor([292.8005, 718.3506])"
"tensor([219.7980, 724.3444])","tensor([291.7230, 724.3444])"
"tensor([219.5590, 730.3381])","tensor([291.4840, 730.3381])"
"tensor([219.5731, 734.4714])","tensor([291.3165, 728.4928])"
"tensor([221.4192, 731.8506])","tensor([286.4205, 731.8506])"
"tensor([221.5593, 734.2524])","tensor([286.2516, 728.3713])"
"tensor([222.0481, 730.3381])","tensor([287.9794, 730.3381])"
"tensor([222.6881, 724.3444])","tensor([294.6131, 730.3381])"
"tensor([220.0905, 730.3381])","tensor([292.0155, 724.3444])"
"tensor([221.4243, 725.9495])","tensor([292.9173, 725.9495])"
"tensor([223.5681, 721.1110])","tensor([295.1722, 721.1110])"
"tensor([222.2559, 722.0272])","tensor([293.9509, 722.0272])"
"tensor([223.9398, 727.5889])","tensor([295.5942, 727.5889])"
"tensor([227.2505, 742.3256])","tensor([293.1817, 736.3319])"
"tensor([226.9480, 748.3194])","tensor([292.8793, 736.3319])"
"tensor([225.1538, 748.3194])","tensor([291.0850, 742.3256])"
"tensor([232.3376, 748.3194])","tensor([286.2814, 742.3256])"
"tensor([228.8819, 742.3256])","tensor([288.8194, 742.3256])"
"tensor([230.0534, 742.3256])","tensor([289.9909, 736.3319])"
