left,right
"tensor([526.3966, 686.7668])","tensor([566.5466, 686.7668])"
"tensor([526.1105, 686.7668])","tensor([566.2606, 686.7668])"
"tensor([522.7368, 671.7106])","tensor([572.9243, 671.7106])"
"tensor([524.2427, 651.6356])","tensor([569.4116, 651.6356])"
"tensor([526.8378, 641.5981])","tensor([566.9878, 636.5794])"
"tensor([525.1990, 641.5981])","tensor([565.3491, 641.5981])"
"tensor([525.5011, 641.5981])","tensor([565.6511, 641.5981])"
"tensor([526.8175, 646.6169])","tensor([566.9675, 651.6356])"
"tensor([525.4767, 656.6544])","tensor([570.6455, 661.6731])"
"tensor([529.2019, 676.7294])","tensor([569.3519, 676.7294])"
"tensor([528.6891, 676.7294])","tensor([568.8392, 676.7294])"
"tensor([528.4412, 681.7481])","tensor([563.5724, 681.7481])"
"tensor([532.6166, 676.7294])","tensor([567.7479, 676.7294])"
"tensor([524.4194, 666.6918])","tensor([569.5882, 666.6918])"
"tensor([524.3932, 666.6918])","tensor([569.5620, 666.6918])"
"tensor([523.6781, 656.6544])","tensor([568.8469, 651.6356])"
"tensor([526.6730, 646.6169])","tensor([566.8231, 651.6356])"
"tensor([526.2229, 646.6169])","tensor([566.3729, 646.6169])"
"tensor([526.6277, 651.6356])","tensor([566.7778, 651.6356])"
"tensor([526.6931, 651.6356])","tensor([566.8431, 651.6356])"
"tensor([525.2476, 666.6918])","tensor([565.3976, 666.6918])"
"tensor([528.1876, 676.7294])","tensor([563.3188, 671.7106])"
"tensor([525.8564, 681.7481])","tensor([560.9877, 681.7481])"
"tensor([529.9327, 681.7481])","tensor([565.0640, 681.7481])"
"tensor([525.6541, 681.7481])","tensor([560.7853, 681.7481])"
"tensor([529.2885, 681.7481])","tensor([564.4197, 676.7294])"
"tensor([522.2959, 671.7106])","tensor([567.4647, 666.6918])"
"tensor([526.5446, 656.6544])","tensor([571.7134, 661.6731])"
"tensor([530.1243, 651.6356])","tensor([570.2744, 651.6356])"
"tensor([531.6212, 651.6356])","tensor([571.7712, 651.6356])"
"tensor([531.5095, 651.6356])","tensor([571.6595, 651.6356])"
"tensor([536.1979, 656.6544])","tensor([576.3480, 656.6544])"
"tensor([534.8546, 671.7106])","tensor([575.0046, 666.6918])"
"tensor([538.5268, 676.7294])","tensor([573.6581, 676.7294])"
"tensor([540.8446, 681.7481])","tensor([575.9759, 676.7294])"
"tensor([537.7184, 676.7294])","tensor([572.8497, 676.7294])"
"tensor([538.2709, 676.7294])","tensor([573.4022, 676.7294])"
"tensor([537.1089, 676.7294])","tensor([577.2590, 671.7106])"
"tensor([536.1630, 656.6544])","tensor([581.3318, 656.6544])"
"tensor([537.3400, 651.6356])","tensor([582.5087, 646.6169])"
"tensor([537.4772, 646.6169])","tensor([582.6459, 646.6169])"
"tensor([537.4728, 651.6356])","tensor([582.6415, 646.6169])"
"tensor([540.5212, 666.6918])","tensor([580.6712, 661.6731])"
"tensor([539.9307, 666.6918])","tensor([580.0807, 661.6731])"
"tensor([542.9160, 681.7481])","tensor([578.0473, 681.7481])"
"tensor([541.3044, 681.7481])","tensor([576.4357, 676.7294])"
"tensor([546.1745, 681.7481])","tensor([581.3057, 676.7294])"
"tensor([545.9642, 681.7481])","tensor([581.0955, 676.7294])"
"tensor([540.5275, 671.7106])","tensor([580.6776, 666.6918])"
"tensor([538.3254, 656.6544])","tensor([583.4941, 651.6356])"
"tensor([538.0585, 656.6544])","tensor([583.2272, 651.6356])"
"tensor([533.8452, 651.6356])","tensor([584.0327, 651.6356])"
"tensor([538.2131, 651.6356])","tensor([578.3630, 651.6356])"
"tensor([537.0623, 661.6731])","tensor([577.2123, 656.6544])"
"tensor([536.6412, 671.7106])","tensor([581.8099, 671.7106])"
"tensor([536.7469, 671.7106])","tensor([581.9157, 671.7106])"
"tensor([536.7460, 671.7106])","tensor([581.9148, 671.7106])"
"tensor([541.3619, 686.7668])","tensor([576.4931, 686.7668])"
"tensor([537.2805, 676.7294])","tensor([577.4305, 676.7294])"
"tensor([536.0567, 671.7106])","tensor([576.2067, 676.7294])"
"tensor([532.8268, 666.6918])","tensor([577.9957, 656.6544])"
"tensor([532.9250, 666.6918])","tensor([578.0938, 656.6544])"
"tensor([532.1492, 656.6544])","tensor([577.3179, 651.6356])"
"tensor([531.9609, 651.6356])","tensor([572.1109, 651.6356])"
"tensor([530.3943, 651.6356])","tensor([570.5444, 656.6544])"
"tensor([530.2648, 666.6918])","tensor([570.4149, 666.6918])"
"tensor([530.0643, 666.6918])","tensor([570.2143, 666.6918])"
"tensor([532.0042, 676.7294])","tensor([572.1542, 676.7294])"
"tensor([532.9106, 681.7481])","tensor([568.0418, 681.7481])"
"tensor([533.1976, 681.7481])","tensor([568.3288, 676.7294])"
"tensor([530.9810, 676.7294])","tensor([571.1310, 676.7294])"
"tensor([527.1013, 666.6918])","tensor([577.2889, 666.6918])"
"tensor([526.7676, 666.6918])","tensor([576.9551, 666.6918])"
"tensor([525.0018, 651.6356])","tensor([575.1893, 651.6356])"
"tensor([526.5710, 646.6169])","tensor([571.7398, 646.6169])"
"tensor([526.6877, 646.6169])","tensor([571.8565, 646.6169])"
"tensor([527.8328, 656.6544])","tensor([573.0015, 656.6544])"
"tensor([530.5142, 671.7106])","tensor([570.6642, 666.6918])"
"tensor([534.2495, 681.7481])","tensor([569.3807, 676.7294])"
"tensor([528.7219, 671.7106])","tensor([568.8719, 666.6918])"
"tensor([528.3510, 671.7106])","tensor([573.5197, 666.6918])"
"tensor([532.1408, 651.6356])","tensor([572.2908, 651.6356])"
"tensor([532.5652, 651.6356])","tensor([572.7153, 651.6356])"
"tensor([531.4202, 651.6356])","tensor([571.5701, 651.6356])"
"tensor([531.2839, 651.6356])","tensor([571.4339, 651.6356])"
"tensor([528.9221, 666.6918])","tensor([574.0909, 661.6731])"
"tensor([529.3061, 666.6918])","tensor([574.4748, 661.6731])"
"tensor([536.5172, 676.7294])","tensor([571.6484, 676.7294])"
"tensor([536.5463, 676.7294])","tensor([571.6776, 681.7481])"
"tensor([536.6593, 676.7294])","tensor([571.7906, 681.7481])"
"tensor([535.8517, 676.7294])","tensor([570.9829, 676.7294])"
"tensor([530.8420, 671.7106])","tensor([576.0108, 666.6918])"
"tensor([530.8644, 671.7106])","tensor([571.0144, 666.6918])"
"tensor([530.0039, 651.6356])","tensor([575.1727, 646.6169])"
"tensor([527.5823, 656.6544])","tensor([572.7510, 651.6356])"
"tensor([527.5190, 656.6544])","tensor([572.6878, 651.6356])"
"tensor([528.1845, 661.6731])","tensor([573.3533, 656.6544])"
"tensor([526.6843, 671.7106])","tensor([571.8530, 666.6918])"
"tensor([526.4971, 671.7106])","tensor([571.6658, 666.6918])"
"tensor([526.4682, 671.7106])","tensor([571.6369, 666.6918])"
"tensor([533.1125, 681.7481])","tensor([568.2437, 681.7481])"
"tensor([533.7584, 681.7481])","tensor([568.8897, 681.7481])"
"tensor([524.6246, 671.7106])","tensor([574.8121, 666.6918])"
"tensor([528.8013, 671.7106])","tensor([573.9700, 666.6918])"
"tensor([528.9826, 671.7106])","tensor([574.1513, 666.6918])"
"tensor([528.0193, 651.6356])","tensor([573.1881, 651.6356])"
"tensor([528.8018, 661.6731])","tensor([568.9517, 656.6544])"
"tensor([528.9697, 671.7106])","tensor([569.1197, 661.6731])"
