,0_x,0_y,date
0,374.21,267.02,0
1,373.28,247.37,1
2,375.87,225.67,2
3,379.64,210.41,3
4,376.5,199.39,4
5,376.9,193.76,5
6,377.41,197.17,6
7,381.11,210.51,7
8,382.21,221.08,8
9,381.52,247.75,9
10,387.06,270.44,10
11,386.89,294.3,11
12,386.19,319.08,12
13,393.04,335.12,13
14,386.1,322.84,14
15,387.96,304.43,15
16,380.84,271.05,16
17,379.35,256.64,17
18,377.15,244.81,18
19,373.92,228.09,19
20,366.64,226.71,20
21,367.62,224.28,21
22,369.01,230.6,22
23,364.04,244.59,23
24,365.77,258.86,24
25,365.8,277.07,25
26,365.6,301.28,26
27,358.49,312.93,27
28,365.42,310.23,28
29,365.54,285.61,29
30,365.49,261,30
31,361.37,252.46,31
32,369.68,242.51,32
33,361.83,230.03,33
34,360.6,229.24,34
35,363.45,234.12,35
36,362.53,248,36
37,358.5,256.73,37
38,365.13,276.48,38
39,365.24,294.54,39
40,365.16,314.59,40
41,364.94,332.92,41
42,367.14,330.01,42
43,372.12,309.6,43
44,374,288.27,44
45,378.26,277.76,45
46,372.7,261.43,46
47,379.48,259.67,47
48,373.34,257.03,48
49,370.06,256.59,49
50,374.11,257.04,50
51,383.18,260.52,51
52,379.45,262.63,52
53,383.14,277.34,53
54,389.97,286.69,54
55,391.62,296.55,55
56,395.95,296.35,56
57,399.81,289.2,57
58,400.41,285.39,58
59,399.48,275.94,59
60,397.81,263.88,60
61,390.22,257.27,61
62,390.51,259.31,62
63,386.46,257.19,63
64,390.46,258.71,64
65,390.87,262.39,65
66,386.01,268.4,66
67,386.39,274.98,67
68,386.61,277.68,68
69,384.59,276.76,69
70,381.1,275.51,70
71,385.32,270.98,71
72,382.4,271.14,72
73,380.94,264.6,73
74,380.16,258.71,74
75,371.97,260.5,75
76,365.28,258.22,76
77,359.56,261.15,77
78,346.49,265.19,78
79,328.48,275.96,79
80,325.3,271.56,80
81,320.24,273.14,81
82,312.36,276.95,82
83,313.9,270.39,83
84,313.37,272.24,84
85,317.34,281.11,85
86,317.5,285.67,86
87,322.89,295.07,87
88,325.65,297.82,88
89,333.65,309.16,89
90,337,316.37,90
91,344.1,319.1,91
92,345.15,319.66,92
93,340.03,319.79,93
94,342.71,324.14,94
95,343.23,323.67,95
96,340.99,323.9,96
97,334.51,326.75,97
98,334.03,328.13,98
99,335.03,335.02,99
100,331.74,333.46,100
101,333.48,341.22,101
102,336.42,337.36,102
103,344.08,339.86,103
104,342.85,334.96,104
105,346.77,332.94,105
106,356.57,333.99,106
107,364.54,328.6,107
108,372.38,327.53,108
109,378.83,319.83,109
110,396.11,318.55,110
111,404.9,320.33,111
112,405.55,315.98,112
113,412.76,315.82,113
114,419.15,316.17,114
115,424.07,311.13,115
116,421.41,309.39,116
117,418.52,314.4,117
118,424.5,316.56,118
119,422.14,319.55,119
120,426.12,318.25,120
121,427.3,324.23,121
122,423.14,322.17,122
123,425.94,319.16,123
124,427.24,323.7,124
125,428.59,324.66,125
126,427.24,330.18,126
127,423.61,329.61,127
128,420.01,331.1,128
129,416.46,339.5,129
130,409.84,341.04,130
131,398.56,334.16,131
132,387.47,339.09,132
133,380.5,345.47,133
134,373.18,343.79,134
135,365.27,343.41,135
136,362.89,341.16,136
137,360.41,348.1,137
138,357.87,343.74,138
139,356.61,344.61,139
140,354.39,346.15,140
141,346.53,347.46,141
142,351.27,343.31,142
143,351.75,347.85,143
144,352.11,344.49,144
145,357.51,346.44,145
146,355.05,348.7,146
147,364.25,347.67,147
148,370.58,345.21,148
149,378.98,350.62,149
150,385.54,351.98,150
151,391.43,348.62,151
152,392.79,349.54,152
153,395.42,355.9,153
154,397.77,355.32,154
155,407.28,353.89,155
156,405.04,351.69,156
157,407.99,356.34,157
158,400.17,350.88,158
159,389.82,351.51,159
160,388.65,348.89,160
161,386.69,350.84,161
162,381.12,356.59,162
163,380.42,351.61,163
164,381.55,350.74,164
165,378.07,346.93,165
166,374.1,344.33,166
167,375.48,348.67,167
168,374.05,342.5,168
169,369.7,343.85,169
170,371.28,344.08,170
171,368.62,344.89,171
172,366.93,338.58,172
173,369.95,338.8,173
174,363.62,346.79,174
175,370.64,349.6,175
176,366.35,358.7,176
177,370.14,361.58,177
178,373.7,372.14,178
179,372.49,375.99,179
180,364.75,369,180
181,365.15,343.86,181
182,362.31,314.96,182
183,356.21,293.39,183
184,355.99,271.82,184
185,354.68,253.98,185
186,351.22,247.67,186
187,352.98,246.45,187
188,347.06,242.31,188
189,345.18,246.96,189
190,344.31,262.89,190
191,344.66,280.27,191
192,345.49,297.88,192
193,344.8,327.68,193
194,345.19,338.12,194
195,345.07,341.97,195
196,337.56,319.16,196
197,338.5,298.16,197
198,339.94,276.98,198
199,337,258.84,199
200,340.15,252.68,200
201,336.3,247.98,201
202,333.87,242.25,202
203,333.45,253.21,203
204,339.9,268.72,204
205,338.36,280.3,205
206,339.14,296.74,206
207,344.64,325.2,207
208,344.73,329.1,208
209,344.3,317.74,209
210,345.19,291.18,210
211,344.97,272.89,211
212,347.53,257.19,212
213,343.67,245.22,213
214,346.6,240.47,214
215,349.47,248,215
216,348.07,249.06,216
217,351.71,262.61,217
218,351.97,280.38,218
219,352.25,299.78,219
220,351.6,324.42,220
221,358.52,327.02,221
222,351.61,317.56,222
223,358.54,295.37,223
224,351.79,272.31,224
225,351.66,264.02,225
226,354.76,252.76,226
227,348.18,245.87,227
228,353.54,249.02,228
229,351.49,256.33,229
230,358.51,258.29,230
231,358.52,279.49,231
232,358.55,298.53,232
233,358.51,317.13,233
234,365.34,324.06,234
235,358.56,303.45,235
236,358.52,283.69,236
237,358.51,265.32,237
238,353.37,251.13,238
239,349.87,247.97,239
240,349.22,241.94,240
241,349.38,248.28,241
242,344.25,261.36,242
243,344.56,275.74,243
244,345.24,292.94,244
245,345.84,312.15,245
246,351.85,323.91,246
247,351.95,329.05,247
248,351.78,327.14,248
249,351.7,321.78,249
250,354.54,317.75,250
251,355.22,310.66,251
252,353.69,315.24,252
253,353.14,312.95,253
254,357.45,318.85,254
255,353.96,327.15,255
256,357.85,332.84,256
257,360.41,343.92,257
258,357.13,340.94,258
259,360.75,348.72,259
260,362.17,350.25,260
261,360.9,348.51,261
262,361.87,351.68,262
263,361.91,351.85,263
264,367.36,350.1,264
265,368.39,351.04,265
266,370.08,355.61,266
267,372.56,355.09,267
268,367.05,354.87,268
269,368.59,355.39,269
270,372.06,359.25,270
271,364.49,363.66,271
272,368.19,358.5,272
273,363.33,364.77,273
274,364.21,361.67,274
275,358.6,363.36,275
276,355.85,356.57,276
277,357.78,366.35,277
278,348.56,364.65,278
279,346.23,369.35,279
280,338.22,368.3,280
281,333.63,373.5,281
282,332.26,373.45,282
283,321.21,373.03,283
284,315.05,375.68,284
285,309.3,375.59,285
286,298.84,375.99,286
287,295.08,379.93,287
288,289.09,381.26,288
289,285.4,371.95,289
290,276.91,376.57,290
291,274.39,374.48,291
292,278.55,377.67,292
293,276.01,375.75,293
294,270.35,375.64,294
295,270.06,373.38,295
296,268.72,378.33,296
297,268.6,378.76,297
298,272.55,381.55,298
299,273.24,378.58,299
300,276.59,383.06,300
301,282.68,383,301
302,283.53,380.53,302
303,284.62,380.87,303
304,285.38,377.34,304
305,285.96,380.48,305
306,288.3,382.3,306
307,298.5,378.71,307
308,301.24,380.34,308
309,306.92,384.37,309
310,315.96,384.94,310
311,319.37,387.3,311
312,327.84,390.84,312
313,327.45,390.41,313
314,330.87,397.21,314
315,333.43,397.37,315
316,342.25,395.19,316
317,344.6,389.56,317
318,343.64,398.14,318
319,348.52,398.09,319
320,352.93,389.46,320
321,352.2,393.97,321
322,356.09,398.29,322
323,363.02,394.85,323
324,356.05,398.83,324
325,356.08,396.88,325
326,361.36,400.81,326
327,357.41,397.33,327
328,358.95,398.76,328
329,356.86,399.31,329
330,357.25,397.92,330
331,358.56,401.05,331
332,358.83,401.36,332
333,360.13,399.84,333
334,355.18,394.74,334
335,350.71,390.14,335
336,351.96,390.51,336
337,353.07,390.02,337
338,351.57,391.69,338
339,354.14,393.89,339
340,353.41,389.7,340
341,352.1,392.66,341
342,352.06,391.38,342
343,358.55,390.12,343
344,358.55,391.99,344
345,358.55,391.47,345
346,358.55,391.88,346
347,358.55,389.95,347
348,365.08,389.37,348
349,358.55,390.94,349
350,364.95,384.95,350
351,358.55,386.02,351
352,365.03,394.19,352
353,358.55,401.47,353
354,364.99,412.38,354
355,364.92,417.33,355
356,364.8,419.46,356
357,365.04,414.6,357
358,358.53,394.58,358
359,359.93,371.33,359
360,352.95,340.78,360
361,361.34,317.75,361
362,358.77,310.54,362
363,358.16,295.49,363
364,358.01,292.92,364
365,348.61,290.68,365
366,359.1,304.63,366
367,358.47,307.43,367
368,358.49,329.3,368
369,365.4,350.8,369
370,358.52,378.08,370
371,365.31,394.93,371
372,358.52,381.93,372
373,365.53,363.14,373
374,365.59,340.92,374
375,365.72,321.11,375
376,366.24,300.36,376
377,365.24,292.67,377
378,367.36,285.41,378
379,362.4,292.44,379
380,365.47,295.67,380
381,365.66,316.42,381
382,365.57,329.43,382
383,365.31,353.08,383
384,372.08,376.45,384
385,371.9,382.04,385
386,372.27,369.95,386
387,365.46,345.31,387
388,365.51,325.43,388
389,368.04,307.03,389
390,367.99,297.9,390
391,365.53,294.55,391
392,366.45,292.62,392
393,367.66,300.42,393
394,365.52,318.28,394
395,358.49,335.42,395
396,365.25,355.21,396
397,365.28,379.31,397
398,371.87,390.91,398
399,371.97,384.14,399
400,365.37,362.66,400
401,365.56,337.88,401
402,368.7,319.84,402
403,372.17,309.59,403
404,371.62,299.76,404
405,369.1,296.36,405
406,366.95,302.29,406
407,368.43,311.32,407
408,365.64,326.5,408
409,365.49,346.86,409
410,372.01,368.2,410
411,377.34,384.32,411
412,378.73,395.94,412
413,378.48,393.66,413
414,378.65,386.23,414
415,378.43,380.87,415
416,374.49,378.04,416
417,374.88,369.71,417
418,373.63,372.2,418
419,369.03,371.08,419
420,369.16,375.95,420
421,365.78,371.6,421
422,363.01,375.06,422
423,357.12,375.9,423
424,354.75,376.24,424
425,352.52,375.56,425
426,348.97,375.5,426
427,342.64,375.02,427
428,339.44,375.95,428
429,338.84,379.23,429
430,330.71,378.22,430
431,328.12,376.56,431
432,321.97,379.43,432
433,321.38,381.45,433
434,317.6,380.55,434
435,317.51,383.19,435
436,317.42,382.35,436
437,316.21,380.13,437
438,315.53,384.03,438
439,317.01,383.46,439
440,312.11,377.15,440
441,313.49,377.72,441
442,315.78,377.35,442
443,312.87,374.32,443
444,315.86,375.69,444
445,319.9,374.28,445
446,310.08,373.21,446
447,318.37,374.32,447
448,318.21,370.84,448
449,325.39,369.87,449
450,325.07,374.72,450
451,331.52,373.25,451
452,338.18,376.15,452
453,331.72,379.75,453
454,338.32,388.92,454
455,338.52,397.59,455
456,338.9,406.91,456
457,339.13,404.12,457
458,345.57,388.75,458
459,340.52,373.1,459
460,345.39,344.79,460
461,345.91,327.11,461
462,345.05,310.46,462
463,344.72,296.91,463
464,346.24,292.72,464
465,352.81,293.73,465
466,347.51,300.82,466
467,351.29,313.98,467
468,358.49,336.88,468
469,358.51,355.5,469
470,358.52,375.13,470
471,358.53,396.06,471
472,365.19,393.18,472
473,358.51,365.54,473
474,358.49,347.01,474
475,356.89,331.77,475
476,359.49,316.68,476
477,361.53,308.82,477
478,363.11,311.53,478
479,360.79,315.93,479
480,358.27,318.06,480
481,365.57,337.36,481
482,365.45,354.65,482
483,365.33,372.37,483
484,365.27,388.05,484
485,365.24,385.23,485
486,365.45,368.18,486
487,365.4,346.87,487
488,365.61,330.96,488
489,361.23,328.51,489
490,369.24,322.92,490
491,363.4,324.04,491
492,365.61,328.19,492
493,365.5,344.55,493
494,365.38,355.94,494
495,365.32,372.97,495
496,365.25,390.98,496
497,365.24,392.62,497
498,372.12,373.57,498
499,365.23,350.69,499
500,365.54,338.46,500
501,364.83,323.77,501
502,365.72,314.84,502
503,365.61,321.55,503
504,365.54,322.91,504
505,365.55,331.92,505
506,365.44,356.08,506
507,372.24,365.34,507
508,372,388.62,508
509,371.94,392.88,509
510,371.9,382.06,510
511,372.25,364.81,511
512,371.47,346.52,512
513,379.89,332.01,513
514,373.44,327.1,514
515,377.93,320.86,515
516,376.51,326.35,516
517,375.01,335.43,517
518,379.48,347.98,518
519,378.82,364.7,519
520,378.51,392.62,520
521,385.16,399.35,521
522,378.21,399.67,522
523,378.78,379.95,523
524,379.37,359.71,524
525,378.71,343.59,525
526,380.79,328.76,526
527,379.06,326.15,527
528,383.85,321.32,528
529,385.81,323.23,529
530,387.03,339.61,530
531,386.61,350.26,531
532,384.96,373.13,532
533,390.06,393.14,533
534,386.98,407.13,534
535,391.42,396.83,535
536,386.95,381.34,536
537,384.57,358.05,537
538,390.25,346.89,538
539,385.56,338.17,539
540,386.59,333.96,540
541,387.23,336.39,541
542,388.15,342.19,542
543,378.4,354.13,543
544,382.84,366.36,544
545,383.73,379.93,545
546,393.15,401.93,546
547,390.92,418.53,547
548,399.66,439.58,548
549,398.89,440.91,549
550,401.92,438.8,550
551,400.83,439.98,551
552,395.55,440.47,552
553,400.58,441.05,553
554,404.19,438.22,554
555,400.05,440.1,555
556,390.79,441.16,556
557,391.72,438.71,557
558,389.41,433.45,558
559,389.57,439.59,559
560,384.5,435.46,560
561,386.8,430.74,561
562,384.86,432.29,562
563,385.22,428.1,563
564,378.42,423,564
565,378.32,427.63,565
566,371.54,427.17,566
567,371.47,424.03,567
568,371.25,419.04,568
569,358.57,421.27,569
570,364.9,418.61,570
571,365.19,418.1,571
572,361.22,416.92,572
573,360.73,418.86,573
574,359.36,419.06,574
575,359.18,420.56,575
576,356.18,417.85,576
577,358.66,416.14,577
578,352.33,418.65,578
579,354.63,417.45,579
580,357.04,414.85,580
581,358.4,417.27,581
582,353.99,416.09,582
583,352.01,411.25,583
584,350.43,415.05,584
585,350.12,415.15,585
586,350.4,411.12,586
587,352.29,413.49,587
588,352.32,417.28,588
589,352.87,416,589
590,355.09,416.94,590
591,351.95,415.91,591
592,359.76,411.72,592
593,355.03,410.34,593
594,357.57,411.43,594
595,358.41,411.81,595
596,359.87,414.62,596
597,359.03,416.59,597
598,355.28,413.36,598
599,363.54,416.72,599
600,360.15,409.82,600
601,362.86,411.23,601
602,358.65,412.63,602
603,367.53,409.91,603
604,363.01,406.96,604
605,366.59,405.04,605
606,367.31,408.74,606
607,369.37,406.03,607
608,365.09,408.36,608
609,366.06,403.18,609
610,366.59,403.79,610
611,365.57,409.88,611
612,371.43,402.43,612
613,371.46,407.14,613
614,365.05,406.48,614
615,371.4,398.67,615
616,371.43,402.8,616
617,371.38,399.74,617
618,371.43,402.65,618
619,371.46,400.43,619
620,371.65,406.73,620
621,377.83,410.9,621
622,378.04,413.58,622
623,383.96,420.86,623
624,383.79,433.13,624
625,383.49,443.66,625
626,384.52,450.97,626
627,383.25,445.45,627
628,380.05,432.8,628
629,381.68,406.56,629
630,380.79,382.57,630
631,377.46,359.68,631
632,382.04,344.37,632
633,383.04,327.97,633
634,378.7,321.37,634
635,380.53,317.16,635
636,378.45,323.61,636
637,379.52,327.73,637
638,379.58,343.29,638
639,385.64,362.64,639
640,385.06,382.97,640
641,384.41,405.48,641
642,390.29,427.98,642
643,384,426.03,643
644,384.68,409.09,644
645,385.41,384.35,645
646,381.51,359.37,646
647,382.88,343.87,647
648,380.85,326.99,648
649,379.07,321.27,649
650,377.55,316.97,650
651,376.99,321.34,651
652,375.65,329.47,652
653,374.71,345.84,653
654,372.19,368.5,654
655,371.85,392.66,655
656,377.94,412.05,656
657,384.1,422.58,657
658,377.64,413.18,658
659,384.87,389.3,659
660,385.96,372.21,660
661,379.73,350.68,661
662,379.98,339.49,662
663,377.55,324.75,663
664,370.01,327.6,664
665,376.71,328.86,665
666,372.74,330.49,666
667,372.61,346.51,667
668,372.2,367.73,668
669,378.03,388.53,669
670,377.81,405.47,670
671,386.01,418.7,671
672,379.79,420.29,672
673,382.01,396.25,673
674,385.41,377.57,674
675,386.54,359.67,675
676,387.17,338.6,676
677,383.35,329.55,677
678,387.9,326.23,678
679,386.53,328.04,679
680,387.59,335.3,680
681,386.96,345.58,681
682,393,360.47,682
683,389.85,390.21,683
684,393.79,402.51,684
685,393.37,419.77,685
686,390.9,415.43,686
687,389.08,399.01,687
688,385.45,376.19,688
689,386.22,363.06,689
690,386.87,341.33,690
691,385.47,332.44,691
692,388.11,329.68,692
693,385.99,332.4,693
694,382.9,336.64,694
695,385,350.83,695
696,384.66,367.16,696
697,385.05,383.28,697
698,384.76,406.36,698
699,384.09,422.78,699
700,390.29,434.29,700
701,390.25,428.89,701
702,390.72,422.58,702
703,387.95,411.93,703
704,391.05,412.79,704
705,389.93,404.31,705
706,391.45,399.96,706
707,387.02,396.69,707
708,383.54,404.31,708
709,377.02,405.76,709
710,378.3,406.21,710
711,372.98,403.82,711
712,373.75,405.19,712
713,367.87,410.65,713
714,366.61,409.32,714
715,362.54,415.68,715
716,363.52,419.71,716
717,354.5,421.86,717
718,356.7,423.04,718
719,356.03,423.33,719
720,347.82,419.65,720
721,350.34,423.98,721
722,346.63,422.93,722
723,343.6,422.15,723
724,341.71,425.46,724
725,339.87,422.45,725
726,342.04,423.15,726
727,334.74,422.32,727
728,331.79,425.04,728
729,327.71,428.7,729
730,329.46,427.38,730
731,332.65,425.21,731
732,327.84,426.07,732
733,328.75,427.7,733
734,327.04,425.34,734
735,330.41,427.19,735
736,329.28,421.91,736
737,332.58,428.8,737
738,331.17,423.28,738
739,332.59,418.76,739
740,337.91,417.39,740
741,336.7,419.31,741
742,339.38,415.1,742
743,339.4,415.99,743
744,345.88,415.22,744
745,345.93,418.58,745
746,345.88,415.54,746
747,352.21,420.43,747
748,358.56,417.42,748
749,358.56,418.58,749
750,358.56,423.73,750
751,358.56,419.26,751
752,358.56,421.55,752
753,358.57,422.53,753
754,364.83,427.86,754
755,364.74,434.93,755
756,370.69,443.65,756
757,370.75,445.12,757
758,371.69,439.5,758
759,371.18,414.41,759
760,368.24,397.42,760
761,365.64,371.65,761
762,375.45,359.15,762
763,377.93,353.08,763
764,372.2,343.22,764
765,376.88,345.82,765
766,374.76,353.52,766
767,372.59,363.24,767
768,371.92,381.27,768
769,378.17,401.66,769
770,377.59,421.78,770
771,377.16,441.97,771
772,376.88,448.74,772
773,377.05,435.01,773
774,377.8,418.46,774
775,371.94,386.34,775
776,375.43,369.4,776
777,375.76,355.8,777
778,373.7,347.94,778
779,377.23,340.52,779
780,375.18,336.34,780
781,377.49,344.4,781
782,374.46,360.77,782
783,375.57,375.08,783
784,381.41,385.76,784
785,377.88,420.31,785
786,384.06,439.59,786
787,387.42,443.95,787
788,394.46,427.32,788
789,390.07,409.99,789
790,393.97,382.63,790
791,391.73,365.96,791
792,392.66,349.84,792
793,395.44,341.86,793
794,391.19,341.97,794
795,388.87,345.08,795
796,391.14,344.97,796
