±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[381.95062255859375, 459.1494445800781]","[399.8203125, 447.2362976074219]","[370.0374755859375, 447.2362976074219]","[417.6900329589844, 465.10601806640625]","[346.2112121582031, 465.10601806640625]","[453.429443359375, 572.3242797851562]","[298.5586853027344, 560.4110717773438]","[483.2122497558594, 673.5858764648438]","[244.9495391845703, 655.7161865234375]","[554.6911010742188, 703.3687133789062]","[167.51416015625, 685.4990234375]","[417.6900329589844, 780.8041381835938]","[322.38494873046875, 780.8041381835938]","[399.8203125, 941.6314086914062]","[334.2980651855469, 929.71826171875]","[387.9071960449219, 1102.458740234375]","[328.3415222167969, 1102.458740234375]"
"[382.0685119628906, 438.064208984375]","[400.5983581542969, 425.71099853515625]","[369.71533203125, 425.71099853515625]","[419.1281433105469, 444.2408142089844]","[351.1855163574219, 444.2408142089844]","[456.1877746582031, 549.2431030273438]","[301.7726745605469, 543.0664672851562]","[493.2474060058594, 654.245361328125]","[246.18324279785156, 635.7155151367188]","[567.3665771484375, 697.4815673828125]","[178.24058532714844, 678.9517211914062]","[419.1281433105469, 753.0709838867188]","[320.302490234375, 746.8944091796875]","[400.5983581542969, 919.8392944335938]","[326.4790954589844, 913.6627807617188]","[388.2451477050781, 1092.7840576171875]","[332.65570068359375, 1092.7840576171875]"
"[386.7115173339844, 420.91790771484375]","[399.5046691894531, 408.124755859375]","[373.9183349609375, 408.124755859375]","[418.6944274902344, 427.31451416015625]","[348.33203125, 427.31451416015625]","[450.6773681640625, 523.2633056640625]","[303.555908203125, 516.86669921875]","[489.056884765625, 632.0052490234375]","[252.3832244873047, 619.2120971679688]","[565.8159790039062, 683.1779174804688]","[175.6241912841797, 670.384765625]","[418.6944274902344, 715.1608276367188]","[322.74566650390625, 715.1608276367188]","[399.5046691894531, 894.2652587890625]","[329.1422424316406, 894.2652587890625]","[393.10809326171875, 1079.76611328125]","[329.1422424316406, 1073.3695068359375]"
"[389.76434326171875, 401.13897705078125]","[402.42437744140625, 388.47900390625]","[370.7743835449219, 388.47900390625]","[421.41436767578125, 407.468994140625]","[351.7843933105469, 407.468994140625]","[453.0643615722656, 515.0789184570312]","[301.1444396972656, 502.4189453125]","[491.0443115234375, 616.35888671875]","[250.5044403076172, 597.368896484375]","[567.0042114257812, 666.9988403320312]","[168.21446228027344, 660.6688842773438]","[421.41436767578125, 704.9788208007812]","[320.1343994140625, 698.6488647460938]","[402.42437744140625, 875.8887329101562]","[326.46441650390625, 863.2286987304688]","[389.76434326171875, 1059.4586181640625]","[332.7944030761719, 1053.1285400390625]"
"[391.80902099609375, 393.25225830078125]","[404.2301025390625, 380.8311767578125]","[373.1773681640625, 380.8311767578125]","[422.86181640625, 405.67333984375]","[354.54571533203125, 399.46282958984375]","[453.91455078125, 505.04217529296875]","[298.6507568359375, 498.8316345214844]","[491.17779541015625, 604.4110107421875]","[242.75579833984375, 591.9899291992188]","[571.9149780273438, 647.8848266601562]","[162.01861572265625, 647.8848266601562]","[416.6512451171875, 691.3587036132812]","[323.49298095703125, 691.3587036132812]","[398.01953125, 859.0435180664062]","[329.7034912109375, 852.8330688476562]","[391.80902099609375, 1032.9388427734375]","[335.9140625, 1026.728271484375]"
"[391.96612548828125, 390.89788818359375]","[404.19232177734375, 378.67169189453125]","[379.73992919921875, 378.67169189453125]","[422.5316467285156, 403.12408447265625]","[355.28753662109375, 397.010986328125]","[453.09710693359375, 500.93365478515625]","[300.2696533203125, 494.820556640625]","[495.8888244628906, 598.7432250976562]","[245.2517547607422, 592.630126953125]","[581.47216796875, 635.4218139648438]","[159.6683807373047, 635.4218139648438]","[416.4184875488281, 696.5527954101562]","[324.7220458984375, 690.4397583007812]","[398.0792541503906, 855.4933471679688]","[330.83514404296875, 849.3801879882812]","[398.0792541503906, 1020.5469360351562]","[330.83514404296875, 1008.3208618164062]"
"[388.83343505859375, 391.05419921875]","[406.82318115234375, 385.0576171875]","[376.84027099609375, 379.06103515625]","[424.81292724609375, 403.04736328125]","[352.85394287109375, 397.05078125]","[454.79583740234375, 504.9892883300781]","[304.88128662109375, 492.9961242675781]","[490.77532958984375, 600.9346313476562]","[244.9154510498047, 588.9414672851562]","[580.72412109375, 624.9209594726562]","[154.96669006347656, 624.9209594726562]","[418.81634521484375, 696.8799438476562]","[322.87103271484375, 690.8833618164062]","[400.82659912109375, 846.7944946289062]","[334.86419677734375, 846.7944946289062]","[394.83001708984375, 1014.6987915039062]","[334.86419677734375, 1014.6987915039062]"
"[387.31048583984375, 401.8639831542969]","[405.23089599609375, 389.9170227050781]","[375.363525390625, 383.94354248046875]","[423.1513671875, 413.8109436035156]","[351.4696044921875, 401.8639831542969]","[453.01873779296875, 509.3865966796875]","[303.68182373046875, 497.43963623046875]","[494.83306884765625, 604.9622192382812]","[243.94699096679688, 593.0153198242188]","[584.4352416992188, 622.8826904296875]","[154.34481811523438, 622.8826904296875]","[417.1778564453125, 700.5379028320312]","[321.60223388671875, 700.5379028320312]","[399.2574462890625, 855.8483276367188]","[333.5491943359375, 855.8483276367188]","[393.28399658203125, 1029.0791015625]","[339.52264404296875, 1017.1321411132812]"
"[390.33709716796875, 408.21142578125]","[408.7725524902344, 395.921142578125]","[378.04681396484375, 395.921142578125]","[427.2080078125, 420.501708984375]","[353.4662170410156, 414.3565673828125]","[451.7886047363281, 518.8241577148438]","[304.30499267578125, 500.388671875]","[494.8046569824219, 617.1465454101562]","[242.85350036621094, 598.7111206054688]","[586.9818725585938, 629.4368286132812]","[156.8213653564453, 617.1465454101562]","[414.917724609375, 709.3237915039062]","[322.7404479980469, 703.1786499023438]","[396.4822692871094, 862.9525146484375]","[335.03076171875, 862.9525146484375]","[396.4822692871094, 1041.161865234375]","[341.1759033203125, 1041.161865234375]"
"[388.5780944824219, 422.25830078125]","[406.5646667480469, 416.2627868652344]","[376.5870361328125, 410.26727294921875]","[424.5512390136719, 434.2493591308594]","[352.60491943359375, 428.25384521484375]","[454.5288391113281, 530.1777954101562]","[304.6407470703125, 524.1822509765625]","[496.49755859375, 626.1061401367188]","[244.6854705810547, 614.1151123046875]","[586.430419921875, 644.0927124023438]","[154.7526092529297, 626.1061401367188]","[418.5556945800781, 716.0390014648438]","[316.63177490234375, 710.0435180664062]","[394.5736083984375, 877.918212890625]","[334.61834716796875, 871.922607421875]","[394.5736083984375, 1063.779296875]","[340.6138916015625, 1057.7838134765625]"
"[390.76617431640625, 445.0816955566406]","[402.53570556640625, 433.3121337890625]","[373.11187744140625, 433.3121337890625]","[426.0748291015625, 456.8512268066406]","[355.4575500488281, 450.9664611816406]","[455.4986572265625, 551.007568359375]","[302.49462890625, 545.122802734375]","[490.8072814941406, 651.0486450195312]","[249.5316619873047, 633.3943481445312]","[579.0787963867188, 656.9334106445312]","[155.37533569335938, 639.2791137695312]","[414.3052978515625, 733.4354858398438]","[320.14892578125, 733.4354858398438]","[396.65093994140625, 904.0938110351562]","[331.91845703125, 898.208984375]","[396.65093994140625, 1080.6368408203125]","[337.8032531738281, 1074.7520751953125]"
