鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[927.0781860351562, 281.92144775390625]","[938.7793579101562, 264.3696594238281]","[932.9287719726562, 264.3696594238281]","[973.8829956054688, 270.2202453613281]","[991.4347534179688, 270.2202453613281]","[991.4347534179688, 346.27801513671875]","[1014.8370971679688, 328.7262268066406]","[1003.1359252929688, 463.2899475097656]","[1044.090087890625, 445.7381591796875]","[968.0324096679688, 568.6007080078125]","[985.5841674804688, 580.3018798828125]","[1026.538330078125, 551.0488891601562]","[1026.538330078125, 545.1983032226562]","[1032.388916015625, 691.4631958007812]","[979.7335815429688, 668.0608520507812]","[1067.492431640625, 849.4292602539062]","[1032.388916015625, 808.4751586914062]"
"[927.2236938476562, 278.1285705566406]","[938.8564453125, 266.4958801269531]","[933.0401000976562, 266.4958801269531]","[973.7545166015625, 266.4958801269531]","[991.2035522460938, 272.3122253417969]","[991.2035522460938, 342.1083984375]","[1014.4689331054688, 330.4757080078125]","[1002.8362426757812, 464.251708984375]","[1043.5506591796875, 446.80267333984375]","[962.121826171875, 563.129638671875]","[1002.8362426757812, 568.9459838867188]","[1026.1015625, 551.4969482421875]","[1020.2853393554688, 539.8641967773438]","[1026.1015625, 691.0892944335938]","[973.7545166015625, 667.8239135742188]","[1066.8160400390625, 853.947021484375]","[1020.2853393554688, 813.2326049804688]"
"[924.4295043945312, 266.1142272949219]","[930.0857543945312, 254.80157470703125]","[930.0857543945312, 260.4578857421875]","[975.3363647460938, 254.80157470703125]","[980.9927368164062, 271.77056884765625]","[992.3053588867188, 333.9901123046875]","[1014.9306030273438, 322.677490234375]","[1003.6179809570312, 447.1165466308594]","[1054.5247802734375, 424.49127197265625]","[958.3673706054688, 548.9303588867188]","[1026.2431640625, 531.9613647460938]","[1020.5869750976562, 537.6177368164062]","[1014.9306030273438, 531.9613647460938]","[1020.5869750976562, 679.0258178710938]","[969.6800537109375, 656.4004516601562]","[1060.18115234375, 848.7153930664062]","[1020.5869750976562, 803.4649047851562]"
"[921.1759643554688, 270.94329833984375]","[926.7092895507812, 259.876708984375]","[926.7092895507812, 254.34339904785156]","[965.4423828125, 265.4100036621094]","[982.0422973632812, 259.876708984375]","[982.0422973632812, 337.3428649902344]","[1004.1754760742188, 326.27630615234375]","[998.6421508789062, 448.0088195800781]","[1048.4417724609375, 431.408935546875]","[948.8424682617188, 553.1414794921875]","[1026.30859375, 536.5416259765625]","[1009.7088012695312, 542.0748901367188]","[1009.7088012695312, 536.5416259765625]","[998.6421508789062, 680.4073486328125]","[965.4423828125, 663.8074340820312]","[1048.4417724609375, 846.40625]","[1009.7088012695312, 807.6731567382812]"
"[906.8745727539062, 265.16888427734375]","[918.1478881835938, 253.8955841064453]","[918.1478881835938, 248.2589569091797]","[951.9677124023438, 253.8955841064453]","[968.8776245117188, 253.8955841064453]","[968.8776245117188, 327.1719665527344]","[991.4242553710938, 321.53533935546875]","[997.0608520507812, 439.9048156738281]","[1019.6074829101562, 434.2681884765625]","[946.3311157226562, 535.727783203125]","[1013.9707641601562, 535.727783203125]","[997.0608520507812, 530.0911254882812]","[1013.9707641601562, 524.4544677734375]","[968.8776245117188, 665.3705444335938]","[963.2410278320312, 654.0972900390625]","[1025.2440185546875, 828.8331909179688]","[1002.697509765625, 800.6499633789062]"
"[892.6246337890625, 267.707275390625]","[903.3519897460938, 256.9798583984375]","[897.9883422851562, 256.9798583984375]","[946.2615966796875, 262.34356689453125]","[962.3527221679688, 273.07098388671875]","[956.989013671875, 332.0716552734375]","[973.0801391601562, 326.70794677734375]","[989.1712036132812, 444.7093505859375]","[1010.6260375976562, 439.3456726074219]","[946.2615966796875, 546.6196899414062]","[999.8986206054688, 535.8922729492188]","[983.8074951171875, 546.6196899414062]","[989.1712036132812, 541.2559204101562]","[940.8978881835938, 691.4395141601562]","[951.6253051757812, 686.0758666992188]","[1005.2622680664062, 830.8956909179688]","[983.8074951171875, 809.4408569335938]"
"[877.74365234375, 263.9352111816406]","[888.6487426757812, 253.03004455566406]","[888.6487426757812, 253.03004455566406]","[932.2693481445312, 258.4826354980469]","[943.1744995117188, 263.9352111816406]","[943.1744995117188, 334.8186340332031]","[948.6270141601562, 323.9134826660156]","[975.889892578125, 438.4174499511719]","[964.9847412109375, 443.8700256347656]","[948.6270141601562, 542.0162963867188]","[954.07958984375, 542.0162963867188]","[959.5321655273438, 542.0162963867188]","[975.889892578125, 536.5636596679688]","[888.6487426757812, 678.3305053710938]","[937.721923828125, 678.3305053710938]","[959.5321655273438, 814.644775390625]","[981.3424682617188, 814.644775390625]"
"[865.2755737304688, 263.8419189453125]","[876.5089721679688, 252.6084747314453]","[870.8922729492188, 252.6084747314453]","[915.825927734375, 258.2252197265625]","[921.442626953125, 263.8419189453125]","[927.059326171875, 331.24237060546875]","[932.676025390625, 325.62567138671875]","[971.9929809570312, 432.34307861328125]","[960.7595825195312, 443.57647705078125]","[955.1428833007812, 539.0604248046875]","[949.5261840820312, 527.8270263671875]","[932.676025390625, 544.6771240234375]","[943.909423828125, 539.0604248046875]","[842.8087768554688, 657.01123046875]","[921.442626953125, 668.24462890625]","[927.059326171875, 791.8121337890625]","[960.7595825195312, 825.5122680664062]"
"[855.0520629882812, 277.42999267578125]","[870.1277465820312, 267.3795166015625]","[865.1024780273438, 262.354248046875]","[900.2792358398438, 277.42999267578125]","[915.3549194335938, 267.3795166015625]","[915.3549194335938, 342.7581787109375]","[915.3549194335938, 342.7581787109375]","[965.607421875, 448.2883605957031]","[930.4307250976562, 453.3135986328125]","[965.607421875, 543.7680053710938]","[880.1782836914062, 528.6922607421875]","[920.3801879882812, 543.7680053710938]","[930.4307250976562, 543.7680053710938]","[804.799560546875, 634.2224731445312]","[905.3045043945312, 674.4243774414062]","[900.2792358398438, 759.853515625]","[950.5316772460938, 825.1817016601562]"
"[846.0861206054688, 276.33306884765625]","[860.2507934570312, 266.88995361328125]","[850.8076782226562, 266.88995361328125]","[893.3016967773438, 276.33306884765625]","[898.0232543945312, 290.49774169921875]","[912.18798828125, 347.15655517578125]","[907.4663696289062, 342.4349670410156]","[964.1251831054688, 441.58782958984375]","[912.18798828125, 469.917236328125]","[973.5682983398438, 550.1837768554688]","[836.6429443359375, 512.4112548828125]","[912.18798828125, 545.4622192382812]","[931.0742797851562, 554.9053344726562]","[784.7057495117188, 625.7288208007812]","[898.0232543945312, 682.3875732421875]","[879.1370239257812, 748.489501953125]","[940.5173950195312, 833.4776000976562]"
