±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[386.5907897949219, 333.9605712890625]","[401.5747375488281, 318.9765930175781]","[371.6068115234375, 311.484619140625]","[424.0506896972656, 326.4685974121094]","[341.63885498046875, 318.9765930175781]","[454.0186462402344, 431.3564147949219]","[296.68695068359375, 423.8644104003906]","[498.9706115722656, 543.7362060546875]","[251.7350311279297, 536.2442016601562]","[543.9225463867188, 633.6400146484375]","[206.78309631347656, 626.1480712890625]","[424.0506896972656, 663.6079711914062]","[326.6549072265625, 663.6079711914062]","[416.5587463378906, 850.9076538085938]","[326.6549072265625, 843.4156494140625]","[394.0827331542969, 1023.2232666015625]","[326.6549072265625, 1030.7152099609375]"
"[387.2347412109375, 336.3901672363281]","[402.1802062988281, 313.9720153808594]","[372.2893371582031, 313.9720153808594]","[424.598388671875, 321.4447326660156]","[342.3984680175781, 321.4447326660156]","[454.4892578125, 426.06280517578125]","[297.5621337890625, 418.590087890625]","[499.3255615234375, 538.153564453125]","[252.72581481933594, 530.6808471679688]","[544.161865234375, 627.8262329101562]","[207.88951110839844, 627.8262329101562]","[424.598388671875, 665.1898193359375]","[327.4530029296875, 665.1898193359375]","[424.598388671875, 852.0077514648438]","[327.4530029296875, 844.5350952148438]","[394.70751953125, 1016.4075927734375]","[327.4530029296875, 1031.3529052734375]"
"[388.14886474609375, 342.19036865234375]","[403.0023193359375, 327.3368835449219]","[365.86871337890625, 327.3368835449219]","[425.282470703125, 327.3368835449219]","[343.58856201171875, 327.3368835449219]","[454.9893798828125, 423.8843078613281]","[299.0281982421875, 416.45758056640625]","[499.5496826171875, 535.2850952148438]","[254.46783447265625, 535.2850952148438]","[544.1099853515625, 624.4058227539062]","[209.90753173828125, 631.83251953125]","[425.282470703125, 654.1127319335938]","[328.73504638671875, 646.6859741210938]","[425.282470703125, 847.20751953125]","[328.73504638671875, 832.35400390625]","[403.0023193359375, 1018.0220947265625]","[321.308349609375, 1032.87548828125]"
"[378.3983154296875, 354.130615234375]","[400.7489013671875, 339.230224609375]","[370.9481201171875, 339.230224609375]","[423.0994873046875, 339.230224609375]","[348.5975341796875, 331.780029296875]","[452.90032958984375, 428.632568359375]","[296.4461669921875, 421.182373046875]","[497.60150146484375, 540.385498046875]","[251.74497985839844, 532.935302734375]","[549.7528686523438, 622.337646484375]","[207.04380798339844, 637.2380981445312]","[423.0994873046875, 667.0388793945312]","[326.2469482421875, 659.5886840820312]","[423.0994873046875, 860.7439575195312]","[326.2469482421875, 845.8435668945312]","[408.1990966796875, 1032.0985107421875]","[326.2469482421875, 1046.9989013671875]"
"[382.8360900878906, 366.3571472167969]","[404.71478271484375, 351.7713317871094]","[368.250244140625, 351.7713317871094]","[426.593505859375, 351.7713317871094]","[346.37152099609375, 344.4783935546875]","[455.76513671875, 439.2862548828125]","[302.61407470703125, 431.99334716796875]","[499.5225830078125, 548.6798706054688]","[258.85662841796875, 541.386962890625]","[557.8658447265625, 621.6089477539062]","[207.80625915527344, 636.1947631835938]","[419.3006286621094, 679.9522094726562]","[324.4927978515625, 672.6593017578125]","[426.593505859375, 869.56787109375]","[317.19989013671875, 862.2749633789062]","[412.0077209472656, 1059.183349609375]","[324.4927978515625, 1066.476318359375]"
"[383.7311096191406, 379.9312744140625]","[404.94512939453125, 365.78857421875]","[376.65972900390625, 365.78857421875]","[426.1591796875, 365.78857421875]","[348.37432861328125, 358.71722412109375]","[454.444580078125, 450.644775390625]","[298.8748474121094, 443.57342529296875]","[503.94403076171875, 556.715087890625]","[249.37538146972656, 549.6437377929688]","[560.514892578125, 627.4285888671875]","[206.94728088378906, 648.6426391601562]","[426.1591796875, 691.07080078125]","[320.08892822265625, 683.9993896484375]","[426.1591796875, 889.068603515625]","[320.08892822265625, 881.9972534179688]","[419.08782958984375, 1072.923583984375]","[320.08892822265625, 1087.0662841796875]"
"[393.15020751953125, 401.92962646484375]","[407.39501953125, 387.6847839355469]","[378.90533447265625, 380.5623779296875]","[428.7623291015625, 380.5623779296875]","[350.4156494140625, 373.43994140625]","[457.25201416015625, 473.15386962890625]","[300.5586853027344, 466.0314636230469]","[507.1090087890625, 572.8678588867188]","[250.70167541503906, 572.8678588867188]","[571.2108154296875, 644.0921020507812]","[200.84471130371094, 665.4593505859375]","[421.639892578125, 708.19384765625]","[321.9259338378906, 701.0714721679688]","[428.7623291015625, 907.6217651367188]","[321.9259338378906, 900.4993286132812]","[414.5174560546875, 1085.6822509765625]","[321.9259338378906, 1099.92724609375]"
"[390.9206848144531, 418.5265808105469]","[404.6724853515625, 404.7747802734375]","[377.1689453125, 404.7747802734375]","[432.176025390625, 404.7747802734375]","[349.6654052734375, 397.8988952636719]","[452.8037109375, 494.16131591796875]","[301.5341796875, 487.28546142578125]","[507.810791015625, 597.2996215820312]","[239.6511993408203, 597.2996215820312]","[576.5696411132812, 659.1825561523438]","[191.5199737548828, 686.6861572265625]","[425.3001403808594, 727.9414672851562]","[322.1618347167969, 727.9414672851562]","[432.176025390625, 920.4662475585938]","[315.28594970703125, 913.5903930664062]","[411.5483703613281, 1092.3634033203125]","[322.1618347167969, 1099.2392578125]"
"[399.65625, 439.5762939453125]","[413.17962646484375, 419.2912902832031]","[386.13287353515625, 419.2912902832031]","[433.46466064453125, 419.2912902832031]","[352.32452392578125, 412.52960205078125]","[460.51129150390625, 507.19305419921875]","[298.23114013671875, 500.431396484375]","[514.604736328125, 608.6181640625]","[237.37606811523438, 608.6181640625]","[582.221435546875, 682.99658203125]","[190.0443572998047, 710.0432739257812]","[426.70294189453125, 737.0899658203125]","[318.51617431640625, 737.0899658203125]","[433.46466064453125, 926.4168090820312]","[318.51617431640625, 919.6551513671875]","[406.41790771484375, 1095.45849609375]","[325.27783203125, 1102.22021484375]"
"[398.8896484375, 440.9056396484375]","[412.2836608886719, 427.51165771484375]","[385.49566650390625, 427.51165771484375]","[432.3746032714844, 420.81463623046875]","[352.01068115234375, 420.81463623046875]","[459.16259765625, 514.5725708007812]","[298.4346923828125, 507.8756103515625]","[506.0415954589844, 615.0275268554688]","[244.8587188720703, 621.7245483398438]","[579.70849609375, 702.0885620117188]","[191.28273010253906, 715.4824829101562]","[425.6776428222656, 748.9674682617188]","[325.2226867675781, 742.2705078125]","[432.3746032714844, 929.7864379882812]","[318.52569580078125, 929.7864379882812]","[405.5866394042969, 1097.211181640625]","[325.2226867675781, 1103.908203125]"
