±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[344.8891296386719, 219.40953063964844]","[358.5185852050781, 205.7800750732422]","[324.4449768066406, 205.7800750732422]","[392.59210205078125, 226.22422790527344]","[310.8155822753906, 226.22422790527344]","[433.4803771972656, 328.4449768066406]","[276.7419738769531, 335.2596740722656]","[487.9981384277344, 437.48040771484375]","[235.8536834716797, 444.2951354980469]","[562.9600219726562, 519.2569580078125]","[154.07713317871094, 498.81280517578125]","[399.4068603515625, 566.9599609375]","[297.1861267089844, 560.1452026367188]","[378.96270751953125, 757.7719116210938]","[297.1861267089844, 737.3277587890625]","[358.5185852050781, 948.5838623046875]","[297.1861267089844, 921.3250122070312]"
"[344.7449951171875, 224.53933715820312]","[358.5116882324219, 203.88925170898438]","[324.0948791503906, 210.77261352539062]","[392.928466796875, 217.65597534179688]","[310.3281555175781, 231.42271423339844]","[434.22869873046875, 334.67315673828125]","[275.9113464355469, 334.67315673828125]","[482.4122314453125, 451.6903381347656]","[241.49452209472656, 444.8069152832031]","[558.129150390625, 513.6405639648438]","[158.89418029785156, 492.990478515625]","[399.8118896484375, 561.8241577148438]","[296.5614318847656, 561.8241577148438]","[379.1617736816406, 761.4415893554688]","[296.5614318847656, 740.7914428710938]","[351.6283264160156, 947.2922973632812]","[296.5614318847656, 926.6422729492188]"
"[344.93768310546875, 231.28553771972656]","[358.5208435058594, 210.91078186035156]","[324.56292724609375, 217.7023468017578]","[392.47882080078125, 231.28553771972656]","[304.1881408691406, 238.07711791992188]","[433.22833251953125, 339.95098876953125]","[277.02178955078125, 339.95098876953125]","[473.9779052734375, 462.1995849609375]","[243.06382751464844, 455.4079895019531]","[562.2684936523438, 516.5322875976562]","[154.77317810058594, 496.1575012207031]","[399.2703552246094, 564.0734252929688]","[297.39654541015625, 564.0734252929688]","[378.8955993652344, 767.8211059570312]","[297.39654541015625, 747.4462890625]","[351.729248046875, 957.9854736328125]","[290.6049499511719, 944.4022827148438]"
"[345.226806640625, 247.1146697998047]","[358.53460693359375, 227.15293884277344]","[325.26507568359375, 233.8068389892578]","[385.1502380371094, 240.4607391357422]","[305.3033752441406, 247.1146697998047]","[431.7275695800781, 353.5771789550781]","[272.0338439941406, 353.5771789550781]","[471.6510314941406, 466.6936340332031]","[238.76426696777344, 460.0397033691406]","[558.1517944335938, 506.6170654296875]","[152.2634735107422, 486.65533447265625]","[391.80413818359375, 579.8099975585938]","[291.99554443359375, 573.1561279296875]","[371.8424377441406, 772.7733154296875]","[291.99554443359375, 759.4655151367188]","[358.53460693359375, 972.3904418945312]","[291.99554443359375, 959.0826416015625]"
"[345.0585021972656, 257.8791809082031]","[358.5266418457031, 244.4110565185547]","[324.8563537597656, 251.1450958251953]","[385.4628601074219, 257.8791809082031]","[304.6541748046875, 264.61322021484375]","[432.6012268066406, 372.358154296875]","[277.7179260253906, 365.62408447265625]","[473.0055847167969, 486.83709716796875]","[230.5795440673828, 473.3689880371094]","[560.5482788085938, 507.03924560546875]","[149.7708740234375, 493.5711364746094]","[385.4628601074219, 608.050048828125]","[284.4519958496094, 601.3160400390625]","[378.7287902832031, 789.8695678710938]","[284.4519958496094, 783.1355590820312]","[365.2606506347656, 978.4231567382812]","[284.4519958496094, 971.6890869140625]"
"[345.25445556640625, 277.728515625]","[358.53594970703125, 257.8062744140625]","[325.33221435546875, 264.447021484375]","[391.7396545410156, 277.728515625]","[312.0507507324219, 284.3692321777344]","[431.5840759277344, 390.62109375]","[278.8470458984375, 377.339599609375]","[478.0692138671875, 503.513671875]","[225.7211151123047, 490.232177734375]","[564.3988647460938, 510.1544189453125]","[139.39149475097656, 503.513671875]","[385.098876953125, 629.687744140625]","[278.8470458984375, 623.0469970703125]","[378.4581604003906, 808.9877319335938]","[278.8470458984375, 802.3469848632812]","[358.53594970703125, 988.2877197265625]","[278.8470458984375, 988.2877197265625]"
"[345.3923645019531, 286.9414367675781]","[358.54248046875, 273.7912902832031]","[325.6671142578125, 273.7912902832031]","[391.4178771972656, 286.9414367675781]","[312.5169677734375, 293.5165100097656]","[430.8683166503906, 398.71771240234375]","[273.0665283203125, 385.56756591796875]","[483.4689636230469, 503.9189453125]","[220.4658966064453, 490.7687683105469]","[568.9448852539062, 510.4940185546875]","[128.4148406982422, 510.4940185546875]","[378.2677307128906, 635.42041015625]","[279.6416015625, 635.42041015625]","[384.84283447265625, 819.5225830078125]","[273.0665283203125, 812.947509765625]","[358.54248046875, 990.4744262695312]","[266.491455078125, 1003.6246337890625]"
"[338.1979064941406, 281.1788330078125]","[358.52252197265625, 267.62908935546875]","[324.64813232421875, 267.62908935546875]","[392.3969421386719, 287.9537353515625]","[304.3234558105469, 287.9537353515625]","[426.2713317871094, 396.3518371582031]","[270.4490661621094, 382.80206298828125]","[494.0201721191406, 497.9750671386719]","[209.47511291503906, 491.2001953125]","[568.5438842773438, 525.0745849609375]","[134.95140075683594, 518.2997436523438]","[378.84716796875, 633.4727783203125]","[277.2239685058594, 626.6978759765625]","[378.84716796875, 816.39453125]","[270.4490661621094, 816.39453125]","[358.52252197265625, 985.7664794921875]","[270.4490661621094, 999.3162841796875]"
"[339.7680358886719, 270.3293151855469]","[353.41070556640625, 249.86524963378906]","[319.3039855957031, 256.6866149902344]","[387.5174560546875, 270.3293151855469]","[305.66131591796875, 277.150634765625]","[428.4454650878906, 379.4707946777344]","[271.5545959472656, 372.6494445800781]","[489.83758544921875, 481.7909240722656]","[216.9838409423828, 481.7909240722656]","[558.0509643554688, 529.540283203125]","[135.1277313232422, 522.718994140625]","[380.696044921875, 625.0391235351562]","[278.3759460449219, 625.0391235351562]","[373.8747253417969, 802.39404296875]","[271.5545959472656, 802.39404296875]","[360.2320556640625, 986.5701904296875]","[271.5545959472656, 993.3916015625]"
"[334.45892333984375, 253.6123504638672]","[355.2987976074219, 232.7724609375]","[320.5656433105469, 239.71908569335938]","[383.0853271484375, 253.6123504638672]","[299.7257385253906, 260.55902099609375]","[417.8185119628906, 364.75848388671875]","[264.9925842285156, 357.81182861328125]","[480.3381652832031, 462.01129150390625]","[216.3661651611328, 468.95794677734375]","[542.8578491210938, 538.4242553710938]","[139.95321655273438, 524.531005859375]","[383.0853271484375, 607.8905639648438]","[278.8858337402344, 600.9439086914062]","[369.19207763671875, 795.4495849609375]","[271.939208984375, 788.5029907226562]","[355.2987976074219, 976.0619506835938]","[278.8858337402344, 962.168701171875]"
