±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[421.193603515625, 325.0816955566406]","[435.004150390625, 325.0816955566406]","[400.477783203125, 325.0816955566406]","[448.814697265625, 359.6080627441406]","[372.856689453125, 366.5133361816406]","[497.1515808105469, 463.1871643066406]","[338.330322265625, 463.1871643066406]","[552.3937377929688, 580.5768432617188]","[296.898681640625, 573.6715698242188]","[614.541259765625, 663.4401245117188]","[214.03538513183594, 642.7243041992188]","[476.4357604980469, 697.9664306640625]","[372.856689453125, 691.0611572265625]","[476.4357604980469, 905.1246337890625]","[379.761962890625, 891.3140869140625]","[441.909423828125, 1105.37744140625]","[379.761962890625, 1098.47216796875]"
"[418.03765869140625, 320.0995178222656]","[431.9203186035156, 320.0995178222656]","[397.2135925292969, 320.0995178222656]","[452.7444152832031, 361.74761962890625]","[369.4482116699219, 361.74761962890625]","[501.3338317871094, 458.926513671875]","[334.741455078125, 458.926513671875]","[542.9819946289062, 576.9295043945312]","[293.0933532714844, 576.9295043945312]","[612.3954467773438, 660.2257080078125]","[209.79713439941406, 639.4016723632812]","[480.5098571777344, 694.9324340820312]","[369.4482116699219, 687.9910888671875]","[473.5684509277344, 903.1729125976562]","[376.3895568847656, 896.2316284179688]","[438.8616943359375, 1090.58935546875]","[376.3895568847656, 1090.58935546875]"
"[415.725341796875, 327.6942443847656]","[429.498046875, 320.8078918457031]","[395.0662841796875, 320.8078918457031]","[457.04345703125, 362.12603759765625]","[374.4071960449219, 362.12603759765625]","[498.36163330078125, 458.5350036621094]","[339.9754333496094, 458.5350036621094]","[546.5661010742188, 582.4894409179688]","[291.77093505859375, 575.6030883789062]","[615.4296264648438, 651.3529663085938]","[202.24830627441406, 630.6939086914062]","[477.70257568359375, 685.7847290039062]","[374.4071960449219, 685.7847290039062]","[470.816162109375, 906.1481323242188]","[381.2935791015625, 899.2617797851562]","[443.270751953125, 1098.966064453125]","[381.2935791015625, 1105.852294921875]"
"[417.51336669921875, 337.93768310546875]","[431.6495666503906, 330.86956787109375]","[403.377197265625, 337.93768310546875]","[452.85382080078125, 366.21002197265625]","[375.1048278808594, 366.21002197265625]","[502.3304443359375, 465.1632385253906]","[339.7644348144531, 465.1632385253906]","[544.7388916015625, 592.3887329101562]","[297.35589599609375, 578.2526245117188]","[622.4879150390625, 648.9335327148438]","[205.4707489013672, 620.6611328125]","[474.05804443359375, 705.4781494140625]","[368.0367736816406, 698.4100341796875]","[466.989990234375, 910.4526977539062]","[375.1048278808594, 910.4526977539062]","[452.85382080078125, 1101.290771484375]","[382.1729431152344, 1108.35888671875]"
"[422.92327880859375, 350.69586181640625]","[436.5603332519531, 343.8773193359375]","[402.4676208496094, 343.8773193359375]","[457.0160217285156, 377.97003173828125]","[375.1934509277344, 377.97003173828125]","[497.9272766113281, 480.2482604980469]","[341.1006774902344, 480.2482604980469]","[545.6571044921875, 602.9820556640625]","[293.3708801269531, 589.344970703125]","[634.2982177734375, 657.5304565429688]","[191.09266662597656, 623.437744140625]","[470.6530456542969, 712.078857421875]","[368.3748779296875, 705.2603149414062]","[470.6530456542969, 916.6351928710938]","[375.1934509277344, 916.6351928710938]","[457.0160217285156, 1114.373046875]","[382.0119934082031, 1134.82861328125]"
"[419.68817138671875, 358.46923828125]","[432.91943359375, 358.46923828125]","[399.84136962890625, 358.46923828125]","[459.3818359375, 391.54730224609375]","[379.99456787109375, 398.16290283203125]","[499.07550048828125, 504.0126037597656]","[340.30096435546875, 497.3970031738281]","[552.0004272460938, 623.093505859375]","[287.3760986328125, 596.6310424804688]","[644.6188354492188, 662.7871704101562]","[181.52639770507812, 623.093505859375]","[465.9974365234375, 728.9431762695312]","[366.76336669921875, 728.9431762695312]","[472.613037109375, 940.6426391601562]","[373.37896728515625, 940.6426391601562]","[459.3818359375, 1132.4949951171875]","[379.99456787109375, 1152.3419189453125]"
"[422.99017333984375, 377.7353820800781]","[442.2828063964844, 377.7353820800781]","[403.6976013183594, 377.7353820800781]","[461.57537841796875, 416.32061767578125]","[377.97412109375, 422.75146484375]","[500.16058349609375, 525.6453247070312]","[339.388916015625, 519.2144775390625]","[564.4692993164062, 641.4010009765625]","[275.08026123046875, 615.677490234375]","[654.50146484375, 673.5552978515625]","[172.1863250732422, 628.5392456054688]","[468.00628662109375, 750.7257080078125]","[365.1123962402344, 750.7257080078125]","[480.8680419921875, 962.9443359375]","[371.54327392578125, 956.5134887695312]","[461.57537841796875, 1149.439453125]","[377.97412109375, 1162.30126953125]"
"[424.7608337402344, 404.42535400390625]","[437.4223327636719, 398.0946044921875]","[405.76861572265625, 404.42535400390625]","[462.7452087402344, 442.4097595214844]","[380.4456481933594, 436.07904052734375]","[500.7296447753906, 550.0322875976562]","[336.1305236816406, 537.3707885742188]","[564.0370483398438, 657.6548461914062]","[272.8231506347656, 632.3318481445312]","[658.9981079101562, 682.9777221679688]","[165.2006072998047, 638.66259765625]","[469.07598876953125, 777.9387817382812]","[367.7842102050781, 777.9387817382812]","[488.0681457519531, 980.5223388671875]","[367.7842102050781, 974.1915893554688]","[456.4145202636719, 1151.4521484375]","[374.1149597167969, 1164.113525390625]"
"[427.4637451171875, 420.0806884765625]","[439.8091125488281, 420.0806884765625]","[408.94573974609375, 420.0806884765625]","[458.3271484375, 457.11676025390625]","[378.08233642578125, 457.11676025390625]","[501.535888671875, 562.0523071289062]","[334.87359619140625, 549.7069702148438]","[569.435302734375, 666.98779296875]","[273.1468200683594, 642.2970581054688]","[668.1981201171875, 697.8511352539062]","[168.21128845214844, 654.6423950195312]","[470.6724853515625, 790.4413452148438]","[365.7369689941406, 790.4413452148438]","[495.3631591796875, 987.9669799804688]","[371.90966796875, 994.1397094726562]","[452.1544189453125, 1160.8018798828125]","[378.08233642578125, 1166.9744873046875]"
"[422.6138916015625, 421.646484375]","[441.23199462890625, 415.4404602050781]","[403.99578857421875, 415.4404602050781]","[459.85009765625, 452.6766662597656]","[379.171630859375, 452.6766662597656]","[497.08636474609375, 558.1792602539062]","[335.72943115234375, 545.7672119140625]","[571.558837890625, 663.681884765625]","[273.6690673828125, 638.8577270507812]","[670.8553466796875, 707.1241455078125]","[168.1664276123047, 657.4758911132812]","[466.05615234375, 787.8026123046875]","[366.75958251953125, 787.8026123046875]","[497.08636474609375, 986.395751953125]","[366.75958251953125, 992.601806640625]","[453.64404296875, 1160.16455078125]","[379.171630859375, 1160.16455078125]"
"[419.30670166015625, 405.17193603515625]","[438.56158447265625, 398.753662109375]","[406.47015380859375, 398.753662109375]","[457.81640625, 430.8450622558594]","[380.7969970703125, 430.8450622558594]","[496.32611083984375, 539.9558715820312]","[335.86907958984375, 533.53759765625]","[566.9271240234375, 649.066650390625]","[271.68621826171875, 629.8118286132812]","[663.201416015625, 706.8311767578125]","[175.41200256347656, 661.9032592773438]","[464.23468017578125, 777.4323120117188]","[361.54217529296875, 771.0139770507812]","[489.9078369140625, 969.980712890625]","[367.96051025390625, 976.3989868164062]","[457.81640625, 1149.6925048828125]","[374.37872314453125, 1162.529052734375]"
"[422.4594421386719, 383.1929931640625]","[435.3351745605469, 376.755126953125]","[403.14581298828125, 376.755126953125]","[454.64874267578125, 408.9444580078125]","[377.39434814453125, 408.9444580078125]","[493.2759094238281, 518.3881225585938]","[338.7671813964844, 505.51239013671875]","[564.0924682617188, 627.8318481445312]","[274.3885192871094, 602.0803833007812]","[647.7847290039062, 698.6483764648438]","[184.25840759277344, 660.0211791992188]","[461.0865783691406, 756.589111328125]","[364.51861572265625, 756.589111328125]","[480.4001770019531, 969.0386962890625]","[364.51861572265625, 962.6007690429688]","[461.0865783691406, 1142.8609619140625]","[377.39434814453125, 1155.7366943359375]"
"[417.3292236328125, 364.6954345703125]","[437.4762878417969, 357.979736328125]","[403.8978576660156, 357.979736328125]","[450.9076232910156, 391.55816650390625]","[370.31939697265625, 391.55816650390625]","[497.9173889160156, 492.29345703125]","[330.02532958984375, 485.5777587890625]","[558.3585205078125, 606.4600830078125]","[276.2998352050781, 593.0286865234375]","[632.2310791015625, 693.763916015625]","[182.28028869628906, 653.4698486328125]","[464.3389587402344, 734.05810546875]","[363.6037292480469, 734.05810546875]","[464.3389587402344, 928.8128662109375]","[363.6037292480469, 935.5286254882812]","[457.6233215332031, 1123.567626953125]","[370.31939697265625, 1136.9989013671875]"
"[422.76544189453125, 355.7193603515625]","[429.648193359375, 348.8365783691406]","[402.1170654296875, 348.8365783691406]","[450.2965087890625, 376.36767578125]","[374.58599853515625, 376.36767578125]","[491.59320068359375, 479.609375]","[333.289306640625, 472.7265930175781]","[553.5382080078125, 596.6166381835938]","[278.22705078125, 589.7338256835938]","[615.4832153320312, 679.2099609375]","[188.75091552734375, 644.7960815429688]","[464.06207275390625, 727.389404296875]","[360.8204345703125, 720.5066528320312]","[464.06207275390625, 913.2244873046875]","[367.70318603515625, 906.3416748046875]","[443.41375732421875, 1105.942138671875]","[374.58599853515625, 1112.824951171875]"
"[417.0865173339844, 345.301513671875]","[430.8324890136719, 331.5555114746094]","[396.4674987792969, 331.5555114746094]","[451.4515075683594, 365.9205017089844]","[368.97552490234375, 365.9205017089844]","[492.6894226074219, 469.01544189453125]","[327.7375793457031, 469.01544189453125]","[540.8004150390625, 585.8563842773438]","[279.6266174316406, 578.9833374023438]","[602.6573486328125, 668.3323364257812]","[190.2776336669922, 640.8402709960938]","[465.1974792480469, 716.4432373046875]","[362.1025695800781, 709.5702514648438]","[458.3244934082031, 908.8871459960938]","[368.97552490234375, 895.14111328125]","[430.8324890136719, 1101.330810546875]","[368.97552490234375, 1094.457763671875]"
"[413.01123046875, 336.1480712890625]","[426.7106628417969, 329.29840087890625]","[392.462158203125, 329.29840087890625]","[447.2597351074219, 370.3965759277344]","[365.0633239746094, 370.3965759277344]","[488.3579406738281, 466.2923583984375]","[330.81488037109375, 466.2923583984375]","[536.3058471679688, 589.5869750976562]","[282.8669738769531, 575.8875122070312]","[604.802734375, 658.0839233398438]","[186.97120666503906, 637.5347900390625]","[460.9591369628906, 706.03173828125]","[365.0633239746094, 706.03173828125]","[460.9591369628906, 904.6730346679688]","[365.0633239746094, 890.9736328125]","[426.7106628417969, 1096.4644775390625]","[371.9130554199219, 1089.61474609375]"
"[409.1996154785156, 352.3948974609375]","[422.949462890625, 338.64508056640625]","[388.5748596191406, 338.64508056640625]","[450.44915771484375, 366.1447448730469]","[367.9501037597656, 366.1447448730469]","[491.69866943359375, 469.2685852050781]","[326.7005920410156, 469.2685852050781]","[532.9481811523438, 586.1422729492188]","[278.57611083984375, 579.2672729492188]","[608.5723266601562, 648.0165405273438]","[189.20216369628906, 620.516845703125]","[464.198974609375, 703.015869140625]","[361.0751953125, 703.015869140625]","[457.3240966796875, 909.2635498046875]","[361.0751953125, 895.513671875]","[429.8243713378906, 1101.76123046875]","[367.9501037597656, 1094.88623046875]"
"[412.3101806640625, 361.98150634765625]","[426.0850830078125, 348.20660400390625]","[391.6478271484375, 348.20660400390625]","[446.74737548828125, 368.86895751953125]","[364.09808349609375, 375.75640869140625]","[488.072021484375, 472.1805725097656]","[329.660888671875, 472.1805725097656]","[536.2841186523438, 596.154541015625]","[281.44879150390625, 582.3796997070312]","[632.7083129882812, 644.3666381835938]","[185.02456665039062, 616.81689453125]","[460.52227783203125, 706.3535766601562]","[357.21063232421875, 699.4661254882812]","[453.63482666015625, 912.9768676757812]","[357.21063232421875, 899.2019653320312]","[432.9725341796875, 1105.8251953125]","[364.09808349609375, 1105.8251953125]"
"[411.7331237792969, 374.0071105957031]","[425.43017578125, 360.30999755859375]","[398.0360107421875, 367.1585693359375]","[445.975830078125, 380.85565185546875]","[370.641845703125, 387.7041931152344]","[487.06707763671875, 490.432373046875]","[329.5505676269531, 483.5838623046875]","[548.7041015625, 600.0091552734375]","[274.76220703125, 593.1605834960938]","[644.583740234375, 641.1004028320312]","[178.88255310058594, 613.7062377929688]","[452.82440185546875, 716.4343872070312]","[356.9447326660156, 716.4343872070312]","[452.82440185546875, 921.8908081054688]","[356.9447326660156, 915.042236328125]","[439.1273193359375, 1113.6500244140625]","[363.79327392578125, 1127.3470458984375]"
"[406.8268737792969, 391.53857421875]","[426.9743957519531, 378.1069030761719]","[393.39520263671875, 378.1069030761719]","[447.1218566894531, 398.25439453125]","[366.5318603515625, 404.97021484375]","[494.1327209472656, 505.7077331542969]","[326.2369079589844, 505.7077331542969]","[554.5751342773438, 613.1610717773438]","[272.5102233886719, 606.4452514648438]","[655.3126831054688, 646.740234375]","[165.05690002441406, 619.8768920898438]","[453.8377380371094, 740.7619018554688]","[353.1002197265625, 740.7619018554688]","[460.5535583496094, 942.2368774414062]","[353.1002197265625, 935.5209350585938]","[440.4060363769531, 1130.280029296875]","[359.8160400390625, 1150.427490234375]"
"[412.1343994140625, 416.89837646484375]","[425.0841064453125, 403.94873046875]","[392.70989990234375, 403.94873046875]","[450.9834899902344, 423.37322998046875]","[366.810546875, 423.37322998046875]","[496.307373046875, 533.4456176757812]","[327.9614562988281, 526.9707641601562]","[567.5306396484375, 624.0933837890625]","[263.2130126953125, 617.6185302734375]","[664.6532592773438, 656.4675903320312]","[159.6155242919922, 624.0933837890625]","[450.9834899902344, 766.5399780273438]","[353.86083984375, 766.5399780273438]","[463.93316650390625, 960.7852172851562]","[347.385986328125, 960.7852172851562]","[438.0337829589844, 1142.0806884765625]","[353.86083984375, 1161.5052490234375]"
