鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[3213.217529296875, 214.2506103515625]","[3240.204833984375, 133.28811645507812]","[3253.69873046875, 119.79437255859375]","[3321.16748046875, 146.78187561035156]","[3375.142333984375, 146.78187561035156]","[3375.142333984375, 295.213134765625]","[3375.142333984375, 308.7068786621094]","[3132.2548828125, 119.79437255859375]","[3145.748779296875, 79.31312561035156]","[3159.242431640625, 38.83187484741211]","[3294.179931640625, 92.80687713623047]","[3483.092529296875, 929.41943359375]","[3442.611083984375, 929.41943359375]","[3375.142333984375, 1428.6881103515625]","[3375.142333984375, 1415.1943359375]","[3577.548828125, 1927.956787109375]","[3523.57373046875, 1604.10693359375]"
"[3225.398193359375, 214.2506103515625]","[3238.89208984375, 133.28811645507812]","[3252.3857421875, 119.79437255859375]","[3319.8544921875, 146.78187561035156]","[3373.82958984375, 146.78187561035156]","[3373.82958984375, 295.213134765625]","[3373.82958984375, 308.7068786621094]","[3144.435791015625, 119.79437255859375]","[3144.435791015625, 79.31312561035156]","[3157.929443359375, 38.83187484741211]","[3292.866943359375, 92.80687713623047]","[3481.779541015625, 929.41943359375]","[3441.29833984375, 929.41943359375]","[3373.82958984375, 1428.6881103515625]","[3387.323486328125, 1415.1943359375]","[3576.23583984375, 1927.956787109375]","[3508.76708984375, 1604.10693359375]"
"[3182.477783203125, 268.2256164550781]","[3209.46533203125, 214.2506103515625]","[3182.477783203125, 214.2506103515625]","[3290.427734375, 214.2506103515625]","[3371.390380859375, 200.75686645507812]","[3357.896484375, 376.1756286621094]","[3398.377685546875, 403.1631164550781]","[3061.033935546875, 335.6943664550781]","[3088.021484375, 376.1756286621094]","[3007.05908203125, 106.30062103271484]","[2980.071533203125, 52.32563018798828]","[3519.821533203125, 1010.3819580078125]","[3479.34033203125, 996.88818359375]","[3330.908935546875, 1469.16943359375]","[3330.908935546875, 1428.6881103515625]","[3573.796630859375, 1927.956787109375]","[3492.833984375, 1604.10693359375]"
"[3182.001708984375, 268.2256164550781]","[3208.989013671875, 214.2506103515625]","[3182.001708984375, 214.2506103515625]","[3289.95166015625, 214.2506103515625]","[3370.9140625, 200.75686645507812]","[3357.42041015625, 362.681884765625]","[3397.901611328125, 403.1631164550781]","[3060.557861328125, 335.6943664550781]","[3087.54541015625, 376.1756286621094]","[3006.582763671875, 106.30062103271484]","[2979.595458984375, 52.32563018798828]","[3519.345458984375, 996.88818359375]","[3478.864013671875, 996.88818359375]","[3330.432861328125, 1469.16943359375]","[3330.432861328125, 1428.6881103515625]","[3573.3203125, 1927.956787109375]","[3492.35791015625, 1604.10693359375]"
"[3170.032470703125, 308.7068786621094]","[3183.526123046875, 268.2256164550781]","[3156.53857421875, 281.7193603515625]","[3277.982421875, 268.2256164550781]","[3304.969970703125, 254.7318572998047]","[3385.932373046875, 430.150634765625]","[3358.94482421875, 470.63189697265625]","[3062.082275390625, 484.1256408691406]","[3089.06982421875, 524.6068725585938]","[2927.144775390625, 281.7193603515625]","[3008.107421875, 524.6068725585938]","[3520.869873046875, 1050.8631591796875]","[3480.388671875, 1050.8631591796875]","[3304.969970703125, 1482.6630859375]","[3291.47607421875, 1469.16943359375]","[3574.844970703125, 1927.956787109375]","[3574.844970703125, 1941.4505615234375]"
"[3153.03515625, 362.681884765625]","[3180.022705078125, 322.20062255859375]","[3166.52880859375, 322.20062255859375]","[3274.47900390625, 322.20062255859375]","[3314.960205078125, 295.213134765625]","[3382.428955078125, 484.1256408691406]","[3328.453857421875, 511.1131591796875]","[3139.541259765625, 632.556884765625]","[3112.553955078125, 673.0381469726562]","[2883.16015625, 538.1006469726562]","[2910.147705078125, 578.5819091796875]","[3530.860107421875, 1091.3443603515625]","[3476.88525390625, 1091.3443603515625]","[3287.97265625, 1496.1568603515625]","[3274.47900390625, 1482.6630859375]","[3571.341552734375, 1914.4630126953125]","[3557.84765625, 1927.956787109375]"
"[3131.418701171875, 416.6568908691406]","[3144.912353515625, 376.1756286621094]","[3131.418701171875, 389.66937255859375]","[3239.36865234375, 376.1756286621094]","[3171.89990234375, 403.1631164550781]","[3360.8125, 551.5944213867188]","[3320.331298828125, 551.5944213867188]","[3158.40625, 794.4818725585938]","[3144.912353515625, 780.9881591796875]","[2861.543701171875, 780.9881591796875]","[2875.037353515625, 794.4818725585938]","[3522.737548828125, 1131.82568359375]","[3509.24365234375, 1118.3319091796875]","[3279.849853515625, 1523.1444091796875]","[3306.83740234375, 1496.1568603515625]","[3576.71240234375, 1941.4505615234375]","[3522.737548828125, 1887.4755859375]"
"[3095.79052734375, 457.1381530761719]","[3109.284423828125, 403.1631164550781]","[3082.296875, 416.6568908691406]","[3203.740478515625, 403.1631164550781]","[3149.765625, 403.1631164550781]","[3338.677978515625, 565.088134765625]","[3257.715576171875, 592.0756225585938]","[3230.72802734375, 875.4444580078125]","[3163.25927734375, 875.4444580078125]","[2947.359375, 1037.369384765625]","[2920.371826171875, 1050.8631591796875]","[3527.590576171875, 1158.8131103515625]","[3460.121826171875, 1131.82568359375]","[3284.703125, 1536.63818359375]","[3284.703125, 1509.650634765625]","[3595.059326171875, 1954.9443359375]","[3581.565673828125, 1954.9443359375]"
"[3094.770263671875, 457.1381530761719]","[3108.263916015625, 416.6568908691406]","[3081.276611328125, 416.6568908691406]","[3202.72021484375, 403.1631164550781]","[3148.745361328125, 403.1631164550781]","[3337.657958984375, 565.088134765625]","[3256.6953125, 592.0756225585938]","[3229.707763671875, 875.4444580078125]","[3162.239013671875, 875.4444580078125]","[2946.339111328125, 1037.369384765625]","[2919.3515625, 1050.8631591796875]","[3526.5703125, 1158.8131103515625]","[3459.1015625, 1131.82568359375]","[3283.682861328125, 1536.63818359375]","[3283.682861328125, 1523.1444091796875]","[3594.0390625, 1954.9443359375]","[3580.54541015625, 1954.9443359375]"
"[3058.373291015625, 461.0347595214844]","[3071.322509765625, 422.1865539550781]","[3045.423828125, 435.1359558105469]","[3161.96826171875, 409.2371826171875]","[3226.71533203125, 383.33837890625]","[3304.41162109375, 564.6299438476562]","[3213.765869140625, 590.5286865234375]","[3330.310302734375, 888.36474609375]","[3200.816650390625, 901.3140869140625]","[3304.41162109375, 1030.8079833984375]","[3123.1201171875, 1147.3525390625]","[3524.55126953125, 1121.4537353515625]","[3459.804443359375, 1121.4537353515625]","[3291.462158203125, 1535.8343505859375]","[3265.5634765625, 1509.935546875]","[3602.247802734375, 1950.21484375]","[3550.4501953125, 1911.3665771484375]"
"[3058.425537109375, 461.7742004394531]","[3071.369384765625, 422.9429626464844]","[3045.48193359375, 435.88671875]","[3161.9755859375, 409.99920654296875]","[3226.6943359375, 384.1117248535156]","[3304.35693359375, 578.2680053710938]","[3213.750732421875, 591.2117309570312]","[3330.244384765625, 888.9180297851562]","[3200.806884765625, 901.8617553710938]","[3304.35693359375, 1031.2991943359375]","[3123.144287109375, 1147.79296875]","[3524.400634765625, 1121.905517578125]","[3446.73828125, 1121.905517578125]","[3291.4130859375, 1536.1055908203125]","[3265.525634765625, 1510.218017578125]","[3602.063232421875, 1950.3055419921875]","[3550.288330078125, 1898.5303955078125]"
