鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[492.1952819824219, 610.7343139648438]","[492.1952819824219, 582.6019897460938]","[449.99676513671875, 610.7343139648438]","[534.3938598632812, 441.94012451171875]","[1448.695068359375, 526.3372192382812]","[857.9158325195312, 371.60931396484375]","[534.3938598632812, 329.4107666015625]","[998.5775756835938, 695.1314086914062]","[618.7908325195312, 596.6681518554688]","[689.1217651367188, 737.3297729492188]","[520.3276977539062, 666.9989624023438]","[1209.570068359375, 399.74163818359375]","[1026.7098388671875, 315.34466552734375]","[1434.62890625, 512.2710571289062]","[1223.6363525390625, 357.543212890625]","[1476.827392578125, 484.13873291015625]","[1392.4302978515625, 427.87408447265625]"
"[490.1011657714844, 610.7992553710938]","[490.1011657714844, 582.5770874023438]","[447.7679138183594, 610.7992553710938]","[532.4345092773438, 441.4662780761719]","[1449.6553955078125, 512.0216674804688]","[856.9895629882812, 385.0218811035156]","[532.4345092773438, 328.5775451660156]","[1012.2114868164062, 695.4658813476562]","[617.1010131835938, 596.6882934570312]","[687.6565551757812, 737.7991333007812]","[504.2123107910156, 681.3547973632812]","[1209.7667236328125, 399.1330261230469]","[1026.3226318359375, 314.4665222167969]","[1435.544189453125, 512.0216674804688]","[1237.9888916015625, 356.7997131347656]","[1477.8775634765625, 483.7995300292969]","[1393.2109375, 427.3551940917969]"
"[485.43017578125, 623.1975708007812]","[485.43017578125, 580.7120971679688]","[457.10650634765625, 609.0358276367188]","[527.9158325195312, 453.25531005859375]","[1448.4366455078125, 509.90264892578125]","[853.6385498046875, 382.446044921875]","[527.9158325195312, 339.96038818359375]","[1009.4190063476562, 694.0068969726562]","[612.886962890625, 594.8738403320312]","[683.6962280273438, 736.4924926757812]","[513.7539672851562, 679.8450317382812]","[1207.68505859375, 396.60784912109375]","[1009.4190063476562, 325.798583984375]","[1420.1129150390625, 509.90264892578125]","[1221.8468017578125, 354.122314453125]","[1476.7603759765625, 481.57904052734375]","[1377.6273193359375, 410.76971435546875]"
"[487.5046691894531, 622.9966430664062]","[487.5046691894531, 580.5252075195312]","[445.0333251953125, 608.8395385742188]","[529.97607421875, 453.1111755371094]","[1450.1890869140625, 509.7397155761719]","[855.5900268554688, 382.3255310058594]","[529.97607421875, 339.8541564941406]","[1011.3182983398438, 707.9393920898438]","[614.9188842773438, 594.6823120117188]","[685.7044067382812, 736.2536010742188]","[515.8189086914062, 679.6251831054688]","[1209.5179443359375, 410.6398620605469]","[1011.3182983398438, 325.6970520019531]","[1421.8748779296875, 509.7397155761719]","[1237.8321533203125, 396.4826965332031]","[1478.50341796875, 481.4255065917969]","[1379.4034423828125, 410.6398620605469]"
"[486.46612548828125, 609.33447265625]","[486.46612548828125, 580.9993896484375]","[443.96356201171875, 609.33447265625]","[528.9686889648438, 439.32421875]","[1449.8577880859375, 510.1617431640625]","[854.82177734375, 382.654052734375]","[528.9686889648438, 325.98394775390625]","[996.4970092773438, 708.507080078125]","[613.973876953125, 595.1669921875]","[684.8115234375, 736.8421630859375]","[514.8012084960938, 680.1719970703125]","[1194.8424072265625, 410.9891357421875]","[1024.8319091796875, 325.98394775390625]","[1435.6903076171875, 510.1617431640625]","[1237.3448486328125, 396.821533203125]","[1478.1927490234375, 481.82666015625]","[1393.1876220703125, 425.1566162109375]"
"[486.5533752441406, 609.2957153320312]","[486.5533752441406, 580.9758911132812]","[444.07342529296875, 609.2957153320312]","[529.0333862304688, 453.5359191894531]","[1449.432373046875, 510.1758117675781]","[854.7130126953125, 382.7359924316406]","[529.0333862304688, 340.2560119628906]","[996.3128662109375, 708.4157104492188]","[613.9932861328125, 595.1358032226562]","[684.793212890625, 736.7356567382812]","[514.8733520507812, 680.0956420898438]","[1194.552734375, 411.0559387207031]","[1024.6328125, 326.0960388183594]","[1435.2724609375, 510.1758117675781]","[1237.03271484375, 396.8959045410156]","[1477.75244140625, 481.8558654785156]","[1392.79248046875, 425.2159729003906]"
"[503.70269775390625, 595.982421875]","[503.70269775390625, 567.21142578125]","[474.931640625, 610.367919921875]","[518.0881958007812, 437.74169921875]","[1453.147216796875, 509.6693115234375]","[848.955322265625, 380.1995849609375]","[532.4737548828125, 322.657470703125]","[992.8106079101562, 696.68115234375]","[618.7869262695312, 581.596923828125]","[676.3289794921875, 739.837646484375]","[518.0881958007812, 667.9100341796875]","[1194.207763671875, 408.9705810546875]","[992.8106079101562, 337.04302978515625]","[1366.833984375, 524.0546875]","[1151.0511474609375, 380.1995849609375]","[1481.9183349609375, 480.898193359375]","[1395.6051025390625, 452.127197265625]"
"[491.27154541015625, 610.3929443359375]","[491.27154541015625, 581.7388916015625]","[476.94451904296875, 610.3929443359375]","[519.9256591796875, 438.468505859375]","[1451.1832275390625, 510.103759765625]","[849.4475708007812, 381.160400390625]","[519.9256591796875, 338.17919921875]","[992.7179565429688, 696.355224609375]","[620.2149047851562, 596.06591796875]","[677.5231323242188, 739.3363037109375]","[519.9256591796875, 667.7010498046875]","[1193.2965087890625, 409.8143310546875]","[1007.0450439453125, 323.8521728515625]","[1365.2210693359375, 524.4306640625]","[1221.9505615234375, 395.4873046875]","[1479.8372802734375, 481.4495849609375]","[1393.8751220703125, 438.468505859375]"
"[484.0758972167969, 604.144287109375]","[484.0758972167969, 575.5675048828125]","[484.0758972167969, 604.144287109375]","[512.652587890625, 446.9720458984375]","[484.0758972167969, 418.395263671875]","[841.28515625, 375.5302734375]","[526.9409790039062, 318.37677001953125]","[998.4573364257812, 704.162841796875]","[598.3828735351562, 575.5675048828125]","[669.82470703125, 747.0279541015625]","[498.3642272949219, 661.297607421875]","[1184.2060546875, 375.5302734375]","[1012.74560546875, 318.37677001953125]","[1341.378173828125, 532.702392578125]","[1212.7828369140625, 361.24188232421875]","[1498.55029296875, 489.837158203125]","[1427.1083984375, 446.9720458984375]"
"[503.00994873046875, 610.1909790039062]","[488.69085693359375, 581.5527954101562]","[474.3717041015625, 610.1909790039062]","[517.3290405273438, 438.3617248535156]","[1448.0703125, 509.9573059082031]","[846.6682739257812, 381.0854187011719]","[531.6481323242188, 323.8090515136719]","[989.8593139648438, 696.1055297851562]","[617.5626831054688, 581.5527954101562]","[674.8390502929688, 739.0629272460938]","[517.3290405273438, 667.4673461914062]","[1190.3265380859375, 409.7235412597656]","[989.8593139648438, 338.1282043457031]","[1319.1983642578125, 552.9146118164062]","[1147.3692626953125, 395.4045715332031]","[1476.70849609375, 481.3191223144531]","[1390.7939453125, 452.6809387207031]"
