鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1105.7037353515625, 1252.94775390625]","[1065.513916015625, 1226.154541015625]","[1038.7208251953125, 1252.94775390625]","[1520.997802734375, 1306.533935546875]","[958.3413696289062, 1373.516845703125]","[1226.27294921875, 1427.103271484375]","[1172.6866455078125, 1601.2587890625]","[1480.80810546875, 1293.137451171875]","[1507.6011962890625, 1360.120361328125]","[1748.73974609375, 1038.602294921875]","[1762.13623046875, 1078.7921142578125]","[1989.878173828125, 1882.5870361328125]","[1882.70556640625, 2029.949462890625]","[2271.20654296875, 2016.552978515625]","[1427.2216796875, 1494.086181640625]","[1735.34326171875, 1065.3955078125]","[1172.6866455078125, 1601.2587890625]"
"[1106.405029296875, 1253.66357421875]","[1066.196044921875, 1226.857666015625]","[1039.39013671875, 1253.66357421875]","[1521.897705078125, 1307.275634765625]","[958.9722290039062, 1374.29052734375]","[1213.62890625, 1427.90234375]","[1173.419921875, 1602.141357421875]","[1481.688720703125, 1293.87255859375]","[1508.49462890625, 1360.887451171875]","[1749.748291015625, 1039.2158203125]","[1763.1513671875, 1079.4248046875]","[1991.002197265625, 1870.200927734375]","[1856.9722900390625, 2004.230712890625]","[2272.46484375, 2017.6337890625]","[1428.07666015625, 1494.917236328125]","[1736.345458984375, 1066.021728515625]","[1173.419921875, 1602.141357421875]"
"[1105.24658203125, 1254.3115234375]","[1078.4560546875, 1227.5208740234375]","[1038.27001953125, 1254.3115234375]","[1520.5008544921875, 1307.892822265625]","[957.8983764648438, 1374.869140625]","[1212.408935546875, 1428.450439453125]","[1185.618408203125, 1602.58935546875]","[1480.31494140625, 1294.4974365234375]","[1507.105712890625, 1361.473876953125]","[1748.220947265625, 1039.9866943359375]","[1761.6162109375, 1080.172607421875]","[2002.731689453125, 1883.8905029296875]","[1882.174072265625, 2044.6341552734375]","[2270.6376953125, 2017.8436279296875]","[1426.73388671875, 1495.427001953125]","[1734.82568359375, 1066.77734375]","[1172.22314453125, 1602.58935546875]"
"[1103.782958984375, 1254.189453125]","[1076.9464111328125, 1227.35302734375]","[1050.1099853515625, 1254.189453125]","[1519.7481689453125, 1307.862548828125]","[956.182373046875, 1374.95361328125]","[1211.1287841796875, 1428.626708984375]","[1184.2923583984375, 1603.063720703125]","[1479.4935302734375, 1294.4443359375]","[1506.3299560546875, 1348.1171875]","[1747.858154296875, 1039.497802734375]","[1761.2763671875, 1079.75244140625]","[2002.8046875, 1884.8466796875]","[1855.2041015625, 2045.865478515625]","[2257.7509765625, 2032.447265625]","[1425.820556640625, 1495.7177734375]","[1734.43994140625, 1066.334228515625]","[1170.8741455078125, 1603.063720703125]"
"[1104.8038330078125, 1254.5323486328125]","[1077.9404296875, 1227.6689453125]","[1051.0771484375, 1254.5323486328125]","[1521.185791015625, 1308.259033203125]","[957.055419921875, 1375.4173583984375]","[1212.2572021484375, 1429.1441650390625]","[1185.3939208984375, 1603.7559814453125]","[1480.8907470703125, 1294.827392578125]","[1507.754150390625, 1348.5540771484375]","[1749.5244140625, 1039.62548828125]","[1762.9560546875, 1079.9205322265625]","[2004.72607421875, 1899.2528076171875]","[1870.409423828125, 2060.432861328125]","[2246.496337890625, 2033.569580078125]","[1427.1640625, 1496.302490234375]","[1736.092529296875, 1066.48876953125]","[1171.962158203125, 1603.7559814453125]"
"[1102.527099609375, 1254.1357421875]","[1075.6781005859375, 1227.28662109375]","[1048.8289794921875, 1254.1357421875]","[1518.6875, 1307.833984375]","[954.8573608398438, 1374.95654296875]","[1223.347900390625, 1428.65478515625]","[1183.0743408203125, 1603.173583984375]","[1478.4140625, 1294.409423828125]","[1505.2630615234375, 1361.5321044921875]","[1746.90478515625, 1052.767822265625]","[1773.753662109375, 1079.616943359375]","[2001.970703125, 1885.0888671875]","[1840.87646484375, 2032.758544921875]","[2270.46142578125, 2019.334228515625]","[1424.7158203125, 1495.77734375]","[1746.90478515625, 1052.767822265625]","[1169.6497802734375, 1603.173583984375]"
"[1101.3114013671875, 1252.872802734375]","[1074.397705078125, 1225.959228515625]","[1047.4842529296875, 1252.872802734375]","[1518.4716796875, 1306.699951171875]","[953.2868041992188, 1373.98388671875]","[1222.4224853515625, 1427.81103515625]","[1168.5953369140625, 1602.749267578125]","[1478.1014404296875, 1293.2431640625]","[1505.0150146484375, 1360.527099609375]","[1747.237060546875, 1051.02099609375]","[1760.69384765625, 1091.391357421875]","[1989.459228515625, 1885.341796875]","[1827.977783203125, 2033.366455078125]","[2231.681396484375, 2006.4530029296875]","[1424.2742919921875, 1495.094970703125]","[1747.237060546875, 1051.02099609375]","[1787.607421875, 1037.564208984375]"
"[1102.746337890625, 1252.95458984375]","[1075.9012451171875, 1226.109375]","[1049.0560302734375, 1252.95458984375]","[1518.8463134765625, 1306.64501953125]","[955.0980834960938, 1373.7578125]","[1223.549560546875, 1427.4482421875]","[1169.859375, 1601.941650390625]","[1478.57861328125, 1293.222412109375]","[1505.423828125, 1360.335205078125]","[1747.0302734375, 1051.615966796875]","[1773.87548828125, 1078.4610595703125]","[2002.059326171875, 1883.8157958984375]","[1854.410888671875, 2031.4642333984375]","[2270.510986328125, 2018.0416259765625]","[1424.8883056640625, 1494.56103515625]","[1747.0302734375, 1065.03857421875]","[1169.859375, 1601.941650390625]"
"[1104.234619140625, 1253.180908203125]","[1077.4039306640625, 1226.350341796875]","[1050.5732421875, 1253.180908203125]","[1520.1102294921875, 1306.84228515625]","[956.6658935546875, 1373.9189453125]","[1224.97265625, 1427.580322265625]","[1184.7266845703125, 1601.979736328125]","[1479.8641357421875, 1293.427001953125]","[1506.69482421875, 1360.503662109375]","[1748.1708984375, 1038.535400390625]","[1775.001708984375, 1078.781494140625]","[2003.0625, 1883.7020263671875]","[1882.32421875, 2044.6861572265625]","[2271.369140625, 2017.8553466796875]","[1426.2027587890625, 1494.656982421875]","[1734.755615234375, 1065.3662109375]","[1171.311279296875, 1601.979736328125]"
"[1102.4549560546875, 1253.555908203125]","[1075.619384765625, 1226.7203369140625]","[1048.7838134765625, 1253.555908203125]","[1518.406005859375, 1307.22705078125]","[954.8594360351562, 1374.31591796875]","[1223.21484375, 1427.987060546875]","[1169.5438232421875, 1602.41796875]","[1478.152587890625, 1293.8092041015625]","[1504.9881591796875, 1360.898193359375]","[1746.5081787109375, 1052.289306640625]","[1773.34375, 1079.124755859375]","[1988.028076171875, 1884.1912841796875]","[1827.0147705078125, 2018.3690185546875]","[2229.548095703125, 2004.9512939453125]","[1424.4815673828125, 1495.075927734375]","[1746.5081787109375, 1052.289306640625]","[1786.761474609375, 1038.87158203125]"
