±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[344.46221923828125, 192.3612518310547]","[365.5162353515625, 178.32522583007812]","[330.4261779785156, 178.32522583007812]","[400.60626220703125, 206.3972625732422]","[309.3721923828125, 213.41526794433594]","[435.6963195800781, 318.6853942871094]","[274.2821350097656, 318.6853942871094]","[484.8223571777344, 430.9734802246094]","[232.17408752441406, 437.99151611328125]","[562.0204467773438, 515.1896362304688]","[147.9580078125, 487.1175231933594]","[386.5702209472656, 564.3156127929688]","[288.3181457519531, 557.2976684570312]","[372.53424072265625, 753.8018188476562]","[281.3001403808594, 739.7658081054688]","[351.4802551269531, 943.2879028320312]","[288.3181457519531, 908.1980590820312]"
"[344.47686767578125, 197.1595458984375]","[365.50994873046875, 183.13748168945312]","[330.45477294921875, 183.13748168945312]","[393.5540466308594, 204.1705780029297]","[309.42169189453125, 218.19264221191406]","[435.6202392578125, 323.35809326171875]","[274.3665466308594, 316.3470764160156]","[484.6973876953125, 442.54559326171875]","[239.31141662597656, 442.54559326171875]","[561.8187255859375, 512.6558837890625]","[155.17906188964844, 491.622802734375]","[386.54302978515625, 561.7330932617188]","[288.38861083984375, 554.7220458984375]","[372.52093505859375, 765.0529174804688]","[274.3665466308594, 751.0308837890625]","[351.4878845214844, 961.3616943359375]","[281.3775939941406, 919.2954711914062]"
"[344.4239196777344, 201.36416625976562]","[365.5326232910156, 187.29168701171875]","[330.3514099121094, 194.3279266357422]","[393.6775817871094, 215.43663024902344]","[316.2789611816406, 222.47288513183594]","[435.8949890136719, 328.0165100097656]","[274.0615234375, 328.0165100097656]","[478.1124572753906, 454.66876220703125]","[238.8802947998047, 447.6325378417969]","[569.5835571289062, 510.9587097167969]","[154.4454345703125, 482.8137512207031]","[393.6775817871094, 567.2485961914062]","[288.1340026855469, 560.2123413085938]","[372.56884765625, 778.3357543945312]","[274.0615234375, 764.2632446289062]","[358.4963684082031, 975.3504028320312]","[267.0252990722656, 947.2055053710938]"
"[351.86834716796875, 219.13047790527344]","[365.1986389160156, 205.80023193359375]","[331.87298583984375, 205.80023193359375]","[398.5242614746094, 232.46072387695312]","[318.5427551269531, 239.1258544921875]","[438.5149841308594, 352.43304443359375]","[278.5519714355469, 345.76788330078125]","[478.5057678222656, 465.74017333984375]","[231.8960723876953, 459.0750427246094]","[571.8175659179688, 505.73089599609375]","[145.2494354248047, 485.73553466796875]","[385.1940002441406, 599.0426635742188]","[285.21710205078125, 585.7124633789062]","[378.5288391113281, 792.3313598632812]","[265.2217102050781, 779.0010986328125]","[358.5334777832031, 992.2850341796875]","[258.5566101074219, 972.2897338867188]"
"[351.656982421875, 233.51268005371094]","[365.37158203125, 219.79811096191406]","[337.94244384765625, 226.65541076660156]","[399.657958984375, 254.08453369140625]","[317.37060546875, 254.08453369140625]","[433.94439697265625, 370.6583557128906]","[276.2268981933594, 356.94378662109375]","[488.8026123046875, 487.23211669921875]","[228.2259063720703, 473.517578125]","[577.9473266601562, 507.803955078125]","[139.08123779296875, 494.08941650390625]","[385.94342041015625, 610.6632080078125]","[283.08416748046875, 603.805908203125]","[379.08612060546875, 795.809814453125]","[262.5123596191406, 788.9525146484375]","[358.5143127441406, 994.6708984375]","[248.7977752685547, 987.8136596679688]"
"[351.30224609375, 253.0533447265625]","[365.6618347167969, 238.6938018798828]","[329.762939453125, 238.6938018798828]","[401.5606994628906, 260.233154296875]","[315.40338134765625, 267.41290283203125]","[437.4595031738281, 382.289306640625]","[279.5045166015625, 367.92974853515625]","[502.0774841308594, 497.1656799316406]","[214.8865509033203, 482.8061218261719]","[588.2348022460938, 511.52520751953125]","[128.72926330566406, 497.1656799316406]","[380.0213317871094, 626.4016723632812]","[272.32476806640625, 619.2218627929688]","[387.2011413574219, 820.2554321289062]","[250.78541564941406, 813.0757446289062]","[358.4820251464844, 992.5700073242188]","[236.4258575439453, 1006.9295043945312]"
"[351.2308349609375, 255.6775360107422]","[365.72027587890625, 241.1880645751953]","[329.49664306640625, 241.1880645751953]","[401.94390869140625, 262.9222717285156]","[315.0072021484375, 270.1669921875]","[438.1675720214844, 378.8379821777344]","[278.7835388183594, 371.5932312011719]","[510.6148376464844, 487.5089111328125]","[206.33619689941406, 473.01947021484375]","[590.3069458007812, 516.4878540039062]","[119.39944458007812, 501.9983825683594]","[380.2097473144531, 625.1587524414062]","[271.538818359375, 617.9140014648438]","[380.2097473144531, 820.7665405273438]","[249.80458068847656, 813.5217895507812]","[358.4755554199219, 994.6399536132812]","[235.3151397705078, 1009.1293334960938]"
"[343.85693359375, 240.08265686035156]","[358.4693908691406, 232.7764434814453]","[329.2445373535156, 232.7764434814453]","[395.00048828125, 254.69509887695312]","[314.632080078125, 254.69509887695312]","[438.8377685546875, 371.5946044921875]","[270.7947692871094, 356.982177734375]","[511.89996337890625, 473.88165283203125]","[205.03880310058594, 466.575439453125]","[592.2683715820312, 517.7189331054688]","[124.67039489746094, 510.4127502441406]","[380.3880310058594, 620.0059814453125]","[270.7947692871094, 612.6998291015625]","[373.08184814453125, 809.9676513671875]","[256.1823425292969, 802.6614990234375]","[358.4693908691406, 992.623046875]","[241.5698699951172, 992.623046875]"
"[344.7274475097656, 229.175537109375]","[358.5108642578125, 215.3921356201172]","[324.0523681640625, 215.3921356201172]","[392.9693603515625, 236.06723022460938]","[310.2689514160156, 236.06723022460938]","[434.31951904296875, 353.2261962890625]","[268.9187316894531, 346.33447265625]","[503.236572265625, 456.6016845703125]","[206.89341735839844, 456.6016845703125]","[579.0452880859375, 525.5186767578125]","[124.1929931640625, 511.73529052734375]","[379.1859436035156, 601.3274536132812]","[275.8104248046875, 594.4357299804688]","[372.29425048828125, 801.1867065429688]","[255.1353302001953, 787.4033203125]","[358.5108642578125, 987.2626342773438]","[255.1353302001953, 966.5875244140625]"
"[330.384765625, 213.10687255859375]","[351.4691162109375, 199.0506591796875]","[316.32861328125, 199.0506591796875]","[386.609619140625, 220.13497924804688]","[302.27239990234375, 220.13497924804688]","[428.77825927734375, 339.61273193359375]","[260.103759765625, 332.58465576171875]","[492.03118896484375, 445.03424072265625]","[210.9070281982422, 445.03424072265625]","[562.3121948242188, 522.3433837890625]","[133.597900390625, 508.28717041015625]","[379.5815124511719, 585.5963134765625]","[281.1880798339844, 578.5682373046875]","[365.5252990722656, 782.3832397460938]","[260.103759765625, 775.3551025390625]","[351.4691162109375, 972.1419067382812]","[260.103759765625, 965.11376953125]"
