鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[262.5579528808594, 347.82513427734375]","[270.221435546875, 340.16162109375]","[260.0034484863281, 342.71612548828125]","[134.83299255371094, 240.53614807128906]","[139.94198608398438, 199.66416931152344]","[4.553547382354736, 169.0101776123047]","[88.85201263427734, 306.953125]","[4.553547382354736, 286.51715087890625]","[4.553547382354736, 294.1806335449219]","[137.38748168945312, 235.4271697998047]","[134.83299255371094, 248.1996612548828]","[73.52501678466797, 181.78269958496094]","[93.96100616455078, 202.2186737060547]","[134.83299255371094, 197.1096649169922]","[116.95149993896484, 181.78269958496094]","[254.89442443847656, 214.9911651611328]","[254.89442443847656, 214.9911651611328]"
"[0.875201404094696, 276.77960205078125]","[158.0583953857422, 245.9305419921875]","[263.8265380859375, 216.55050659179688]","[175.68641662597656, 234.17852783203125]","[278.51654052734375, 225.364501953125]","[122.80235290527344, 304.69061279296875]","[75.7942886352539, 181.29446411132812]","[19.972225189208984, 272.37255859375]","[28.78623390197754, 275.31060791015625]","[172.7484130859375, 231.24053955078125]","[166.8723907470703, 237.11651611328125]","[102.236328125, 184.2324676513672]","[128.67835998535156, 222.426513671875]","[178.62440490722656, 187.1704559326172]","[160.99639892578125, 178.3564453125]","[281.4545593261719, 210.6744842529297]","[281.4545593261719, 210.6744842529297]"
"[165.7331085205078, 325.5932312011719]","[200.3955535888672, 242.40333557128906]","[332.11285400390625, 214.6733856201172]","[207.3280487060547, 228.5383758544922]","[210.79428100585938, 228.5383758544922]","[9.75210952758789, 280.53204345703125]","[131.07066345214844, 186.9434356689453]","[82.54324340820312, 259.7345886230469]","[89.4757308959961, 259.7345886230469]","[207.3280487060547, 232.00462341308594]","[207.3280487060547, 235.4708709716797]","[110.273193359375, 176.54469299316406]","[148.40188598632812, 200.8084259033203]","[183.06434631347656, 190.40968322753906]","[158.8006134033203, 173.07847595214844]","[325.1803894042969, 221.6058807373047]","[321.714111328125, 228.5383758544922]"
"[222.85121154785156, 311.2595520019531]","[237.5081024169922, 245.3035125732422]","[325.449462890625, 223.3181610107422]","[340.10638427734375, 208.66127014160156]","[241.17233276367188, 215.98973083496094]","[24.983142852783203, 270.9530944824219]","[127.58140563964844, 190.3401641845703]","[127.58140563964844, 252.63194274902344]","[116.58872985839844, 259.9604187011719]","[248.5007781982422, 230.64662170410156]","[244.8365478515625, 234.3108367919922]","[142.23829650878906, 190.3401641845703]","[142.23829650878906, 190.3401641845703]","[263.1576843261719, 223.3181610107422]","[230.17965698242188, 190.3401641845703]","[351.09906005859375, 234.3108367919922]","[358.427490234375, 234.3108367919922]"
"[6.810155868530273, 256.6695556640625]","[81.65390014648438, 335.2554931640625]","[156.49765014648438, 252.92733764648438]","[167.72421264648438, 249.18515014648438]","[6.810155868530273, 279.1226806640625]","[17.046062469482422, 265.636474609375]","[6.810155868530273, 181.82577514648438]","[171.46640014648438, 258.1300048828125]","[163.9820098876953, 262.4997863769531]","[276.2476806640625, 229.8290252685547]","[276.2476806640625, 229.16456604003906]","[197.66171264648438, 196.79452514648438]","[14.294530868530273, 200.53671264648438]","[272.5054931640625, 217.92991638183594]","[263.191162109375, 203.6824188232422]","[397.5205078125, 239.55438232421875]","[395.9976501464844, 241.14613342285156]"
"[1.1968750953674316, 201.3503875732422]","[414.7086181640625, 270.58087158203125]","[448.3883056640625, 251.8699188232422]","[1.1968750953674316, 246.2566375732422]","[309.9273681640625, 218.1902313232422]","[62.942970275878906, 263.09649658203125]","[59.200782775878906, 188.2527313232422]","[193.91952514648438, 259.35430908203125]","[205.14608764648438, 255.6121063232422]","[298.7008056640625, 233.1589813232422]","[306.1851806640625, 225.6746063232422]","[59.200782775878906, 255.6121063232422]","[85.39608764648438, 188.2527313232422]","[298.7008056640625, 229.4167938232422]","[294.9586181640625, 218.1902313232422]","[429.6773681640625, 255.6121063232422]","[433.4195556640625, 255.6121063232422]"
"[10.552343368530273, 148.7355499267578]","[6.810155868530273, 141.2511749267578]","[6.810155868530273, 152.4777374267578]","[10.552343368530273, 141.2511749267578]","[6.810155868530273, 186.1574249267578]","[92.88046264648438, 171.1886749267578]","[92.88046264648438, 257.2590026855469]","[182.69296264648438, 156.2199249267578]","[223.85702514648438, 261.0011901855469]","[343.6070556640625, 234.8058624267578]","[332.3804931640625, 238.5480499267578]","[250.05233764648438, 197.3839874267578]","[268.7633056640625, 227.3214874267578]","[347.3492431640625, 227.3214874267578]","[351.0914306640625, 227.3214874267578]","[463.3570556640625, 261.0011901855469]","[467.0992431640625, 257.2590026855469]"
"[25.521095275878906, 119.8852767944336]","[10.552343368530273, 119.8852767944336]","[10.552343368530273, 127.3696517944336]","[358.5758056640625, 232.1509246826172]","[10.552343368530273, 187.24464416503906]","[115.33358764648438, 176.01808166503906]","[122.81796264648438, 254.6040496826172]","[197.66171264648438, 146.08058166503906]","[250.05233764648438, 258.34625244140625]","[351.0914306640625, 228.4087371826172]","[351.0914306640625, 228.4087371826172]","[294.9586181640625, 194.7290496826172]","[317.4117431640625, 243.3774871826172]","[358.5758056640625, 228.4087371826172]","[366.0601806640625, 224.6665496826172]","[472.7125244140625, 256.47515869140625]","[472.7125244140625, 248.9907684326172]"
"[40.489845275878906, 125.0933609008789]","[14.294530868530273, 125.0933609008789]","[21.778907775878906, 140.06211853027344]","[472.7125244140625, 257.9410400390625]","[25.521095275878906, 199.93711853027344]","[130.30233764648438, 184.96836853027344]","[141.52890014648438, 259.8121337890625]","[261.2789306640625, 214.90586853027344]","[265.0211181640625, 259.8121337890625]","[369.8023681640625, 226.13243103027344]","[366.0601806640625, 226.13243103027344]","[309.9273681640625, 199.93711853027344]","[324.8961181640625, 233.61680603027344]","[467.0992431640625, 263.5543212890625]","[395.9976806640625, 233.61680603027344]","[472.7125244140625, 257.9410400390625]","[467.0992431640625, 248.58555603027344]"
"[59.200782775878906, 150.7749481201172]","[44.232032775878906, 147.0327606201172]","[33.005470275878906, 158.2593231201172]","[467.0992431640625, 255.55621337890625]","[33.005470275878906, 214.39215087890625]","[137.78671264648438, 191.93902587890625]","[152.75546264648438, 270.52496337890625]","[223.85702514648438, 184.4546356201172]","[272.5054931640625, 266.78277587890625]","[287.4742431640625, 184.4546356201172]","[369.8023681640625, 229.36090087890625]","[324.8961181640625, 210.64996337890625]","[339.8648681640625, 248.07183837890625]","[463.3570556640625, 259.29840087890625]","[463.3570556640625, 259.29840087890625]","[472.7125244140625, 249.94293212890625]","[467.0992431640625, 255.55621337890625]"
