鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[909.4649658203125, 410.826904296875]","[929.2831420898438, 391.0086669921875]","[909.4649658203125, 397.61474609375]","[968.9194946289062, 410.826904296875]","[988.7377319335938, 410.826904296875]","[968.9194946289062, 516.52392578125]","[1028.3740234375, 516.52392578125]","[830.1921997070312, 397.61474609375]","[949.1013793945312, 391.0086669921875]","[783.9497680664062, 232.4630889892578]","[929.2831420898438, 305.12982177734375]","[975.5255737304688, 866.6453247070312]","[1015.1620483398438, 853.4331665039062]","[1001.9498901367188, 1051.6151123046875]","[869.8285522460938, 1045.009033203125]","[929.2831420898438, 417.43292236328125]","[929.2831420898438, 377.79656982421875]"
"[908.6735229492188, 407.52313232421875]","[928.5897827148438, 394.24566650390625]","[908.6735229492188, 394.24566650390625]","[968.4221801757812, 407.52313232421875]","[988.3384399414062, 407.52313232421875]","[968.4221801757812, 513.7429809570312]","[1028.1707763671875, 513.7429809570312]","[829.0086059570312, 400.8843994140625]","[941.8672485351562, 387.6069030761719]","[782.5374145507812, 228.27708435058594]","[928.5897827148438, 301.30328369140625]","[975.0609741210938, 852.3189086914062]","[1014.8933715820312, 845.6801147460938]","[988.3384399414062, 1044.84228515625]","[888.7572631835938, 1018.287353515625]","[928.5897827148438, 414.1618957519531]","[928.5897827148438, 374.32940673828125]"
"[902.5093383789062, 410.24285888671875]","[922.5430297851562, 390.20916748046875]","[902.5093383789062, 390.20916748046875]","[962.6104125976562, 403.5649719238281]","[969.2882690429688, 390.20916748046875]","[969.2882690429688, 510.4112854003906]","[1029.3892822265625, 510.4112854003906]","[829.0525512695312, 396.8870849609375]","[942.5767211914062, 383.53131103515625]","[782.3073120117188, 229.93972778320312]","[929.2208862304688, 296.71868896484375]","[975.9661865234375, 844.305908203125]","[1022.71142578125, 837.6279907226562]","[982.6441040039062, 1051.320556640625]","[1022.71142578125, 1051.320556640625]","[929.2208862304688, 410.24285888671875]","[909.1871948242188, 370.1755065917969]"
"[904.7335815429688, 401.928955078125]","[918.1217651367188, 388.540771484375]","[904.7335815429688, 388.540771484375]","[964.9802856445312, 401.928955078125]","[991.756591796875, 395.23486328125]","[964.9802856445312, 502.340087890625]","[1025.2269287109375, 502.340087890625]","[824.4047241210938, 388.540771484375]","[944.8980102539062, 381.84674072265625]","[784.240234375, 227.88296508789062]","[938.2039184570312, 294.82373046875]","[971.6743774414062, 843.7379150390625]","[1025.2269287109375, 837.0438842773438]","[991.756591796875, 1044.5601806640625]","[884.6513671875, 1024.4779052734375]","[924.8158569335938, 408.623046875]","[924.8158569335938, 375.15264892578125]"
"[911.2022094726562, 397.4132080078125]","[924.5476684570312, 384.0677185058594]","[911.2022094726562, 390.740478515625]","[964.5840454101562, 397.4132080078125]","[984.602294921875, 377.3949890136719]","[964.5840454101562, 497.50433349609375]","[1024.638671875, 497.50433349609375]","[824.45654296875, 384.0677185058594]","[937.8931274414062, 384.0677185058594]","[784.4201049804688, 217.24920654296875]","[937.8931274414062, 290.6493835449219]","[977.9295043945312, 831.1412963867188]","[1024.638671875, 824.4685668945312]","[984.602294921875, 1044.6689453125]","[971.2568359375, 1044.6689453125]","[931.2203979492188, 410.7586975097656]","[924.5476684570312, 377.3949890136719]"
"[909.4884643554688, 400.8404235839844]","[922.7667846679688, 380.92291259765625]","[909.4884643554688, 387.56207275390625]","[969.2410278320312, 394.2012634277344]","[995.7976684570312, 387.56207275390625]","[962.6018676757812, 493.788818359375]","[1022.3543701171875, 493.788818359375]","[829.818359375, 380.92291259765625]","[843.0966796875, 394.2012634277344]","[789.9833374023438, 214.94354248046875]","[929.4059448242188, 287.9744567871094]","[989.1585083007812, 839.0258178710938]","[1035.632568359375, 825.7474975585938]","[989.1585083007812, 1038.200927734375]","[1028.993408203125, 1044.8402099609375]","[929.4059448242188, 414.1187438964844]","[922.7667846679688, 380.92291259765625]"
"[911.3917236328125, 397.45263671875]","[924.6069946289062, 377.62969970703125]","[917.9993286132812, 390.844970703125]","[964.2528076171875, 390.844970703125]","[997.2909545898438, 384.23736572265625]","[957.6452026367188, 496.56719970703125]","[1023.7214965820312, 489.9595947265625]","[832.10009765625, 384.23736572265625]","[951.0375366210938, 384.23736572265625]","[785.8466186523438, 212.4387664794922]","[937.8223266601562, 291.73046875]","[990.6834106445312, 833.5567016601562]","[1036.936767578125, 820.3414306640625]","[1017.1139526367188, 1051.608642578125]","[1036.936767578125, 1051.608642578125]","[944.4298706054688, 417.2755126953125]","[931.2146606445312, 384.23736572265625]"
"[867.3197631835938, 174.3631134033203]","[874.0634765625, 154.13186645507812]","[860.5759887695312, 160.87562561035156]","[914.5259399414062, 160.87562561035156]","[954.9884643554688, 167.61936950683594]","[914.5259399414062, 241.80062866210938]","[995.4509887695312, 262.0318908691406]","[813.3696899414062, 356.44439697265625]","[894.2947387695312, 369.931884765625]","[779.6509399414062, 201.33811950683594]","[840.3447265625, 309.2381591796875]","[874.0634765625, 572.244384765625]","[934.7572631835938, 578.9881591796875]","[732.4447631835938, 754.3256225585938]","[826.8572387695312, 754.3256225585938]","[914.5259399414062, 922.9193725585938]","[914.5259399414062, 949.8943481445312]"
"[865.3263549804688, 174.3631134033203]","[872.0701293945312, 154.13186645507812]","[858.5825805664062, 160.87562561035156]","[912.5325927734375, 160.87562561035156]","[952.9950561523438, 167.61936950683594]","[905.7888793945312, 241.80062866210938]","[986.7138061523438, 255.2881317138672]","[811.3763427734375, 356.44439697265625]","[845.0950927734375, 376.6756591796875]","[777.6575927734375, 208.0818634033203]","[838.3513793945312, 309.2381591796875]","[872.0701293945312, 578.9881591796875]","[939.5076293945312, 578.9881591796875]","[757.4263305664062, 754.3256225585938]","[824.8638305664062, 747.5819091796875]","[932.7638549804688, 916.1755981445312]","[919.2763061523438, 956.6381225585938]"
"[865.7789916992188, 174.3631134033203]","[872.5227661132812, 154.13186645507812]","[859.0352783203125, 160.87562561035156]","[912.9852905273438, 160.87562561035156]","[946.7040405273438, 167.61936950683594]","[906.2415161132812, 248.5443878173828]","[987.1665649414062, 262.0318908691406]","[811.8290405273438, 363.1881408691406]","[838.8040161132812, 390.16314697265625]","[778.1102905273438, 208.0818634033203]","[805.0852661132812, 390.16314697265625]","[872.5227661132812, 578.9881591796875]","[939.9602661132812, 578.9881591796875]","[751.1353149414062, 761.0693969726562]","[825.3165283203125, 747.5819091796875]","[933.2164916992188, 929.6630859375]","[919.7290649414062, 956.6381225585938]"
