鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[392.34954833984375, 534.9863891601562]","[397.03271484375, 530.3032836914062]","[378.30010986328125, 534.9863891601562]","[331.4686279296875, 534.9863891601562]","[354.8843994140625, 563.0853271484375]","[415.76531982421875, 581.8179321289062]","[368.933837890625, 605.233642578125]","[411.0821533203125, 516.2538452148438]","[317.419189453125, 525.6201171875]","[364.25067138671875, 469.4223327636719]","[312.73602294921875, 464.73919677734375]","[467.27996826171875, 755.0944213867188]","[415.76531982421875, 764.4607543945312]","[514.1113891601562, 881.5394287109375]","[406.3990478515625, 895.5889282226562]","[560.9429321289062, 1007.9844360351562]","[359.5675048828125, 1017.3507080078125]"
"[384.21917724609375, 536.592529296875]","[393.4780578613281, 531.9630737304688]","[374.96026611328125, 536.592529296875]","[328.6658935546875, 541.2219848632812]","[351.8130798339844, 568.9985961914062]","[416.625244140625, 582.8869018554688]","[361.07196044921875, 606.0341186523438]","[407.3663635253906, 522.7041625976562]","[310.14813232421875, 527.3336181640625]","[356.4425048828125, 476.4097900390625]","[300.88922119140625, 471.78033447265625]","[472.1785583496094, 763.4351196289062]","[411.99578857421875, 772.6940307617188]","[513.843505859375, 888.4300537109375]","[407.3663635253906, 902.3182983398438]","[555.5084838867188, 1008.79541015625]","[361.07196044921875, 1022.6837158203125]"
"[384.0636901855469, 542.4916381835938]","[388.64276123046875, 533.3335571289062]","[370.3265075683594, 537.91259765625]","[333.6939697265625, 551.6497802734375]","[347.4311828613281, 569.9660034179688]","[411.5380859375, 588.2822875976562]","[356.58929443359375, 606.5985717773438]","[397.8008728027344, 524.1753540039062]","[306.2196044921875, 537.91259765625]","[347.4311828613281, 478.3847351074219]","[287.9033203125, 482.96380615234375]","[466.4868469238281, 766.8657836914062]","[411.5380859375, 776.02392578125]","[516.8565063476562, 890.50048828125]","[406.958984375, 904.2376708984375]","[558.0680541992188, 1014.1351928710938]","[361.16839599609375, 1023.2933349609375]"
"[374.1302795410156, 547.0224609375]","[383.21099853515625, 542.4821166992188]","[360.5091552734375, 547.0224609375]","[378.670654296875, 556.1032104492188]","[342.34765625, 574.2647094726562]","[410.4532470703125, 592.4262084960938]","[355.96881103515625, 615.1279907226562]","[392.291748046875, 528.8609619140625]","[301.48431396484375, 551.5628051757812]","[342.34765625, 487.99761962890625]","[283.3228454589844, 497.078369140625]","[464.9377136230469, 769.5006713867188]","[414.99365234375, 778.5814208984375]","[514.8817749023438, 887.5503540039062]","[405.9128723144531, 905.7118530273438]","[560.2855834960938, 1014.6807250976562]","[365.049560546875, 1023.7614135742188]"
"[377.04388427734375, 552.1637573242188]","[386.03680419921875, 543.1708374023438]","[359.0580139160156, 547.6672973632812]","[296.10748291015625, 547.6672973632812]","[341.0721435546875, 574.6461791992188]","[408.5191650390625, 592.6320190429688]","[354.5615539550781, 619.6107788085938]","[390.5332946777344, 534.1779174804688]","[291.61102294921875, 547.6672973632812]","[332.0792236328125, 498.2061767578125]","[282.61810302734375, 502.7026672363281]","[466.97320556640625, 772.4906616210938]","[417.5120849609375, 781.4835815429688]","[516.434326171875, 889.3988037109375]","[408.5191650390625, 907.3846435546875]","[561.3990478515625, 1015.2998046875]","[363.55450439453125, 1028.7890625]"
"[375.35760498046875, 554.6080932617188]","[384.23297119140625, 550.17041015625]","[362.04449462890625, 550.17041015625]","[330.9806213378906, 559.0457763671875]","[335.4183349609375, 581.2342529296875]","[406.42144775390625, 598.9850463867188]","[348.7314147949219, 621.1735229492188]","[379.7952880859375, 532.4196166992188]","[291.0413513183594, 554.6080932617188]","[317.66754150390625, 501.355712890625]","[273.29058837890625, 514.6688232421875]","[464.11151123046875, 767.6174926757812]","[415.296875, 776.4928588867188]","[517.3638916015625, 891.8729858398438]","[406.42144775390625, 909.6238403320312]","[561.7408447265625, 1016.1284790039062]","[362.04449462890625, 1025.0037841796875]"
"[373.21197509765625, 557.5081176757812]","[377.6628112792969, 553.0573120117188]","[355.40869140625, 553.0573120117188]","[284.1954345703125, 548.6065063476562]","[333.154541015625, 579.7622680664062]","[399.9169616699219, 602.0164184570312]","[342.05621337890625, 624.2705688476562]","[377.6628112792969, 535.2540283203125]","[284.1954345703125, 557.5081176757812]","[315.35125732421875, 512.9998779296875]","[270.84295654296875, 517.45068359375]","[462.2285461425781, 766.6969604492188]","[413.2694396972656, 775.5986938476562]","[520.0892944335938, 886.8693237304688]","[413.2694396972656, 904.6726684570312]","[560.146728515625, 1020.3941040039062]","[364.31036376953125, 1029.2957763671875]"
"[371.5188293457031, 563.32861328125]","[380.3210754394531, 554.5263671875]","[353.9143371582031, 558.927490234375]","[331.9087219238281, 563.32861328125]","[331.9087219238281, 585.334228515625]","[402.32666015625, 602.938720703125]","[345.1120910644531, 624.9443359375]","[375.9199523925781, 536.921875]","[283.4963684082031, 563.32861328125]","[314.3042297363281, 519.3173828125]","[270.2929992675781, 532.520751953125]","[468.343505859375, 770.1813354492188]","[415.530029296875, 783.3847045898438]","[521.156982421875, 893.4127807617188]","[406.727783203125, 911.0172729492188]","[560.76708984375, 1021.0453491210938]","[362.7165832519531, 1029.8475341796875]"
"[369.472412109375, 555.6146850585938]","[369.472412109375, 551.3438110351562]","[352.3890380859375, 559.8855590820312]","[348.1181640625, 576.9689331054688]","[331.0347900390625, 585.5106201171875]","[399.3683776855469, 606.8648681640625]","[343.8473205566406, 628.2191162109375]","[378.0141296386719, 542.8021240234375]","[262.701171875, 551.3438110351562]","[313.9513854980469, 525.7186889648438]","[284.055419921875, 521.4478759765625]","[467.70196533203125, 764.8862915039062]","[412.180908203125, 773.4280395507812]","[518.9521484375, 893.0117797851562]","[407.9100646972656, 910.0951538085938]","[561.66064453125, 1021.1372680664062]","[360.93072509765625, 1033.94970703125]"
"[367.5203857421875, 558.6210327148438]","[367.5203857421875, 550.0673217773438]","[354.6897277832031, 558.6210327148438]","[346.135986328125, 580.0054321289062]","[329.0284423828125, 588.5592041015625]","[393.181640625, 605.666748046875]","[341.85906982421875, 627.0511474609375]","[376.07415771484375, 545.7904052734375]","[256.3214111328125, 550.0673217773438]","[311.9208984375, 528.682861328125]","[281.98272705078125, 532.959716796875]","[465.888671875, 768.1882934570312]","[414.5660705566406, 772.4651489257812]","[521.4880981445312, 892.2178344726562]","[410.2891845703125, 909.3253784179688]","[555.7031860351562, 1020.5242919921875]","[358.96661376953125, 1033.3548583984375]"
