鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[544.702392578125, 420.3265686035156]","[544.702392578125, 394.2181701660156]","[531.648193359375, 407.2723693847656]","[609.9734497070312, 394.2181701660156]","[636.0819091796875, 420.3265686035156]","[753.56982421875, 472.5433654785156]","[727.46142578125, 459.4891662597656]","[792.7324829101562, 668.3565063476562]","[818.8408813476562, 629.1939086914062]","[649.1361083984375, 655.3023071289062]","[675.2445678710938, 642.2481079101562]","[1079.925048828125, 576.9769897460938]","[1079.925048828125, 563.9227905273438]","[1367.11767578125, 603.0855102539062]","[1354.0634765625, 603.0855102539062]","[1641.256103515625, 576.9769897460938]","[1615.147705078125, 576.9769897460938]"
"[536.876220703125, 418.9454650878906]","[550.1309814453125, 392.4359436035156]","[536.876220703125, 405.6907043457031]","[603.150146484375, 392.4359436035156]","[603.150146484375, 405.6907043457031]","[748.9529418945312, 471.9646301269531]","[722.4432983398438, 458.7098693847656]","[801.9721069335938, 657.5317993164062]","[801.9721069335938, 617.7673950195312]","[642.91455078125, 657.5317993164062]","[669.4241943359375, 631.0221557617188]","[1080.3226318359375, 591.2578735351562]","[1080.3226318359375, 578.0029907226562]","[1358.67333984375, 604.5126342773438]","[1345.41845703125, 604.5126342773438]","[1650.2786865234375, 578.0029907226562]","[1610.5142822265625, 578.0029907226562]"
"[537.3290405273438, 433.743408203125]","[550.5795288085938, 393.99200439453125]","[537.3290405273438, 407.24249267578125]","[616.8317260742188, 393.99200439453125]","[603.581298828125, 407.24249267578125]","[749.336181640625, 473.49462890625]","[722.8352661132812, 460.2442626953125]","[802.3379516601562, 659.0008544921875]","[815.58837890625, 619.24951171875]","[643.3325805664062, 645.7503662109375]","[669.8335571289062, 645.7503662109375]","[1080.5970458984375, 579.498291015625]","[1080.5970458984375, 579.498291015625]","[1372.10693359375, 619.24951171875]","[1345.60595703125, 619.24951171875]","[1663.616455078125, 579.498291015625]","[1610.61474609375, 579.498291015625]"
"[538.4229125976562, 418.6164245605469]","[551.662841796875, 392.1365051269531]","[551.662841796875, 405.3764953613281]","[617.8624877929688, 392.1365051269531]","[604.62255859375, 405.3764953613281]","[750.2618408203125, 471.5760803222656]","[723.781982421875, 471.5760803222656]","[803.2215576171875, 656.9352416992188]","[816.4614868164062, 617.2155151367188]","[644.3424072265625, 656.9352416992188]","[670.822265625, 643.6952514648438]","[1081.2601318359375, 577.4956665039062]","[1081.2601318359375, 577.4956665039062]","[1359.2987060546875, 617.2155151367188]","[1346.058837890625, 603.9755249023438]","[1650.5772705078125, 577.4956665039062]","[1597.6175537109375, 564.2556762695312]"
"[542.0330200195312, 431.4012451171875]","[555.23828125, 391.7855224609375]","[555.23828125, 404.99078369140625]","[621.2645263671875, 391.7855224609375]","[608.0592651367188, 404.99078369140625]","[753.317138671875, 471.01708984375]","[726.9066162109375, 471.01708984375]","[806.13818359375, 655.8905639648438]","[819.3433837890625, 629.4800415039062]","[647.675048828125, 655.8905639648438]","[674.0855712890625, 642.6853637695312]","[1083.448486328125, 589.8643188476562]","[1083.448486328125, 576.6591186523438]","[1360.7586669921875, 616.2748413085938]","[1347.5535888671875, 603.0696411132812]","[1651.2742919921875, 576.6591186523438]","[1598.4534912109375, 563.4537963867188]"
"[536.0447998046875, 428.4398498535156]","[549.181396484375, 389.0300598144531]","[549.181396484375, 402.1665954589844]","[614.8643188476562, 389.0300598144531]","[614.8643188476562, 389.0300598144531]","[759.3667602539062, 467.8495788574219]","[719.95703125, 467.8495788574219]","[798.7765502929688, 664.8982543945312]","[825.0496826171875, 638.6251831054688]","[641.137451171875, 651.7617797851562]","[680.5472412109375, 651.7617797851562]","[1074.644775390625, 586.0787963867188]","[1074.644775390625, 572.9421997070312]","[1363.649658203125, 612.3519897460938]","[1337.37646484375, 612.3519897460938]","[1652.6546630859375, 586.0787963867188]","[1573.8350830078125, 559.8056030273438]"
"[545.6415405273438, 429.7629089355469]","[545.6415405273438, 390.2510681152344]","[558.8121337890625, 403.4217224121094]","[611.4945068359375, 390.2510681152344]","[611.4945068359375, 403.4217224121094]","[756.3710327148438, 469.2746276855469]","[730.0298461914062, 469.2746276855469]","[795.8828125, 666.8334350585938]","[822.2239379882812, 640.4922485351562]","[651.0062866210938, 653.6629028320312]","[690.51806640625, 653.6629028320312]","[1085.6357421875, 587.8099975585938]","[1085.6357421875, 574.6393432617188]","[1362.2181396484375, 614.1511840820312]","[1335.8768310546875, 600.9805297851562]","[1651.9710693359375, 587.8099975585938]","[1572.9476318359375, 561.4686889648438]"
"[549.8090209960938, 429.0227355957031]","[549.8090209960938, 389.6310119628906]","[562.9395751953125, 402.7615661621094]","[615.4617919921875, 389.6310119628906]","[615.4617919921875, 389.6310119628906]","[746.7673950195312, 468.4143371582031]","[720.5062866210938, 468.4143371582031]","[799.2896118164062, 665.3727416992188]","[825.55078125, 639.1116333007812]","[641.722900390625, 652.2421264648438]","[681.1146240234375, 652.2421264648438]","[1075.03125, 586.5892944335938]","[1075.03125, 573.4589233398438]","[1363.9034423828125, 612.8505249023438]","[1337.6424560546875, 612.8505249023438]","[1652.7757568359375, 586.5892944335938]","[1573.992431640625, 560.3283081054688]"
"[539.0794067382812, 415.91314697265625]","[552.3130493164062, 389.44586181640625]","[552.3130493164062, 402.6795654296875]","[618.481201171875, 389.44586181640625]","[605.24755859375, 402.6795654296875]","[750.8174438476562, 468.84765625]","[724.3502197265625, 468.84765625]","[803.751953125, 654.1184692382812]","[816.985595703125, 627.6511840820312]","[644.9484252929688, 654.1184692382812]","[697.8829956054688, 640.8848266601562]","[1081.6580810546875, 587.9502563476562]","[1081.6580810546875, 574.7167358398438]","[1359.564208984375, 614.4175415039062]","[1333.0970458984375, 614.4175415039062]","[1650.7039794921875, 587.9502563476562]","[1571.30224609375, 561.4830932617188]"
"[543.6828002929688, 429.0634765625]","[556.8721313476562, 389.4952392578125]","[556.8721313476562, 402.6846923828125]","[622.8192138671875, 389.4952392578125]","[609.6298217773438, 402.6846923828125]","[754.7133178710938, 468.63165283203125]","[728.3345336914062, 468.63165283203125]","[807.470947265625, 666.4727783203125]","[833.8497314453125, 640.093994140625]","[649.1980590820312, 653.283447265625]","[688.7662963867188, 653.283447265625]","[1084.448486328125, 587.3363037109375]","[1084.448486328125, 574.1468505859375]","[1361.426025390625, 613.715087890625]","[1335.047119140625, 613.715087890625]","[1651.593017578125, 587.3363037109375]","[1572.45654296875, 560.95751953125]"
