鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[553.73291015625, 845.7555541992188]","[532.0216064453125, 834.89990234375]","[542.8772583007812, 878.3225708007812]","[575.4442138671875, 824.0443115234375]","[564.5885620117188, 910.8894653320312]","[694.8563842773438, 802.3330078125]","[673.1450805664062, 932.6007690429688]","[846.8353881835938, 715.4878540039062]","[781.7015380859375, 802.3330078125]","[759.9902954101562, 769.7660522460938]","[759.9902954101562, 769.7660522460938]","[987.9588012695312, 845.7555541992188]","[987.9588012695312, 900.0337524414062]","[1226.782958984375, 748.0547485351562]","[1215.9273681640625, 758.910400390625]","[1454.7515869140625, 878.3225708007812]","[1433.040283203125, 943.4564208984375]"
"[551.2925415039062, 845.8040161132812]","[540.385986328125, 834.8973388671875]","[540.385986328125, 878.5237426757812]","[573.105712890625, 823.9907836914062]","[573.105712890625, 911.2434692382812]","[693.0781860351562, 802.1776123046875]","[671.2649536132812, 933.056640625]","[845.7703247070312, 714.9249267578125]","[780.330810546875, 802.1776123046875]","[758.5177001953125, 769.4578247070312]","[758.5177001953125, 769.4578247070312]","[998.4625244140625, 834.8973388671875]","[987.555908203125, 900.3369140625]","[1227.500732421875, 747.6447143554688]","[1216.5941162109375, 769.4578247070312]","[1423.819091796875, 911.2434692382812]","[1434.725830078125, 943.9631958007812]"
"[558.3123168945312, 834.0733032226562]","[536.3765869140625, 834.0733032226562]","[547.3444213867188, 856.009033203125]","[569.2802124023438, 834.0733032226562]","[569.2802124023438, 899.8805541992188]","[689.9268188476562, 812.1375732421875]","[667.9910278320312, 932.7841186523438]","[843.4769897460938, 724.39453125]","[799.6055297851562, 779.2339477539062]","[755.7340698242188, 768.2660522460938]","[744.7661743164062, 768.2660522460938]","[997.0272827148438, 845.0411987304688]","[986.0593872070312, 899.8805541992188]","[1216.3846435546875, 746.3302612304688]","[1216.3846435546875, 768.2660522460938]","[1457.6778564453125, 877.9447631835938]","[1424.7742919921875, 943.7520141601562]"
"[565.2852172851562, 834.4608764648438]","[532.1299438476562, 823.4091186523438]","[554.2334594726562, 856.5643920898438]","[576.3369750976562, 834.4608764648438]","[565.2852172851562, 900.7714233398438]","[686.8545532226562, 812.3573608398438]","[664.7510375976562, 933.9266967773438]","[841.5791625976562, 723.9432983398438]","[775.2686157226562, 801.3056030273438]","[764.2168579101562, 768.1503295898438]","[742.1133422851562, 768.1503295898438]","[996.3037719726562, 834.4608764648438]","[985.2520141601562, 889.7196655273438]","[1217.3388671875, 746.0468139648438]","[1217.3388671875, 768.1503295898438]","[1416.2705078125, 911.8231811523438]","[1427.322265625, 956.0302124023438]"
"[564.3888549804688, 825.7618408203125]","[542.2806396484375, 814.7078247070312]","[553.334716796875, 847.8700561523438]","[663.8756713867188, 792.599609375]","[575.4429321289062, 903.1405639648438]","[697.0379028320312, 814.7078247070312]","[663.8756713867188, 925.248779296875]","[840.7411499023438, 715.220947265625]","[796.5248413085938, 792.599609375]","[763.3624877929688, 770.491455078125]","[752.3084106445312, 770.491455078125]","[995.4984130859375, 836.81591796875]","[984.4443359375, 892.08642578125]","[1227.63427734375, 748.3832397460938]","[1216.5802001953125, 759.4373168945312]","[1415.553955078125, 914.1946411132812]","[1426.60791015625, 947.3568725585938]"
"[566.0037231445312, 835.9896850585938]","[543.9591674804688, 824.9674072265625]","[554.9814453125, 858.0341796875]","[577.0260009765625, 835.9896850585938]","[566.0037231445312, 902.123291015625]","[698.2710571289062, 802.9227905273438]","[665.2041625976562, 924.1679077148438]","[841.5606079101562, 714.74462890625]","[808.4937744140625, 769.85595703125]","[764.4046630859375, 769.85595703125]","[753.3823852539062, 769.85595703125]","[984.8501586914062, 835.9896850585938]","[984.8501586914062, 891.1010131835938]","[1227.340087890625, 747.8114624023438]","[1216.31787109375, 758.833740234375]","[1425.7410888671875, 913.1455078125]","[1436.763427734375, 957.2346801757812]"
"[566.3884887695312, 835.6063842773438]","[533.2982788085938, 824.5762939453125]","[555.3583984375, 857.6664428710938]","[566.3884887695312, 824.5762939453125]","[566.3884887695312, 901.7867431640625]","[687.7191772460938, 813.5462036132812]","[665.6590576171875, 923.846923828125]","[842.14013671875, 714.275634765625]","[809.0499267578125, 769.4259643554688]","[764.9296875, 769.4259643554688]","[742.8695068359375, 769.4259643554688]","[985.531005859375, 835.6063842773438]","[974.5009155273438, 890.7566528320312]","[1217.162353515625, 747.3657836914062]","[1217.162353515625, 769.4259643554688]","[1415.70361328125, 912.8168334960938]","[1437.763671875, 956.93701171875]"
"[564.4822387695312, 834.4429931640625]","[542.4022216796875, 823.4029541015625]","[553.4421997070312, 856.52294921875]","[575.522216796875, 834.4429931640625]","[564.4822387695312, 900.6829223632812]","[696.9622802734375, 812.3629150390625]","[663.8422241210938, 933.8029174804688]","[840.4822998046875, 724.0429077148438]","[796.3223266601562, 790.2828979492188]","[763.2022705078125, 768.2029418945312]","[752.1622924804688, 768.2029418945312]","[984.0023193359375, 845.48291015625]","[972.9623413085938, 900.6829223632812]","[1215.84228515625, 746.1229248046875]","[1215.84228515625, 768.2029418945312]","[1425.602294921875, 900.6829223632812]","[1436.642333984375, 955.8829345703125]"
"[563.2921752929688, 834.790283203125]","[541.1597290039062, 812.6578979492188]","[552.2259521484375, 856.9227294921875]","[651.8218383789062, 801.5916748046875]","[574.3583984375, 912.2537841796875]","[696.0867309570312, 812.6578979492188]","[662.8880615234375, 923.3200073242188]","[839.9474487304688, 724.1282348632812]","[795.6825561523438, 790.5254516601562]","[762.4839477539062, 768.39306640625]","[751.4177856445312, 768.39306640625]","[983.8081665039062, 845.8565063476562]","[983.8081665039062, 890.121337890625]","[1216.198486328125, 746.2606811523438]","[1216.198486328125, 768.39306640625]","[1448.5888671875, 879.05517578125]","[1437.522705078125, 956.5186157226562]"
"[569.3453369140625, 833.7867431640625]","[536.4457397460938, 822.8202514648438]","[547.4122924804688, 855.7198486328125]","[569.3453369140625, 833.7867431640625]","[569.3453369140625, 899.5859985351562]","[689.9771118164062, 811.853759765625]","[668.0440063476562, 932.4854736328125]","[843.5084228515625, 724.12158203125]","[799.642333984375, 789.9207763671875]","[755.7763061523438, 767.9876708984375]","[744.8097534179688, 767.9876708984375]","[986.0732421875, 844.7533569335938]","[986.0732421875, 899.5859985351562]","[1216.3701171875, 746.0546264648438]","[1216.3701171875, 767.9876708984375]","[1413.767578125, 910.552490234375]","[1435.70068359375, 954.4185791015625]"
"[567.3870849609375, 834.1868896484375]","[534.3501586914062, 823.1746215820312]","[556.3748168945312, 856.2116088867188]","[567.3870849609375, 834.1868896484375]","[567.3870849609375, 900.2608642578125]","[688.5225219726562, 812.1622924804688]","[666.4978637695312, 933.2977294921875]","[842.6948852539062, 724.0638427734375]","[787.6333618164062, 790.1376953125]","[765.6087036132812, 768.1130981445312]","[754.596435546875, 768.1130981445312]","[985.8550415039062, 845.19921875]","[985.8550415039062, 900.2608642578125]","[1217.113525390625, 746.0884399414062]","[1217.113525390625, 768.1130981445312]","[1415.335205078125, 911.2731323242188]","[1426.3475341796875, 955.3223876953125]"
