鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[598.96044921875, 338.67291259765625]","[604.6731567382812, 321.5348815917969]","[598.96044921875, 321.5348815917969]","[598.96044921875, 332.9602355957031]","[581.8224487304688, 321.5348815917969]","[530.4082641601562, 361.5236511230469]","[507.5575256347656, 327.2475891113281]","[484.706787109375, 321.5348815917969]","[478.994140625, 315.82220458984375]","[610.3858642578125, 338.67291259765625]","[564.6843872070312, 338.67291259765625]","[404.729248046875, 424.3631591796875]","[404.729248046875, 418.6505126953125]","[233.3487548828125, 350.09832763671875]","[221.9233856201172, 355.81097412109375]","[119.09507751464844, 412.93780517578125]","[119.09507751464844, 412.93780517578125]"
"[525.2135009765625, 332.1636657714844]","[581.7811279296875, 303.8798522949219]","[570.4675903320312, 298.22308349609375]","[547.8405151367188, 315.19342041015625]","[564.8108520507812, 309.53662109375]","[559.154052734375, 343.4772033691406]","[581.7811279296875, 337.8204650878906]","[468.6458740234375, 309.53662109375]","[468.6458740234375, 309.53662109375]","[553.497314453125, 309.53662109375]","[559.154052734375, 315.19342041015625]","[406.4214172363281, 422.67193603515625]","[400.7646484375, 422.67193603515625]","[231.0616912841797, 349.13397216796875]","[225.40492248535156, 354.79071044921875]","[123.5831527709961, 411.3583984375]","[117.9263916015625, 411.3583984375]"
"[564.4506225585938, 301.2279968261719]","[526.7647094726562, 290.4605712890625]","[542.9158325195312, 295.84429931640625]","[537.5321655273438, 306.6116943359375]","[548.2994995117188, 311.99542236328125]","[553.6832885742188, 344.2976379394531]","[559.0669555664062, 349.68133544921875]","[435.24169921875, 322.7628173828125]","[429.8580322265625, 311.99542236328125]","[499.84619140625, 295.84429931640625]","[537.5321655273438, 295.84429931640625]","[397.5557861328125, 419.66949462890625]","[386.78839111328125, 419.66949462890625]","[230.6609344482422, 355.06500244140625]","[225.27723693847656, 349.68133544921875]","[117.60313415527344, 419.66949462890625]","[122.9868392944336, 414.2857666015625]"
"[505.1327209472656, 286.03082275390625]","[470.74951171875, 290.9427185058594]","[441.2782287597656, 286.03082275390625]","[490.3970947265625, 295.8546142578125]","[510.0445861816406, 340.0615539550781]","[510.0445861816406, 340.0615539550781]","[514.9564819335938, 359.7090759277344]","[362.6881103515625, 315.50213623046875]","[372.51190185546875, 305.6783752441406]","[387.24755859375, 335.149658203125]","[451.1020202636719, 281.11895751953125]","[392.159423828125, 418.65167236328125]","[372.51190185546875, 418.65167236328125]","[230.06727600097656, 354.79718017578125]","[225.15541076660156, 349.88531494140625]","[122.00586700439453, 418.65167236328125]","[126.9177474975586, 413.7397766113281]"
"[426.95343017578125, 279.364013671875]","[455.4687194824219, 284.11651611328125]","[113.28572845458984, 412.4351806640625]","[474.4788818359375, 298.3741455078125]","[498.2415771484375, 341.14703369140625]","[493.489013671875, 336.39447021484375]","[502.9941101074219, 345.89959716796875]","[388.93310546875, 336.39447021484375]","[327.15008544921875, 322.13690185546875]","[365.17041015625, 336.39447021484375]","[436.45855712890625, 279.364013671875]","[384.1805725097656, 412.4351806640625]","[379.42803955078125, 421.94024658203125]","[222.5941925048828, 355.4046630859375]","[222.5941925048828, 350.652099609375]","[118.03826904296875, 421.94024658203125]","[122.79080200195312, 417.18768310546875]"
"[401.12451171875, 286.69610595703125]","[410.36328125, 282.07672119140625]","[184.01344299316406, 429.89703369140625]","[433.460205078125, 286.69610595703125]","[484.2734375, 351.36749267578125]","[479.654052734375, 323.65118408203125]","[488.892822265625, 346.74810791015625]","[299.498046875, 319.03179931640625]","[470.415283203125, 365.22564697265625]","[354.9306640625, 346.74810791015625]","[364.16943359375, 342.12872314453125]","[368.788818359375, 406.80010986328125]","[382.64697265625, 429.89703369140625]","[216.34913635253906, 351.36749267578125]","[216.34913635253906, 355.98687744140625]","[114.72266387939453, 420.65826416015625]","[179.39405822753906, 434.51641845703125]"
"[393.9890441894531, 281.28753662109375]","[389.5033874511719, 276.8018798828125]","[358.10382080078125, 272.31622314453125]","[398.4747009277344, 281.28753662109375]","[362.5894775390625, 272.31622314453125]","[456.7882080078125, 317.1727294921875]","[344.6468505859375, 294.74444580078125]","[470.24517822265625, 344.086669921875]","[286.3333435058594, 317.1727294921875]","[340.16119384765625, 335.1153564453125]","[385.0177307128906, 290.25885009765625]","[385.0177307128906, 406.88580322265625]","[353.6181640625, 415.857177734375]","[214.5628662109375, 353.0579833984375]","[219.0485076904297, 353.0579833984375]","[111.39279174804688, 420.34283447265625]","[169.70631408691406, 433.79974365234375]"
"[334.3664855957031, 288.0281982421875]","[338.5550537109375, 283.839599609375]","[334.3664855957031, 279.65106201171875]","[242.218017578125, 317.34814453125]","[313.42364501953125, 288.0281982421875]","[263.1608581542969, 313.15960693359375]","[300.8579406738281, 296.40533447265625]","[217.0866241455078, 334.1024169921875]","[233.8408660888672, 329.913818359375]","[321.80078125, 283.839599609375]","[325.9893798828125, 283.839599609375]","[372.0635986328125, 401.11944580078125]","[359.4978942871094, 422.06231689453125]","[212.89804077148438, 355.04522705078125]","[225.4637451171875, 367.6109619140625]","[116.56100463867188, 417.87371826171875]","[158.44667053222656, 426.25091552734375]"
"[290.4249267578125, 291.8869934082031]","[306.1610107421875, 287.95294189453125]","[294.3589172363281, 284.0189514160156]","[219.61231994628906, 319.42523193359375]","[286.4908752441406, 284.0189514160156]","[400.5777587890625, 319.42523193359375]","[412.3798522949219, 323.3592529296875]","[215.6782989501953, 335.1613464355469]","[207.8102264404297, 331.227294921875]","[290.4249267578125, 284.0189514160156]","[286.4908752441406, 284.0189514160156]","[369.10552978515625, 405.9739074707031]","[349.43536376953125, 413.8419494628906]","[211.7442626953125, 350.8974609375]","[219.61231994628906, 366.63360595703125]","[117.32752227783203, 421.71002197265625]","[152.7338104248047, 429.5780944824219]"
"[269.7372131347656, 290.1663818359375]","[261.5418701171875, 290.1663818359375]","[269.7372131347656, 286.0687255859375]","[298.4209899902344, 286.0687255859375]","[277.9325866699219, 294.26409912109375]","[314.8117370605469, 314.75250244140625]","[392.66766357421875, 322.9478759765625]","[208.27198791503906, 335.24090576171875]","[200.0766143798828, 331.1431884765625]","[261.5418701171875, 286.0687255859375]","[261.5418701171875, 286.0687255859375]","[347.5931701660156, 404.9014892578125]","[368.0815734863281, 417.19451904296875]","[204.17430114746094, 355.72930908203125]","[228.76039123535156, 363.9246826171875]","[114.02529907226562, 417.19451904296875]","[159.0998077392578, 425.389892578125]"
"[253.7168731689453, 299.87335205078125]","[246.00770568847656, 299.87335205078125]","[261.426025390625, 299.87335205078125]","[276.8443603515625, 292.1641845703125]","[284.55352783203125, 296.0187683105469]","[296.1172790527344, 315.29168701171875]","[365.4997253417969, 315.29168701171875]","[199.75274658203125, 338.41912841796875]","[184.3344268798828, 338.41912841796875]","[246.00770568847656, 292.1641845703125]","[246.00770568847656, 292.1641845703125]","[346.226806640625, 403.947021484375]","[392.4818115234375, 415.5107421875]","[199.75274658203125, 357.69207763671875]","[226.7348175048828, 380.81951904296875]","[114.95196533203125, 423.21990966796875]","[153.49777221679688, 430.9290771484375]"
"[236.49960327148438, 296.9337158203125]","[240.3251495361328, 296.9337158203125]","[225.0230712890625, 300.7592468261719]","[232.67408752441406, 296.9337158203125]","[274.75482177734375, 296.9337158203125]","[282.4058532714844, 312.2358093261719]","[316.8355407714844, 308.4103088378906]","[171.46578979492188, 339.0144348144531]","[244.15065002441406, 300.7592468261719]","[213.5465087890625, 296.9337158203125]","[225.0230712890625, 296.9337158203125]","[355.0906982421875, 404.0482482910156]","[393.3459167480469, 411.6993103027344]","[202.0699462890625, 358.14202880859375]","[251.8016815185547, 384.9206848144531]","[117.90853118896484, 419.350341796875]","[152.3382110595703, 430.826904296875]"
"[239.04432678222656, 297.15179443359375]","[242.8494873046875, 297.15179443359375]","[246.6546630859375, 304.7620849609375]","[250.45980834960938, 293.34661865234375]","[277.0959167480469, 297.15179443359375]","[288.5113830566406, 316.17755126953125]","[334.1732482910156, 312.37237548828125]","[189.57730102539062, 339.00848388671875]","[258.07012939453125, 312.37237548828125]","[220.0185546875, 293.34661865234375]","[235.2391815185547, 297.15179443359375]","[353.19903564453125, 407.50128173828125]","[387.4454345703125, 415.1116027832031]","[200.99276733398438, 358.0342712402344]","[220.0185546875, 373.2549133300781]","[117.27932739257812, 422.721923828125]","[155.3308868408203, 430.3322448730469]"
