0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"329.69002797167593,376.39938235746746","329.4935230299657,362.2124015125319","220.20699434985448,25.826869586098518","311.1034395388592,351.0851314559521","250.7145411569321,131.8482840571422","246.69428737061497,198.27798479725877","235.09549042223028,204.81802350352245","231.61966432207754,264.36268995708065","305.3393396756064,286.9308115443367","232.86444041330066,319.66787998778346","314.58933439143436,321.858763045374","194.66881169419344,384.53305018087303","261.841169661585,365.5057884839722","213.84327225740782,529.2743163350027","272.40914667626765,528.1261963603098","222.720491223762,626.1424528485605","242.09862660805078,625.9249082335238"
"329.69002797167593,376.39938235746746","329.4935230299657,362.2124015125319","220.20699434985448,25.826869586098518","311.1034395388592,351.0851314559521","250.7145411569321,131.8482840571422","246.69428737061497,198.27798479725877","235.09549042223028,204.81802350352245","231.61966432207754,264.36268995708065","305.3393396756064,286.9308115443367","232.86444041330066,319.66787998778346","314.58933439143436,321.858763045374","194.66881169419344,384.53305018087303","261.841169661585,365.5057884839722","213.84327225740782,529.2743163350027","272.40914667626765,528.1261963603098","222.720491223762,626.1424528485605","242.09862660805078,625.9249082335238"
"329.69002797167593,376.39938235746746","329.4935230299657,362.2124015125319","220.20699434985448,25.826869586098518","311.1034395388592,351.0851314559521","250.7145411569321,131.8482840571422","246.69428737061497,198.27798479725877","235.09549042223028,204.81802350352245","231.61966432207754,264.36268995708065","305.3393396756064,286.9308115443367","232.86444041330066,319.66787998778346","314.58933439143436,321.858763045374","194.66881169419344,384.53305018087303","261.841169661585,365.5057884839722","213.84327225740782,529.2743163350027","272.40914667626765,528.1261963603098","222.720491223762,626.1424528485605","242.09862660805078,625.9249082335238"
"329.5946936996994,371.5654306374635","328.86987880602885,353.7391989147617","335.7239742650132,360.7175300093476","301.0366390243115,346.2708232003891","240.50299024767452,25.330162976038594","272.7828887167608,391.6716549646993","308.94155664109996,400.4198660646431","145.13161269607247,365.21075059467717","293.14499824612983,297.41914801096635","226.17287510378355,334.3455808171966","297.1164350101456,343.5358277554642","198.00352065386943,420.57155208365","259.33781884338146,434.798205780148","210.31101476172068,543.9735323538575","230.639362082871,550.24685989558","246.35247158540363,657.1831016688959","248.69365944472736,657.7734090010944"
"180.21180321363164,187.94338063043378","372.0742190468636,333.3568469095787","198.2942196441532,171.47376361060233","271.97470223393424,148.6614301510822","225.72470932897426,153.5673853952133","275.54972777014115,196.96029039672376","269.2380501120007,205.3059262524319","337.96747010227307,273.00675982167286","331.1273278856092,265.28145608271143","355.78365403112275,320.71695290650837","364.5566874997625,295.42068600190754","286.6205239796917,439.7672690306192","212.33769422004195,445.18782322508815","261.61123105060267,627.965628776105","239.4885972613027,629.2801200183912","252.00077113288853,660.5843154372872","243.44770415191056,659.8040569617126"
"375.4293747245106,321.0315570757083","376.1597071399021,309.3169705877044","370.17744775319375,308.32613340147736","380.75159936749054,322.6546899817797","229.12477821320414,134.1259225333247","322.09198505683634,276.95752748719445","255.33733537132173,72.02430606352216","317.45353692793196,277.7684089274722","316.1591514557716,267.2827160312044","261.3070619635081,147.86734599547626","350.7730485789971,315.2043754488578","225.43760494128276,434.6064793924413","266.7743752030547,437.8767881875836","256.53574881943285,616.9823078793775","247.98934924648893,618.4368890547103","239.8798678208882,662.6672173288546","245.05325465814616,658.8020473138831"
"340.82869646243086,378.2470257829599","339.7351642415681,366.98271458251","332.28710901876366,368.62431388884664","322.06792441045263,363.23849273562894","202.4623352822627,228.66459115469965","301.037508686229,411.75839019656644","223.29725100743633,263.0317391124681","144.81725890163318,390.4273244657405","292.03716491817966,298.78618262621217","302.40608598286076,360.10333406322195","321.8938374203931,345.35263595877916","202.0320458913128,441.3729775276629","267.8245209571453,435.2712698019896","205.53790431634928,597.2227193038287","252.88575842593895,640.2586168816117","252.63083152919427,656.4140349510578","250.47292975043507,655.9945369972793"
"236.56684243168814,87.43461356552658","367.3325710370847,336.54618912633754","181.09565028327916,172.53211796979494","270.3892699067231,140.73422131371404","212.08226485196718,152.9924088415005","269.18455624116535,207.94330255530687","260.6947233444986,221.91015310324582","332.2803643074481,261.53650098273727","321.7292587339646,262.4340413609367","362.77894393386543,322.31965120664364","359.298856490317,314.40624875317286","278.29803336176894,424.86656278023924","219.6883666339088,422.5575873823945","257.7585707786946,591.1557832116747","250.10697601555853,623.8347509955618","494.49405950516575,626.5185345007751","243.85795266711762,665.5269043918713"
"197.75027510349855,127.66550932412945","217.73261293641326,118.02875949251049","209.0481883542547,119.8543281406744","268.16220101679346,133.16776335007486","235.0604913615067,123.36096633733014","258.24320437657695,182.815896119589","260.7527587831253,191.58897993629543","275.18143561099754,255.41557430757157","294.3857159150714,260.87944832293437","358.85373453221894,306.74431351836085","353.926336399776,295.2602193513269","268.5052343286893,403.22861133382474","264.58058537583406,402.0040786683791","268.4769606534609,582.2534731853797","227.99788962635085,591.3859860906341","249.29024752012026,655.8640951312469","246.9507023555296,655.7937028343111"
"335.0283413601293,377.3907405393133","354.6230805393323,376.5039674039017","323.9950372421324,370.46099711021094","331.8698452307557,349.9730180673562","214.37614310297988,149.21723599563776","240.94417940132348,231.3120014472694","233.0817012861081,232.40508884771324","288.9294183931462,292.8065036521347","287.4377935981008,289.1186458127508","328.93492951745657,336.2860000550979","323.8435807877478,324.49274322866","188.69454353421582,401.8411807049109","252.79856032434606,399.25194825643695","223.92116579285857,582.9157550975042","229.86884162398167,585.0896961494178","243.59647431726125,631.0837682582988","251.9142687608296,654.3216393615485"
"174.9229059479116,155.57356585788355","377.18446842891234,341.5305349149593","191.12459151568584,144.06618125707723","379.5074223766995,341.62419834953334","221.37350086850415,139.28978990488014","263.71857648322555,203.09810118916434","264.7856516559764,214.9223669029859","327.58509826660156,269.63202034916856","328.1559250234166,268.1754323758968","187.0786537140724,382.7861325750091","375.4192673204474,316.09273086725966","213.5845768256874,401.83180278377307","285.11430819025304,407.7454503872051","265.09457489488653,567.3955271680068","224.27550470968168,574.401181588377","254.30079499478472,663.1655206940053","249.3694833837131,663.3303868631444"
"357.9770380161152,337.6766724345285","359.5463042945713,307.6364702751664","354.66458273861656,306.05385925055475","365.92072322860304,318.13478284308883","233.86205858757523,140.27027471520094","326.0877337029008,295.5910901615128","244.82435964146475,138.9867537680303","309.0668459346786,272.91602939947103","304.32649275486574,263.63428019364056","254.2630130159252,142.0746658562686","357.8600588253036,319.58697129780217","270.02743257158926,407.5308773768087","219.0052182089958,430.19380087054657","268.8361116995608,572.7459206191483","262.04314381046515,604.1750006174763","253.0593622704888,658.3157847363661","250.4904196178867,657.6839521237384"
"196.08661185535476,90.29458042248677","191.93345440222595,82.12007233140997","174.219330130848,145.69599062552248","230.50947324403995,137.3756230573246","205.3813071937413,135.3571316611442","228.04181721609393,186.66703784512174","226.34354142363435,190.7630668076096","254.2653707660126,258.65759497022816","265.6231360825119,262.72581820358096","319.08695526716775,322.19054077385925","322.76738382777353,323.4196852153377","195.19638726497902,457.3996517908712","266.8862717031041,398.45536525147435","228.9750997342952,627.9910610807544","256.41581277810184,628.1464335519515","256.2370682653286,658.6897438138375","248.91894053299603,658.3606289518482"
"171.54374760134215,170.83473353998207","376.86072228576427,362.6598402683837","185.2678243436702,148.58389828455586","373.1924013516318,340.9846472832943","214.24107494428466,141.22116890398908","269.837691667015,209.689660573284","261.4006569116496,221.47315355590345","334.8731550224096,271.6485435396781","325.7719884493936,272.4302299291707","358.75073757245843,327.2227988632736","362.02698592545926,311.34599767306435","261.6765716493362,407.7410894609147","263.30745830610107,408.64383979530186","228.03770081635116,578.8035945669686","251.5365842529772,598.2185927810372","237.95571183972788,633.0789885168409","245.42202996279946,663.8219751736533"
"209.00744952487577,133.21328293024797","366.89428075649397,324.76562915609037","240.11496642591425,131.33656987884166","358.5849606851659,299.9603523818435","244.92286334798496,135.03802184464865","314.3952838289135,286.65381554035827","263.511809530889,203.32357651528682","307.7209571511829,274.69073343833594","301.3682507763577,265.9429468533408","355.2817818014538,327.85289482383877","358.10159292851904,327.4940639154456","267.34321140036974,426.35672602672054","219.4741012632615,435.4927122361001","263.2738700302658,606.0491955233919","261.6328566436174,607.9575831788059","254.58262343351015,658.3628673033955","249.33618499518371,657.7137453546784"
"167.70339787702153,141.14445712315896","88.29549583108513,325.40151395686405","177.5010476910187,135.5031358592705","249.93335284518827,138.37326213079666","201.8747530391708,133.86532824327045","229.39889564959458,194.38176730263558","224.48596289371238,193.4621907393756","274.0490971427947,273.80781952973007","264.53775935785313,267.2195597845293","322.2107035714829,327.5460477005183","308.8022174760989,317.71783197900197","204.68492058186217,421.4798597046373","248.9089490838552,373.1733003015184","249.84058890732348,617.8689266457168","264.42021971825034,620.3683162941543","236.0974955577331,631.5109074811527","252.54034803813533,632.9586578250395"
"161.28695494655506,202.76099772768725","149.6637881386605,194.23027335437817","170.4408230317706,180.05687698779866","257.81237386265616,148.32175065571232","202.59031086487528,159.89247481646703","259.2267147019679,212.4567454890982","251.881704753475,222.47435276610378","181.51583227016584,332.9174739377508","324.95112422839213,269.60780370096285","182.15091737977264,387.6932166429809","357.21546541206567,329.9424345855119","211.69408642364385,409.5140954399851","274.77352552005755,412.60413975103353","206.55892605911436,582.9541158119528","252.44126455700354,627.2740553325252","239.9939867902823,671.3781097055872","243.50378768267802,672.8609790134059"
"195.6230047500551,141.92817925479162","375.0297264217867,312.3556099977011","202.8217762156683,136.6891727373294","369.43206052371966,308.4649690858121","221.1479878703908,138.85324381668744","264.86689740488964,189.18636040001064","256.54869711909316,197.9545044064058","311.2456969027389,269.44785804600104","298.8776743254309,260.9664931835367","356.60647015998336,321.7922299752439","351.82301073779394,298.3655847927939","267.76250439951855,428.1429305614664","227.030902877392,431.93018278723093","265.67322860895894,576.0842675828748","260.135511405737,576.6686702980605","260.56694102008987,663.8053804983888","252.34627814979405,663.9887709561953"
"170.60783677156797,156.54139240428168","338.9511157084068,368.469250155794","178.80755045256262,149.12219288748062","242.7334798078129,136.42093717819986","197.70775829864385,145.572225221864","235.91090476188214,193.63257560284686","225.53270730341455,196.53126015273511","278.08879270442264,274.8986878747606","271.8616848363023,266.57908250385685","329.68266483410787,329.42468071726046","318.1959576439765,318.18009016578765","203.6489020024756,445.4874150020139","266.22592774624957,435.54909553973124","227.2333601717819,634.5287842509348","263.531309283661,633.015234090011","247.43199258648468,663.7972761220968","248.49810146821613,663.9827505623783"
"158.86879234462396,196.7403144687994","365.6385275992902,358.1493689392327","167.36589174975683,179.63382854535885","262.9515539978265,148.90651034937758","208.00650730949434,167.32596312051618","185.77659589121777,251.8998958721235","257.39700400504626,234.51537195346697","178.815280780718,355.8977030594525","316.7735965892035,290.5959192417011","191.18430830068627,385.80481978242034","351.45181004268187,334.9943554355013","206.01996758011995,432.53835833953974","273.56262759197546,423.7947011272267","204.11403584758597,586.5048746190646","258.86764095914964,626.0174910845923","250.88818365312272,667.0583227729055","256.8189300655855,668.6145945745683"
"367.07438773960456,339.2357228794914","377.7294275751374,327.38419172828765","203.16401716892824,144.8938792781607","372.03434987940216,315.7929461289936","217.0369607057089,144.6027970963415","274.7683655260138,209.7712060356882","234.42132850379795,214.11752515265914","316.3270928349476,273.35393586511276","320.3271318131384,275.101046432317","354.0676564613669,323.86735552479786","366.9949972694486,305.7876111932302","260.3415826285396,432.97842597219267","268.3388776667851,434.572363827479","238.56781854889272,576.5512340263633","257.8583306635401,595.8764280326635","258.3066510449124,659.5763625801769","256.07235429815745,659.4542566440448"
"162.27670751193153,192.5970485702099","258.0252477742355,118.67581675488661","173.15084417320878,181.36206749348324","247.59032903292763,143.02284893822576","209.47155910150553,157.8453865496565","224.083753919787,212.20413979853174","233.90088416073576,215.0239996409138","290.7862238902526,286.454968879195","285.5831525928779,290.46157955659504","339.99760888244396,335.81038894356453","338.9085989035521,335.14775970102744","202.4337523939081,397.12848589114174","266.8466730971281,404.7861952726015","262.2487125619376,565.5061269084767","263.5615735183894,608.9955994127325","259.0201216820149,660.197003435068","252.54755656914028,643.1444695023711"
"348.5006799660768,384.01745747963275","347.2148365065282,369.05650869881595","171.30816585080635,189.05844632753602","322.1305593943317,356.1023964492263","204.21219168933914,182.56365705556905","226.42612065415437,228.25883204834935","225.28672826150978,230.8824887999301","135.766629348933,367.4807863940525","286.66238370665315,301.43708551904103","316.2286084542479,347.63560016795356","333.98940458186405,335.437047342382","204.46421971302556,447.1712342496048","272.01165320251704,444.2008645618008","201.57684551788213,552.0795295210663","267.7014927845521,630.0020269846638","258.7383898723914,660.9168264188655","261.30310017032843,661.2579048839524"
"182.15516906025812,160.9803619087902","384.2581825107916,363.4410249583916","198.22538107192935,153.69112185467077","386.41473148212356,347.73528399634455","221.0174419536665,146.0578896192261","269.1565917790632,203.50808614886688","260.5369280210265,217.39078625630776","318.23143985020977,275.7502648617043","320.80863462811783,274.59523687102916","358.1705957702162,327.7238036871884","368.6616463568424,317.8735517806116","262.8886677782823,437.93216809224526","274.2101005524513,439.11463518550886","230.51190829740887,581.1075529699659","228.95304897323194,583.7334094808259","263.91734254592126,662.2756601771491","262.3323933642198,662.8556247815084"
