0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"366.3134528876279,352.92899283917495","370.22656432571114,344.27089468514407","188.77327692647856,102.5656481197372","359.1939172856075,353.9376789493783","202.66498583485645,111.74951768570837","324.65588367031705,382.602279009986","325.76717632011685,400.2680826743753","319.931686876349,300.69721385198807","313.59865418667925,261.2742665212906","342.66459142187693,305.47989574387844","352.86462414218295,296.97053219093885","281.2456461390633,398.4876283875699","143.83392250862568,456.3223100357946","266.2837312750315,614.6374030799717","262.92043942700104,578.4353857374376","251.740877500304,603.5288502733995","252.1822405863365,601.5742676731213"
"366.3134528876279,352.92899283917495","370.22656432571114,344.27089468514407","188.77327692647856,102.5656481197372","359.1939172856075,353.9376789493783","202.66498583485645,111.74951768570837","324.65588367031705,382.602279009986","325.76717632011685,400.2680826743753","319.931686876349,300.69721385198807","313.59865418667925,261.2742665212906","342.66459142187693,305.47989574387844","352.86462414218295,296.97053219093885","281.2456461390633,398.4876283875699","143.83392250862568,456.3223100357946","266.2837312750315,614.6374030799717","262.92043942700104,578.4353857374376","251.740877500304,603.5288502733995","252.1822405863365,601.5742676731213"
"366.3134528876279,352.92899283917495","370.22656432571114,344.27089468514407","188.77327692647856,102.5656481197372","359.1939172856075,353.9376789493783","202.66498583485645,111.74951768570837","324.65588367031705,382.602279009986","325.76717632011685,400.2680826743753","319.931686876349,300.69721385198807","313.59865418667925,261.2742665212906","342.66459142187693,305.47989574387844","352.86462414218295,296.97053219093885","281.2456461390633,398.4876283875699","143.83392250862568,456.3223100357946","266.2837312750315,614.6374030799717","262.92043942700104,578.4353857374376","251.740877500304,603.5288502733995","252.1822405863365,601.5742676731213"
"366.3134528876279,352.92899283917495","370.22656432571114,344.27089468514407","188.77327692647856,102.5656481197372","359.1939172856075,353.9376789493783","202.66498583485645,111.74951768570837","324.65588367031705,382.602279009986","325.76717632011685,400.2680826743753","319.931686876349,300.69721385198807","313.59865418667925,261.2742665212906","342.66459142187693,305.47989574387844","352.86462414218295,296.97053219093885","281.2456461390633,398.4876283875699","143.83392250862568,456.3223100357946","266.2837312750315,614.6374030799717","262.92043942700104,578.4353857374376","251.740877500304,603.5288502733995","252.1822405863365,601.5742676731213"
"392.89452445182354,305.8021990705557","380.33126277404074,293.86620874070934","388.98316200048544,293.85611686261245","377.17217720714524,294.5296870131437","380.08162148917233,300.02258241408526","337.84998844013137,294.0342973642312","329.815839062405,274.22766481392114","122.6218633985705,474.4614478679018","313.0952552171997,244.47456983276842","122.13369317555708,396.8348759157648","363.65880988451295,338.0746359027313","151.51114330959695,531.8473400308928","273.7877927253219,375.9206066799535","263.6269334429433,452.211500234641","259.9226761457985,452.1831735098872","250.5969242140477,541.6373879993008","257.37089482170137,542.6020789239193"
"342.7039194663675,338.450100078657","369.52343300251647,324.9163705551207","43.45047074254853,313.01065585956496","328.92828143524287,279.848937394554","79.37601129554128,317.7450974163842","294.5850037749176,272.86427716800677","240.70844304422462,377.2254112629575","246.9347972053498,166.33543467243356","248.19849327473327,164.85117604296494","323.8605488580489,286.0702425589357","308.1944204248807,281.6567728955458","175.07418846991277,551.5544431218841","225.66124333481844,536.8939351478903","20.4822743337906,642.833107083688","57.393972849567604,645.0815698052195","307.09366034719267,395.3765512904304","285.9021059325697,418.7241788040339"
"381.29277065291944,347.95055166756595","375.678368594396,326.0879932210603","383.01132889387674,341.95107485997534","365.1918209239203,341.43571371234344","353.72079663703414,347.79714740203974","340.81138052736276,373.13547987882265","317.0664020939096,395.95269526025197","329.6965214473264,276.470261510708","163.10914789934566,122.59625089771552","64.85818445821684,387.3658770253222","348.86433392832714,305.38735148507794","276.3175619399965,438.4117927996565","279.57519952796315,431.3058756668744","266.4503971500619,611.575685493677","267.7883043697372,610.5810469690464","243.70301756506302,606.8134767999909","257.65013360049477,645.2855299419002"
"399.3737376469119,356.4389982112187","378.8388939349104,340.67660379966406","382.7968026246542,350.3551201133876","374.8239934008409,342.6284849411783","360.7553952584471,356.53914514682634","339.74287524390314,386.28984740735956","300.3227625449808,401.68164026876366","314.46267296460815,267.3110813482262","322.03128265499606,270.0503798310395","355.0950750506805,343.0023282418455","352.6673654934775,328.18085191778636","140.55970336676575,558.9710280125242","192.11322318347976,504.46612584451753","120.3693617290096,571.6630215774715","270.2834610400961,553.9504440841971","235.33516924668845,537.2178400536919","235.84481045615348,536.9746315803973"
"388.3741667484031,368.70701711929263","383.19909856477136,347.8859482108387","386.1742216473888,362.2313889084159","376.8906869702766,343.6237409420978","386.20359689437925,355.29103260559793","336.169878918837,367.4570907414655","299.6606019610097,274.36059588124317","99.25018251174157,333.43001784981453","329.65464239454457,268.9552277442546","79.74872906755382,343.0455515820692","242.92463149727553,552.8840239409807","284.94054973914,416.06775721687285","293.3290380336895,421.08363288849705","253.0726777607365,478.73025441448044","242.63095633065194,477.7651389749133","256.38634090200935,569.7417441045263","251.8063533797802,572.367369061778"
"6.402718451236524,381.44624762034135","6.5775011708300894,358.5257207373237","23.180622679714133,361.7956436097854","344.83379880556333,333.98597806344236","66.95399237606779,363.0597719422574","286.2331379100043,395.5202303044063","75.64407942360015,433.8332447096531","255.26662219452027,478.1496337415643","246.14974372952832,218.80768208188306","237.71247706431825,565.8457002751094","232.30292870191283,564.6540096297801","126.435195625988,529.9396084440357","129.28784132189327,531.3459106920294","21.578860034274726,652.5155212164852","67.12425285369045,528.1074405180341","338.6225187843412,373.1386444448033","237.1787365568287,651.3762002789092"
