0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"160.53583761133575,335.33172904285476","126.88757442964192,313.58525613866425","140.92094160146752,319.12656553988325","246.78003603567873,279.3141257438214","176.82074016170282,316.55238407595147","186.63686545999133,419.63823667296174","181.10995139036663,417.0678758435676","146.59832650863706,335.95742548486135","189.62542965068894,358.47443161307604","281.43306794519094,243.4364185259036","276.78882207017,231.09991763816268","143.14542083146512,363.3955246743525","148.78821252013927,364.8476359445297","193.5479527633014,504.89832065448684","218.5732088200313,502.0800045028271","141.47999893366597,654.4834953337792","189.51105944562983,645.6662812585496"
"160.53583761133575,335.33172904285476","126.88757442964192,313.58525613866425","140.92094160146752,319.12656553988325","246.78003603567873,279.3141257438214","176.82074016170282,316.55238407595147","186.63686545999133,419.63823667296174","181.10995139036663,417.0678758435676","146.59832650863706,335.95742548486135","189.62542965068894,358.47443161307604","281.43306794519094,243.4364185259036","276.78882207017,231.09991763816268","143.14542083146512,363.3955246743525","148.78821252013927,364.8476359445297","193.5479527633014,504.89832065448684","218.5732088200313,502.0800045028271","141.47999893366597,654.4834953337792","189.51105944562983,645.6662812585496"
"279.6880429932116,303.9518155940312","271.01965884197546,290.2674797444028","305.1723259358091,280.65574735055174","232.98004747086463,285.971407760442","325.79788504871414,292.4602731192622","259.68187642375784,378.4478985381961","167.17769691081367,412.9257677130198","168.98392673596334,363.3182243614345","354.3651774662478,487.96445794606484","72.36216860522558,265.41176287580555","76.73842332891917,264.5592596744285","116.36609533881403,474.4030191740637","341.1579118127489,531.2044700296009","138.4253984147009,610.5276738623237","103.01597322100332,598.3026467408652","115.56677940754577,637.4483665139759","111.43012620502873,637.0850974947562"
"249.32099490035836,272.0889777988775","220.71056725171752,279.89183270049926","143.50534491038047,271.76817957065447","197.92356973492218,224.68489858426935","167.16780209077473,156.4721675234546","151.11906106555512,227.35166289926966","162.86313020580013,198.3808910800325","222.50910540035267,251.93640415770534","221.67214277096758,246.52827667355072","254.27690828078454,261.0540590397579","249.53858431211245,262.7037241301184","171.75370331404275,364.53202837636036","334.70811251629186,518.7625543616625","206.37896401965668,543.7156588187013","83.7800952005943,616.3569587677833","193.53490783453918,554.3479058529152","195.49071950949588,552.6844633228584"
"299.5347328928194,336.34357971903876","272.2699041403685,307.4538902549892","278.3469083615314,310.3798981306618","207.15564941524997,309.35755035756625","264.9055103940259,335.37140189441726","163.03369989654897,432.18029927650775","365.33196211046743,432.46140535703427","138.17161174135913,550.1569785032755","222.93560693050637,237.2370916581803","277.50967517066096,272.9826589502713","271.81238466849123,278.2509280549877","215.23687649144273,573.8647104701179","304.46434383169685,582.5814688715953","106.72069433783747,645.0856991779016","222.0601086152667,617.5259571594951","112.25437244459812,656.2406784829462","116.82581795421555,654.3533622058912"
"147.21215321581656,173.7489128854952","153.5264398597094,171.70969744136823","152.54333537654657,149.1838343876345","144.43878203514487,166.7138897491336","164.8226137866306,171.31507220435233","197.93452747508246,189.44027822769104","215.26441578549634,201.3867270621808","244.7750981252945,203.70162637317227","244.31102720030555,209.49195238402845","114.82103465039444,268.31336114193215","299.2422559270599,275.7073888518931","185.04604122889185,530.3924887096836","237.71672874480373,456.3746797435478","82.11521442576606,579.652315726076","156.0695632162725,551.014537291768","103.42846353137543,657.0841510935979","103.12454567994592,655.3574558361959"
"273.1481660479238,311.202665989501","272.4656553750836,287.27486161406404","273.08785016249124,305.5214596165757","228.3559004490478,279.7153888509431","310.51746133885956,324.0163216794975","182.02584067021826,242.63053478433926","238.8456465427978,232.93963035256945","253.95766505378697,237.17221805557665","254.10570083796284,235.54638369074127","83.85194860079872,278.10157597760747","281.65581735098874,268.84668699034455","175.506584375285,400.37131699142753","186.92543861003242,400.40273109762586","101.83292380010107,635.9719035226547","68.01273812023118,560.2710857465573","100.90903363060858,655.2649115773954","106.0713854244247,652.1802315916069"
"158.34687923921223,311.7359146533773","188.5661814351954,264.3480827836211","205.49156099905764,260.77007783526113","162.83649922530475,277.22389132132326","222.16112467843737,295.7385705138922","145.54097222354164,247.97189764475544","160.43348806655825,221.706829738988","190.44907678982628,280.166976275611","208.65720768197502,248.78891525565416","237.48392991240388,289.0391457405536","239.15760393550892,287.6128526977064","118.05432170467157,378.09447054733096","152.57039152509043,378.81413916205616","106.58359696800147,494.9324463128116","76.61628414406391,524.2182275200632","115.69881341243996,566.7190047089691","114.73789497108311,564.9950109103311"
"208.54929230092569,302.4412756300158","209.2729862970137,280.42390430019987","207.51201754321386,280.0314788224632","185.13269820751384,293.0215783620159","272.3693934637285,310.5212616085542","171.98155473642316,273.8671165495995","238.08878943892307,255.64471589915945","231.67136089161676,288.1332887285878","243.87955893431194,292.7731213402655","270.6790026059874,278.35452899858643","271.1745359665689,282.4901150358326","185.60900237680875,487.2705689664017","224.60209174842686,334.86433808441757","88.05376846966578,543.2575300045978","175.09506035593233,504.54246135073413","74.18072830378316,655.3802252743494","73.12066840383329,655.3199441516446"
"98.46559285560937,347.64922323857763","232.9909665593841,273.9998932478493","111.80941475597336,329.61123574104755","202.58812704717138,296.4411234577342","133.2880155808267,201.12923944970512","181.1421095554931,235.40625516542664","153.96389913002344,229.19172294408895","252.4197549189111,240.0533817157671","256.19099550952245,241.6216364166616","294.76486918527326,249.969491327783","294.88687308938586,254.5258295675196","180.43660115639062,392.6190951454964","217.6646826777477,398.71377907838337","225.9367329044565,536.662497316353","226.31399224426036,537.9355790550143","160.29043834404263,566.9236595064749","208.55309948754217,543.9593303992126"
"165.14597341337094,297.65677990152676","166.6436471901979,279.9806913977003","177.97151546255623,271.9230117500988","159.35754234224908,285.7837335608813","228.7012721852106,288.7130410754727","132.6527758646568,237.67231596119208","288.16158422329084,372.12216269645245","189.33753290436147,538.4007702541722","231.08045460741806,265.33546596185704","264.12432208228205,253.57410564496823","263.1145093153423,257.38671299084615","134.75260355314856,378.75918377234314","176.43998284840865,371.30620637292526","147.85701719053992,472.4200712567637","154.33043263951168,562.6174184598812","150.34568038524822,536.9219531344996","80.97700090816517,651.4547741366731"
"189.7733108283017,299.222854139276","179.22533603772115,278.29139204804534","198.8106442165746,276.34952560009197","156.09955688951544,286.5298185830914","226.53376547371835,289.7998572323573","194.96248686081708,411.41858527632536","324.79661429438613,377.9998037137874","173.23943373386965,548.3028515767494","263.1225295308035,543.0934742730878","35.151267738193894,291.69269220374434","267.2434128638836,272.5126244214722","221.4310531616211,558.5274098912101","297.15761833339354,557.1889914427286","73.4218033371269,631.8607077988205","70.02637264979029,631.6359464296571","76.44134681790723,652.7405913237932","75.08629759554736,652.0427659327881"
"226.09557182222954,288.5507798844274","210.4198191305079,275.3498121922118","220.29032728736968,271.09237106857597","156.96110196243467,286.93974565439186","273.15690131873936,289.61768243099465","151.81200768140508,356.95235256091166","206.44333832737072,201.80307974611273","280.73385976353507,287.12819169931373","258.6855724052697,319.1136178339502","288.5703253245075,260.851391744057","279.42631340769015,267.11221539092895","180.27604224060298,395.20111083984375","204.15444613801833,393.40603008344476","141.84483177096,469.296606041578","193.50244045628648,407.8078154923851","147.1851743705542,510.54413791760396","158.60804837594236,510.64015548052953"
"115.51301497522496,190.75511680038986","183.58914493308458,278.6652739409807","121.52786735801845,190.63573161915582","198.7301521746565,284.98057057421494","125.21121411750289,196.37256874648511","149.38758351366812,260.4344601761042","154.0486235266066,233.632419452593","225.09557657204715,197.62633505498388","213.13811172307237,197.570820077384","280.8833063325993,256.11357336378285","270.7975278624301,252.93131282821238","189.21730697572463,475.9959922226486","180.25288990777756,408.8234096185706","181.24801505122207,499.4024729450389","174.14960257088632,497.31652226429503","105.67358273754792,575.2697777655338","77.56695990061485,652.0480144812439"
