鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[909.4649658203125, 410.826904296875]","[929.2831420898438, 391.0086669921875]","[909.4649658203125, 397.61474609375]","[968.9194946289062, 410.826904296875]","[988.7377319335938, 410.826904296875]","[968.9194946289062, 516.52392578125]","[1028.3740234375, 516.52392578125]","[830.1921997070312, 397.61474609375]","[949.1013793945312, 391.0086669921875]","[783.9497680664062, 232.4630889892578]","[929.2831420898438, 305.12982177734375]","[975.5255737304688, 866.6453247070312]","[1015.1620483398438, 853.4331665039062]","[1001.9498901367188, 1051.6151123046875]","[869.8285522460938, 1045.009033203125]","[929.2831420898438, 417.43292236328125]","[929.2831420898438, 377.79656982421875]"
"[908.6735229492188, 407.52313232421875]","[928.5897827148438, 394.24566650390625]","[908.6735229492188, 394.24566650390625]","[968.4221801757812, 407.52313232421875]","[988.3384399414062, 407.52313232421875]","[968.4221801757812, 513.7429809570312]","[1028.1707763671875, 513.7429809570312]","[829.0086059570312, 400.8843994140625]","[941.8672485351562, 387.6069030761719]","[782.5374145507812, 228.27708435058594]","[928.5897827148438, 301.30328369140625]","[975.0609741210938, 852.3189086914062]","[1014.8933715820312, 845.6801147460938]","[988.3384399414062, 1044.84228515625]","[888.7572631835938, 1018.287353515625]","[928.5897827148438, 414.1618957519531]","[928.5897827148438, 374.32940673828125]"
"[902.5093383789062, 410.24285888671875]","[922.5430297851562, 390.20916748046875]","[902.5093383789062, 390.20916748046875]","[962.6104125976562, 403.5649719238281]","[969.2882690429688, 390.20916748046875]","[969.2882690429688, 510.4112854003906]","[1029.3892822265625, 510.4112854003906]","[829.0525512695312, 396.8870849609375]","[942.5767211914062, 383.53131103515625]","[782.3073120117188, 229.93972778320312]","[929.2208862304688, 296.71868896484375]","[975.9661865234375, 844.305908203125]","[1022.71142578125, 837.6279907226562]","[982.6441040039062, 1051.320556640625]","[1022.71142578125, 1051.320556640625]","[929.2208862304688, 410.24285888671875]","[909.1871948242188, 370.1755065917969]"
"[904.7335815429688, 401.928955078125]","[918.1217651367188, 388.540771484375]","[904.7335815429688, 388.540771484375]","[964.9802856445312, 401.928955078125]","[991.756591796875, 395.23486328125]","[964.9802856445312, 502.340087890625]","[1025.2269287109375, 502.340087890625]","[824.4047241210938, 388.540771484375]","[944.8980102539062, 381.84674072265625]","[784.240234375, 227.88296508789062]","[938.2039184570312, 294.82373046875]","[971.6743774414062, 843.7379150390625]","[1025.2269287109375, 837.0438842773438]","[991.756591796875, 1044.5601806640625]","[884.6513671875, 1024.4779052734375]","[924.8158569335938, 408.623046875]","[924.8158569335938, 375.15264892578125]"
"[911.2022094726562, 397.4132080078125]","[924.5476684570312, 384.0677185058594]","[911.2022094726562, 390.740478515625]","[964.5840454101562, 397.4132080078125]","[984.602294921875, 377.3949890136719]","[964.5840454101562, 497.50433349609375]","[1024.638671875, 497.50433349609375]","[824.45654296875, 384.0677185058594]","[937.8931274414062, 384.0677185058594]","[784.4201049804688, 217.24920654296875]","[937.8931274414062, 290.6493835449219]","[977.9295043945312, 831.1412963867188]","[1024.638671875, 824.4685668945312]","[984.602294921875, 1044.6689453125]","[971.2568359375, 1044.6689453125]","[931.2203979492188, 410.7586975097656]","[924.5476684570312, 377.3949890136719]"
"[909.4884643554688, 400.8404235839844]","[922.7667846679688, 380.92291259765625]","[909.4884643554688, 387.56207275390625]","[969.2410278320312, 394.2012634277344]","[995.7976684570312, 387.56207275390625]","[962.6018676757812, 493.788818359375]","[1022.3543701171875, 493.788818359375]","[829.818359375, 380.92291259765625]","[843.0966796875, 394.2012634277344]","[789.9833374023438, 214.94354248046875]","[929.4059448242188, 287.9744567871094]","[989.1585083007812, 839.0258178710938]","[1035.632568359375, 825.7474975585938]","[989.1585083007812, 1038.200927734375]","[1028.993408203125, 1044.8402099609375]","[929.4059448242188, 414.1187438964844]","[922.7667846679688, 380.92291259765625]"
"[911.3917236328125, 397.45263671875]","[924.6069946289062, 377.62969970703125]","[917.9993286132812, 390.844970703125]","[964.2528076171875, 390.844970703125]","[997.2909545898438, 384.23736572265625]","[957.6452026367188, 496.56719970703125]","[1023.7214965820312, 489.9595947265625]","[832.10009765625, 384.23736572265625]","[951.0375366210938, 384.23736572265625]","[785.8466186523438, 212.4387664794922]","[937.8223266601562, 291.73046875]","[990.6834106445312, 833.5567016601562]","[1036.936767578125, 820.3414306640625]","[1017.1139526367188, 1051.608642578125]","[1036.936767578125, 1051.608642578125]","[944.4298706054688, 417.2755126953125]","[931.2146606445312, 384.23736572265625]"
"[911.5, 398.52044677734375]","[924.8237915039062, 385.1966247558594]","[911.5, 391.8585510253906]","[971.4570922851562, 391.8585510253906]","[998.1046752929688, 398.52044677734375]","[964.795166015625, 491.7869873046875]","[1031.4140625, 491.7869873046875]","[831.5572509765625, 385.1966247558594]","[951.4713745117188, 385.1966247558594]","[798.247802734375, 218.64923095703125]","[944.8095092773438, 285.2682189941406]","[998.1046752929688, 838.2055053710938]","[1031.4140625, 824.8817749023438]","[1018.09033203125, 1051.38623046875]","[1038.075927734375, 1051.38623046875]","[938.1476440429688, 411.8442077636719]","[931.4857177734375, 378.5347595214844]"
"[909.7777099609375, 395.3054504394531]","[923.1644897460938, 381.9186706542969]","[909.7777099609375, 388.612060546875]","[963.3247680664062, 388.612060546875]","[996.791748046875, 375.22528076171875]","[956.6314086914062, 489.0128173828125]","[1023.5652465820312, 482.3194580078125]","[829.4570922851562, 388.612060546875]","[856.2306518554688, 401.99884033203125]","[795.9901733398438, 207.890625]","[949.9380493164062, 288.2112731933594]","[990.0983276367188, 816.9887084960938]","[1030.258544921875, 810.2953491210938]","[996.791748046875, 1044.563720703125]","[1043.6453857421875, 1044.563720703125]","[936.55126953125, 408.69219970703125]","[923.1644897460938, 375.22528076171875]"
"[912.2234497070312, 397.5304260253906]","[925.6985473632812, 377.31768798828125]","[912.2234497070312, 384.0552978515625]","[966.1240844726562, 390.7928466796875]","[999.8119506835938, 390.7928466796875]","[952.6488647460938, 491.8565979003906]","[1026.76220703125, 485.1190185546875]","[831.3723754882812, 390.7928466796875]","[959.3865356445312, 370.5801086425781]","[790.9469604492188, 208.8780975341797]","[945.9113159179688, 282.9915466308594]","[986.3367919921875, 828.7357788085938]","[1040.2374267578125, 821.9981689453125]","[999.8119506835938, 1037.6005859375]","[1046.97509765625, 1037.6005859375]","[939.1737670898438, 404.2680358886719]","[939.1737670898438, 363.842529296875]"
