±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[379.85589599609375, 392.2894592285156]","[397.835693359375, 380.30291748046875]","[367.86932373046875, 380.30291748046875]","[415.8155517578125, 392.2894592285156]","[343.896240234375, 392.2894592285156]","[451.775146484375, 488.18182373046875]","[301.943359375, 482.1885681152344]","[493.72808837890625, 590.0674438476562]","[259.99041748046875, 584.07421875]","[559.6541137695312, 644.0068969726562]","[182.0778350830078, 632.0204467773438]","[421.80877685546875, 685.9598999023438]","[325.91644287109375, 685.9598999023438]","[409.822265625, 835.7916870117188]","[349.8895263671875, 823.80517578125]","[403.8289794921875, 985.6234741210938]","[355.8828125, 979.6302490234375]"
"[377.2882080078125, 389.7757568359375]","[394.75146484375, 372.3125]","[365.64605712890625, 372.3125]","[418.0357666015625, 389.7757568359375]","[348.18280029296875, 383.95465087890625]","[447.14117431640625, 488.734130859375]","[295.7930908203125, 482.9130554199219]","[493.7098388671875, 587.6925659179688]","[255.04547119140625, 581.8713989257812]","[569.3839111328125, 628.4401245117188]","[173.55032348632812, 622.6190185546875]","[423.85687255859375, 680.829833984375]","[324.8984375, 680.829833984375]","[406.39361572265625, 832.1779174804688]","[342.3616943359375, 826.3568725585938]","[400.572509765625, 983.5260620117188]","[354.00390625, 971.8838500976562]"
"[379.06707763671875, 387.75567626953125]","[396.3182373046875, 376.2548828125]","[367.5662841796875, 376.2548828125]","[413.56939697265625, 393.50604248046875]","[344.564697265625, 387.75567626953125]","[448.07177734375, 491.26275634765625]","[298.56158447265625, 479.761962890625]","[494.07489013671875, 583.2689819335938]","[252.5584259033203, 577.5186157226562]","[580.330810546875, 612.02099609375]","[166.30252075195312, 606.2705688476562]","[419.31982421875, 686.7760620117188]","[327.31353759765625, 681.0256958007812]","[407.81903076171875, 830.5359497070312]","[344.564697265625, 830.5359497070312]","[402.06866455078125, 991.5469360351562]","[356.06549072265625, 974.2957153320312]"
"[381.3067626953125, 394.65643310546875]","[392.684814453125, 383.27838134765625]","[364.23968505859375, 383.27838134765625]","[415.44091796875, 394.65643310546875]","[347.172607421875, 394.65643310546875]","[449.5750732421875, 491.369873046875]","[295.97137451171875, 485.68084716796875]","[489.39825439453125, 582.394287109375]","[250.4591522216797, 582.394287109375]","[586.1116943359375, 599.4613647460938]","[159.43470764160156, 593.7723388671875]","[421.12994384765625, 690.4857788085938]","[324.41650390625, 690.4857788085938]","[404.0628662109375, 838.400390625]","[341.48358154296875, 838.400390625]","[404.0628662109375, 997.693115234375]","[352.86163330078125, 986.3150634765625]"
"[379.86309814453125, 404.322998046875]","[391.3585510253906, 392.8275451660156]","[368.3676452636719, 392.8275451660156]","[414.3493957519531, 404.322998046875]","[345.37677001953125, 404.322998046875]","[448.8357238769531, 502.0342102050781]","[299.3950500488281, 496.2864990234375]","[494.81744384765625, 588.2499389648438]","[247.66554260253906, 588.2499389648438]","[586.781005859375, 593.9977416992188]","[155.70204162597656, 593.9977416992188]","[420.0971374511719, 708.9520874023438]","[328.13360595703125, 708.9520874023438]","[402.8539733886719, 852.6450805664062]","[339.6290588378906, 852.6450805664062]","[402.8539733886719, 1013.5811157226562]","[345.37677001953125, 1007.8334350585938]"
"[377.06695556640625, 418.5460205078125]","[394.87249755859375, 406.6756591796875]","[365.1966247558594, 406.6756591796875]","[412.67803955078125, 424.481201171875]","[341.4559020996094, 418.5460205078125]","[448.28912353515625, 519.4440307617188]","[299.9096984863281, 513.5088500976562]","[501.7056884765625, 602.5364990234375]","[246.4930877685547, 602.5364990234375]","[584.7981567382812, 590.6661987304688]","[157.46542358398438, 590.6661987304688]","[424.54840087890625, 721.2400512695312]","[323.650390625, 721.2400512695312]","[400.80767822265625, 875.5546264648438]","[335.520751953125, 869.6194458007812]","[394.87249755859375, 1041.739501953125]","[341.4559020996094, 1035.8043212890625]"
"[381.2280578613281, 441.02178955078125]","[392.52447509765625, 429.725341796875]","[364.28338623046875, 429.725341796875]","[409.4691467285156, 441.02178955078125]","[341.6905212402344, 441.02178955078125]","[449.00665283203125, 537.0414428710938]","[296.50482177734375, 537.0414428710938]","[505.48883056640625, 616.1165161132812]","[245.67083740234375, 621.7647094726562]","[584.5638427734375, 599.171875]","[155.29934692382812, 599.171875]","[426.41375732421875, 734.7290649414062]","[330.39410400390625, 740.3772583007812]","[403.8209228515625, 892.8790893554688]","[336.04229736328125, 887.2308959960938]","[398.1726989746094, 1051.0291748046875]","[341.6905212402344, 1056.6773681640625]"
"[375.4898681640625, 463.36236572265625]","[392.3414306640625, 452.12799072265625]","[364.2554931640625, 452.12799072265625]","[409.1929931640625, 463.36236572265625]","[341.7867431640625, 463.36236572265625]","[454.1304931640625, 553.2373657226562]","[296.8492431640625, 558.8545532226562]","[504.6851806640625, 637.4951782226562]","[246.29452514648438, 643.1123657226562]","[583.3258056640625, 615.0264282226562]","[162.03671264648438, 615.0264282226562]","[426.0445556640625, 749.8389282226562]","[330.5523681640625, 749.8389282226562]","[403.5758056640625, 901.5029907226562]","[336.1695556640625, 901.5029907226562]","[397.9586181640625, 1058.7841796875]","[341.7867431640625, 1064.4013671875]"
"[375.4898681640625, 476.34332275390625]","[392.3414306640625, 470.72613525390625]","[364.2554931640625, 465.10894775390625]","[409.1929931640625, 481.96051025390625]","[341.7867431640625, 481.96051025390625]","[454.1304931640625, 577.4526977539062]","[296.8492431640625, 577.4526977539062]","[504.6851806640625, 656.0933227539062]","[246.29452514648438, 661.7105102539062]","[577.7086181640625, 633.6245727539062]","[167.65390014648438, 633.6245727539062]","[426.0445556640625, 779.6714477539062]","[330.5523681640625, 779.6714477539062]","[397.9586181640625, 925.7183837890625]","[336.1695556640625, 920.1011962890625]","[392.3414306640625, 1060.53076171875]","[341.7867431640625, 1066.14794921875]"
"[377.4114685058594, 492.4520263671875]","[394.1686706542969, 481.28057861328125]","[366.239990234375, 481.28057861328125]","[410.9258728027344, 498.03778076171875]","[343.8970642089844, 492.4520263671875]","[455.6117858886719, 592.995361328125]","[299.2111511230469, 592.995361328125]","[505.8834228515625, 671.1956176757812]","[248.9394989013672, 682.3671264648438]","[572.9122314453125, 648.8527221679688]","[170.73915100097656, 654.4384155273438]","[422.0973815917969, 794.0818481445312]","[332.7255554199219, 788.4961547851562]","[399.7544250488281, 933.7254028320312]","[338.3113098144531, 933.7254028320312]","[394.1686706542969, 1062.197265625]","[343.8970642089844, 1067.782958984375]"
