±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[180.4878692626953, 153.4860382080078]","[180.4878692626953, 144.42152404785156]","[180.4878692626953, 144.42152404785156]","[189.5524139404297, 139.88926696777344]","[203.1492156982422, 139.88926696777344]","[234.8750762939453, 153.4860382080078]","[221.2782745361328, 180.6796417236328]","[221.2782745361328, 126.29246520996094]","[148.7620086669922, 167.0828399658203]","[175.9556121826172, 144.42152404785156]","[166.8910675048828, 167.0828399658203]","[370.8430480957031, 158.01832580566406]","[370.8430480957031, 194.2764434814453]","[470.55291748046875, 94.56657409667969]","[484.1496887207031, 130.82472229003906]","[543.0692138671875, 194.2764434814453]","[543.0692138671875, 212.40553283691406]"
"[182.97535705566406, 148.16192626953125]","[178.4226531982422, 143.60922241210938]","[182.97535705566406, 143.60922241210938]","[182.97535705566406, 139.0565185546875]","[201.18612670898438, 139.0565185546875]","[233.0549774169922, 152.714599609375]","[223.94960021972656, 175.47808837890625]","[219.3968963623047, 125.3984375]","[151.10650634765625, 166.3726806640625]","[178.4226531982422, 139.0565185546875]","[173.86996459960938, 166.3726806640625]","[369.63580322265625, 157.26730346679688]","[374.1884765625, 193.6888427734375]","[469.7950134277344, 93.52960205078125]","[483.453125, 129.95114135742188]","[538.08544921875, 189.13616943359375]","[542.6381225585938, 211.89962768554688]"
"[179.03517150878906, 152.89891052246094]","[179.03517150878906, 143.80564880371094]","[179.03517150878906, 143.80564880371094]","[188.12843322753906, 139.2589874267578]","[206.3149871826172, 139.2589874267578]","[233.59478759765625, 152.89891052246094]","[219.95489501953125, 184.72535705566406]","[192.67506408691406, 121.07245635986328]","[151.75535583496094, 166.53880310058594]","[179.03517150878906, 139.2589874267578]","[174.48854064941406, 166.53880310058594]","[369.99383544921875, 157.44554138183594]","[369.99383544921875, 193.81861877441406]","[470.01983642578125, 93.79264068603516]","[483.65972900390625, 130.1657257080078]","[538.2193603515625, 189.27198791503906]","[542.7659912109375, 212.0051727294922]"
"[182.5558624267578, 148.70448303222656]","[182.5558624267578, 144.14759826660156]","[177.9989776611328, 139.59071350097656]","[187.1127471923828, 139.59071350097656]","[209.8971710205078, 135.03382873535156]","[232.6815948486328, 153.26136779785156]","[223.5678253173828, 176.04579162597656]","[219.0109405517578, 125.9200668334961]","[191.6696319580078, 180.60267639160156]","[182.5558624267578, 144.14759826660156]","[168.8852081298828, 166.93202209472656]","[369.38812255859375, 153.26136779785156]","[373.94500732421875, 189.71644592285156]","[469.63958740234375, 94.0218734741211]","[483.31024169921875, 130.47694396972656]","[542.5497436523438, 194.27333068847656]","[542.5497436523438, 212.50086975097656]"
"[182.12290954589844, 153.1775360107422]","[182.12290954589844, 144.0551300048828]","[177.5616912841797, 144.0551300048828]","[186.68409729003906, 139.49391174316406]","[209.4901885986328, 134.9326934814453]","[232.2962188720703, 153.1775360107422]","[223.17381286621094, 175.9835968017578]","[218.6125946044922, 125.8102798461914]","[191.2453155517578, 180.54481506347656]","[182.12290954589844, 144.0551300048828]","[168.43927001953125, 166.8611602783203]","[369.1325378417969, 153.1775360107422]","[373.6937561035156, 189.66722106933594]","[469.4791259765625, 93.8818130493164]","[483.16278076171875, 130.3715057373047]","[542.45849609375, 194.2284393310547]","[542.45849609375, 212.47328186035156]"
"[175.7198486328125, 157.21763610839844]","[180.2992706298828, 148.0587615966797]","[175.7198486328125, 148.0587615966797]","[184.8787078857422, 138.89988708496094]","[212.3552703857422, 143.47935485839844]","[230.67298889160156, 152.63816833496094]","[221.5141143798828, 180.11473083496094]","[180.2992706298828, 120.58219909667969]","[152.8227081298828, 166.37644958496094]","[184.8787078857422, 152.63816833496094]","[180.2992706298828, 170.95591735839844]","[372.63525390625, 152.63816833496094]","[377.2146911621094, 189.2736053466797]","[468.80322265625, 93.10563659667969]","[482.54150390625, 129.74107360839844]","[537.4946899414062, 189.2736053466797]","[542.0740966796875, 212.17076110839844]"
"[175.83737182617188, 157.5622100830078]","[180.41563415527344, 148.4056854248047]","[171.2591094970703, 148.4056854248047]","[194.1504364013672, 143.82740783691406]","[212.4635009765625, 143.82740783691406]","[235.35482788085938, 152.9839630126953]","[221.6200408935547, 185.0318145751953]","[226.19830322265625, 134.67088317871094]","[198.72869873046875, 185.0318145751953]","[180.41563415527344, 148.4056854248047]","[175.83737182617188, 171.29701232910156]","[368.12451171875, 152.9839630126953]","[372.70281982421875, 189.6100616455078]","[468.84637451171875, 88.88822937011719]","[482.5811767578125, 125.51435852050781]","[542.0986328125, 189.6100616455078]","[542.0986328125, 207.92311096191406]"
"[175.3331756591797, 157.52920532226562]","[179.9164276123047, 148.36270141601562]","[175.3331756591797, 148.36270141601562]","[189.0829315185547, 143.7794189453125]","[211.99920654296875, 143.7794189453125]","[234.91546630859375, 152.94595336914062]","[221.16571044921875, 180.44546508789062]","[179.9164276123047, 116.2799072265625]","[152.4169158935547, 166.69570922851562]","[184.4996795654297, 152.94595336914062]","[184.4996795654297, 171.27896118164062]","[367.82977294921875, 152.94595336914062]","[372.41302490234375, 189.61196899414062]","[468.66131591796875, 88.7803955078125]","[482.41107177734375, 125.4464111328125]","[537.4100952148438, 189.61196899414062]","[541.9933471679688, 207.9449462890625]"
"[182.5019989013672, 153.36399841308594]","[182.5019989013672, 144.1571807861328]","[173.29518127441406, 144.1571807861328]","[196.31224060058594, 144.1571807861328]","[210.1224822998047, 139.5537567138672]","[228.53611755371094, 162.5708465576172]","[233.13954162597656, 176.3810577392578]","[164.08836364746094, 134.9503631591797]","[173.29518127441406, 167.1742401123047]","[173.29518127441406, 153.36399841308594]","[173.29518127441406, 171.7776336669922]","[371.24188232421875, 157.96742248535156]","[375.84527587890625, 185.58787536621094]","[467.91351318359375, 93.51966094970703]","[481.72369384765625, 125.74353790283203]","[541.5680541992188, 185.58787536621094]","[541.5680541992188, 208.6049346923828]"
"[192.168212890625, 140.18751525878906]","[183.4212646484375, 140.18751525878906]","[187.79473876953125, 144.5609893798828]","[183.4212646484375, 140.18751525878906]","[192.168212890625, 135.8140411376953]","[222.7825469970703, 157.6814422607422]","[227.15602111816406, 183.9222869873047]","[144.05999755859375, 162.0548858642578]","[148.4334716796875, 162.0548858642578]","[187.79473876953125, 148.93446350097656]","[183.4212646484375, 162.0548858642578]","[371.480712890625, 153.3079376220703]","[371.480712890625, 183.9222869873047]","[472.07061767578125, 92.07930755615234]","[485.1910705566406, 131.44056701660156]","[542.0462036132812, 183.9222869873047]","[546.4197387695312, 214.5365753173828]"
"[193.1318817138672, 140.6522674560547]","[184.40382385253906, 140.6522674560547]","[184.40382385253906, 140.6522674560547]","[184.40382385253906, 140.6522674560547]","[193.1318817138672, 136.28822326660156]","[223.68016052246094, 162.4724578857422]","[232.40823364257812, 179.92860412597656]","[145.1274871826172, 162.4724578857422]","[149.4915313720703, 162.4724578857422]","[188.7678680419922, 162.4724578857422]","[188.7678680419922, 166.8364715576172]","[372.0574035644531, 153.74436950683594]","[372.0574035644531, 184.2926483154297]","[468.06622314453125, 92.64787292480469]","[485.5223693847656, 131.92417907714844]","[542.2548217773438, 184.2926483154297]","[546.618896484375, 214.8408966064453]"
"[185.32420349121094, 151.11277770996094]","[185.32420349121094, 146.49119567871094]","[176.0811004638672, 151.11277770996094]","[189.94578552246094, 141.86961364746094]","[213.0536346435547, 137.24806213378906]","[236.16148376464844, 155.73435974121094]","[226.91831970214844, 192.70689392089844]","[291.62030029296875, 155.73435974121094]","[157.59483337402344, 160.3559112548828]","[171.4595184326172, 151.11277770996094]","[185.32420349121094, 169.5990447998047]","[370.1869201660156, 155.73435974121094]","[374.8085021972656, 183.46372985839844]","[467.23980712890625, 91.03238677978516]","[485.7261047363281, 123.38336944580078]","[541.1849365234375, 188.08531188964844]","[541.1849365234375, 211.19313049316406]"
"[189.26019287109375, 155.72622680664062]","[189.26019287109375, 146.46896362304688]","[180.0029296875, 151.09762573242188]","[193.88880920410156, 137.21173095703125]","[217.03196716308594, 132.58309936523438]","[230.91786193847656, 155.72622680664062]","[221.6605987548828, 197.38388061523438]","[152.2311553955078, 160.3548583984375]","[156.8597869873047, 160.3548583984375]","[170.7456817626953, 151.09762573242188]","[184.63156127929688, 169.61212158203125]","[369.7767028808594, 155.72622680664062]","[374.40533447265625, 183.49801635742188]","[466.9778747558594, 90.92544555664062]","[485.492431640625, 123.32583618164062]","[541.0359497070312, 188.12661743164062]","[541.0359497070312, 206.64111328125]"
"[188.7694854736328, 140.74948120117188]","[188.7694854736328, 140.74948120117188]","[179.5966033935547, 149.92233276367188]","[193.35594177246094, 136.16302490234375]","[175.01014709472656, 159.09524536132812]","[239.2204132080078, 154.5087890625]","[220.87461853027344, 191.20037841796875]","[285.08489990234375, 154.5087890625]","[161.2508087158203, 159.09524536132812]","[230.0475311279297, 140.74948120117188]","[175.01014709472656, 163.68170166015625]","[372.2273864746094, 149.92233276367188]","[372.2273864746094, 182.0274658203125]","[468.54278564453125, 90.29855346679688]","[482.3021240234375, 126.9901123046875]","[541.9259643554688, 186.61392211914062]","[541.9259643554688, 209.546142578125]"
"[193.83290100097656, 138.25076293945312]","[198.41441345214844, 124.50616455078125]","[184.66981506347656, 138.25076293945312]","[180.08827209472656, 156.57687377929688]","[216.74058532714844, 133.66921997070312]","[244.2297821044922, 147.413818359375]","[225.9036407470703, 188.64764404296875]","[294.626708984375, 151.995361328125]","[170.9252166748047, 151.995361328125]","[358.7681579589844, 142.832275390625]","[184.66981506347656, 161.15841674804688]","[367.9312438964844, 147.413818359375]","[372.5127868652344, 179.48455810546875]","[468.72503662109375, 87.85385131835938]","[482.4696044921875, 124.50616455078125]","[542.0296020507812, 188.64764404296875]","[542.0296020507812, 206.97378540039062]"
