鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[734.8551025390625, 574.6742553710938]","[728.3099365234375, 561.5838012695312]","[715.2195434570312, 568.1289672851562]","[1212.654541015625, 1032.837890625]","[682.4935302734375, 600.8550415039062]","[767.5811157226562, 646.67138671875]","[754.49072265625, 679.3973999023438]","[859.2138671875, 607.4002075195312]","[865.7590942382812, 607.4002075195312]","[950.8466186523438, 541.9481811523438]","[963.9370727539062, 522.3126220703125]","[970.4822387695312, 790.6657104492188]","[963.9370727539062, 816.8464965820312]","[1094.8408203125, 901.93408203125]","[1094.8408203125, 915.0244750976562]","[1212.654541015625, 1026.292724609375]","[1219.19970703125, 1032.837890625]"
"[735.6961669921875, 574.5393676757812]","[729.1682739257812, 561.4834594726562]","[716.1123657226562, 568.0114135742188]","[1212.23486328125, 1038.022216796875]","[683.4727783203125, 600.6510620117188]","[761.8079223632812, 646.3465576171875]","[755.2799682617188, 678.9862060546875]","[859.7268676757812, 607.1790161132812]","[866.2547607421875, 607.1790161132812]","[951.1178588867188, 541.8997192382812]","[964.1736450195312, 522.31591796875]","[977.2295532226562, 789.9609985351562]","[964.1736450195312, 816.0726928710938]","[1101.260009765625, 907.4637451171875]","[1094.732177734375, 920.51953125]","[1212.23486328125, 1024.96630859375]","[1218.762939453125, 1031.494384765625]"
"[734.4596557617188, 574.5003051757812]","[727.9161987304688, 561.4134521484375]","[714.829345703125, 567.9569091796875]","[1212.130126953125, 1032.54052734375]","[682.1121826171875, 600.674072265625]","[767.1768188476562, 646.4780883789062]","[754.0899047851562, 679.1952514648438]","[858.7848510742188, 607.2174682617188]","[871.8717651367188, 607.2174682617188]","[950.3928833007812, 541.7831420898438]","[963.4797973632812, 522.1528930664062]","[970.023193359375, 790.43359375]","[963.4797973632812, 816.6073608398438]","[1094.348388671875, 901.6719360351562]","[1094.348388671875, 914.7587890625]","[1212.130126953125, 1025.9970703125]","[1218.673583984375, 1032.54052734375]"
"[743.5653686523438, 576.0338745117188]","[734.9121704101562, 563.0540161132812]","[721.9323120117188, 571.7072143554688]","[700.29931640625, 597.6668090820312]","[691.6461181640625, 601.9934692382812]","[756.545166015625, 636.6062622070312]","[747.8919677734375, 684.1989135742188]","[869.0368041992188, 589.0136108398438]","[864.7102661132812, 606.320068359375]","[959.8955078125, 532.767822265625]","[959.8955078125, 524.1145629882812]","[985.8551025390625, 783.7107543945312]","[964.2221069335938, 813.9970092773438]","[1124.306396484375, 926.4886474609375]","[1089.6934814453125, 904.8556518554688]","[1135.122802734375, 941.6317138671875]","[1128.6329345703125, 948.1217041015625]"
"[743.3543090820312, 574.6720581054688]","[730.1973876953125, 565.9008178710938]","[721.4260864257812, 570.2864379882812]","[699.4978637695312, 596.600341796875]","[690.7265625, 600.9859619140625]","[756.5112915039062, 636.0711059570312]","[747.739990234375, 684.3132934570312]","[861.766845703125, 592.2146606445312]","[861.766845703125, 614.1429443359375]","[953.8654174804688, 530.8156127929688]","[953.8654174804688, 526.429931640625]","[975.793701171875, 780.7975463867188]","[958.2510986328125, 811.4970703125]","[1081.0491943359375, 890.4387817382812]","[1076.66357421875, 890.4387817382812]","[1140.25537109375, 954.0305786132812]","[1140.25537109375, 945.2593383789062]"
"[742.8178100585938, 575.5182495117188]","[734.1292724609375, 562.4854125976562]","[721.0963745117188, 571.1740112304688]","[699.375, 597.2396850585938]","[690.6864624023438, 601.583984375]","[755.8506469726562, 636.3381958007812]","[747.162109375, 684.1253051757812]","[868.802001953125, 588.5511474609375]","[864.4577026367188, 610.2725219726562]","[960.0319213867188, 532.075439453125]","[955.6876831054688, 527.7311401367188]","[981.7533569335938, 779.6995239257812]","[964.376220703125, 818.7980346679688]","[1125.114501953125, 927.4050903320312]","[1090.3603515625, 901.3394165039062]","[1135.975341796875, 942.6100463867188]","[1135.975341796875, 951.2986450195312]"
"[743.0217895507812, 575.0736083984375]","[734.3442993164062, 562.0574340820312]","[721.328125, 570.73486328125]","[699.6344604492188, 596.7672729492188]","[690.9569702148438, 601.1060180664062]","[760.376708984375, 635.8158569335938]","[747.3605346679688, 683.5419311523438]","[864.50634765625, 592.4285278320312]","[860.1676025390625, 614.1221923828125]","[959.95849609375, 531.6862182617188]","[955.6197509765625, 527.3475341796875]","[985.9909057617188, 783.3328247070312]","[964.2971801757812, 818.042724609375]","[1124.830322265625, 926.5110473632812]","[1090.1204833984375, 904.8173217773438]","[1135.6771240234375, 941.6965942382812]","[1135.6771240234375, 950.3740844726562]"
"[739.4353637695312, 578.3634033203125]","[730.7000122070312, 565.2604370117188]","[721.9646606445312, 573.9957275390625]","[700.1262817382812, 595.8341064453125]","[691.3909912109375, 600.2017822265625]","[756.906005859375, 635.1431274414062]","[748.1707153320312, 683.1875]","[861.7301025390625, 591.4664306640625]","[861.7301025390625, 613.3047485351562]","[957.8187866210938, 530.3190307617188]","[957.8187866210938, 525.9513549804688]","[979.6571655273438, 779.2761840820312]","[962.1864624023438, 814.2175903320312]","[1080.113525390625, 888.4679565429688]","[1080.113525390625, 892.8356323242188]","[1139.0770263671875, 951.7991333007812]","[1139.0770263671875, 951.7991333007812]"
"[743.2890014648438, 578.7695922851562]","[730.2108764648438, 565.6914672851562]","[721.4921264648438, 570.0508422851562]","[699.6952514648438, 596.2070922851562]","[690.9765014648438, 600.5664672851562]","[756.3671264648438, 635.4414672851562]","[747.6483764648438, 683.3944702148438]","[860.9920043945312, 591.8477172851562]","[860.9920043945312, 613.6445922851562]","[956.8981323242188, 530.8165893554688]","[956.8981323242188, 526.4572143554688]","[978.6949462890625, 779.3005981445312]","[961.2574462890625, 814.1755981445312]","[1092.0384521484375, 901.3629760742188]","[1087.67919921875, 897.0036010742188]","[1137.811767578125, 951.4957275390625]","[1137.811767578125, 951.4957275390625]"
"[743.6880493164062, 574.2241821289062]","[730.5773315429688, 565.4837036132812]","[721.8368530273438, 569.8539428710938]","[699.985595703125, 596.0753784179688]","[691.2451171875, 600.4456787109375]","[756.798828125, 635.4076538085938]","[748.0582885742188, 683.4803466796875]","[861.6847534179688, 591.7051391601562]","[861.6847534179688, 613.556396484375]","[957.8301391601562, 530.5216674804688]","[957.8301391601562, 526.1514282226562]","[979.681396484375, 779.6257934570312]","[962.200439453125, 814.5877075195312]","[1080.197021484375, 888.8819580078125]","[1075.8267822265625, 893.252197265625]","[1139.1953125, 952.25048828125]","[1139.1953125, 952.25048828125]"
