鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[709.3529663085938, 314.1195373535156]","[709.3529663085938, 292.37542724609375]","[698.4808959960938, 303.24749755859375]","[649.5567016601562, 716.3853149414062]","[660.4287109375, 308.6835021972656]","[649.5567016601562, 368.4797668457031]","[649.5567016601562, 373.9158020019531]","[638.6846313476562, 471.76422119140625]","[644.1206665039062, 471.76422119140625]","[654.9927368164062, 558.7406005859375]","[644.1206665039062, 558.7406005859375]","[676.7367553710938, 558.7406005859375]","[665.86474609375, 558.7406005859375]","[671.3007202148438, 694.6411743164062]","[671.3007202148438, 700.0772094726562]","[654.9927368164062, 830.5418090820312]","[649.5567016601562, 846.849853515625]"
"[708.62158203125, 310.29571533203125]","[708.62158203125, 294.00323486328125]","[697.7599487304688, 299.43408203125]","[648.8824462890625, 717.6079711914062]","[665.1749267578125, 304.8648986816406]","[648.8824462890625, 370.03485107421875]","[648.8824462890625, 375.4656982421875]","[638.0208129882812, 473.22064208984375]","[648.8824462890625, 467.789794921875]","[659.7440795898438, 565.5447387695312]","[648.8824462890625, 560.1138916015625]","[681.4674072265625, 560.1138916015625]","[665.1749267578125, 560.1138916015625]","[681.4674072265625, 695.8846435546875]","[665.1749267578125, 701.3154296875]","[659.7440795898438, 831.6553955078125]","[643.4515991210938, 847.9478149414062]"
"[710.6968383789062, 314.7715148925781]","[699.2911987304688, 297.6630859375]","[699.2911987304688, 303.36590576171875]","[665.0744018554688, 799.5103759765625]","[665.0744018554688, 303.36590576171875]","[647.9658813476562, 371.79962158203125]","[647.9658813476562, 377.50244140625]","[636.560302734375, 474.4501953125]","[653.6687622070312, 474.4501953125]","[676.47998046875, 565.6951904296875]","[665.0744018554688, 565.6951904296875]","[676.47998046875, 559.9923706054688]","[670.7771606445312, 559.9923706054688]","[665.0744018554688, 696.8597412109375]","[670.7771606445312, 702.5626220703125]","[647.9658813476562, 833.7272338867188]","[647.9658813476562, 850.8355712890625]"
"[709.6022338867188, 313.02117919921875]","[709.6022338867188, 290.989013671875]","[698.5861206054688, 302.00506591796875]","[637.9977416992188, 318.5291748046875]","[665.5379028320312, 307.51312255859375]","[654.5218505859375, 373.6095275878906]","[654.5218505859375, 379.1175537109375]","[637.9977416992188, 472.75408935546875]","[660.0298461914062, 472.75408935546875]","[687.570068359375, 560.8826293945312]","[676.5540161132812, 560.8826293945312]","[665.5379028320312, 566.3906860351562]","[665.5379028320312, 566.3906860351562]","[665.5379028320312, 698.58349609375]","[665.5379028320312, 698.58349609375]","[643.5057983398438, 836.2843017578125]","[649.0138549804688, 847.3003540039062]"
"[713.041015625, 314.2598876953125]","[707.6605834960938, 298.11846923828125]","[702.2800903320312, 303.49896240234375]","[680.7582397460938, 712.4141845703125]","[669.997314453125, 308.8794250488281]","[659.2363891601562, 373.4449768066406]","[648.4754638671875, 378.825439453125]","[669.997314453125, 481.0542297363281]","[664.6168823242188, 475.67376708984375]","[707.6605834960938, 556.3807373046875]","[696.899658203125, 561.7611694335938]","[664.6168823242188, 561.7611694335938]","[664.6168823242188, 561.7611694335938]","[675.3778076171875, 701.6532592773438]","[669.997314453125, 701.6532592773438]","[653.85595703125, 836.1647338867188]","[648.4754638671875, 852.30615234375]"
"[708.4873657226562, 317.08856201171875]","[708.4873657226562, 306.218505859375]","[703.0524291992188, 306.218505859375]","[637.8323364257812, 322.5235595703125]","[665.0073852539062, 311.65350341796875]","[654.1373901367188, 371.4385986328125]","[654.1373901367188, 382.30859375]","[686.7473754882812, 469.2686462402344]","[681.3123779296875, 469.2686462402344]","[719.357421875, 550.7937622070312]","[719.357421875, 556.2286987304688]","[665.0073852539062, 567.0987548828125]","[665.0073852539062, 567.0987548828125]","[670.4423828125, 702.9738159179688]","[670.4423828125, 702.9738159179688]","[643.2673950195312, 838.8489379882812]","[654.1373901367188, 849.7189331054688]"
"[712.6343383789062, 318.81591796875]","[712.6343383789062, 308.2397155761719]","[702.0580444335938, 308.2397155761719]","[633.3125610351562, 324.10406494140625]","[665.0413208007812, 308.2397155761719]","[665.0413208007812, 376.9851989746094]","[654.4650268554688, 382.2733154296875]","[696.7699584960938, 461.59503173828125]","[691.4818725585938, 472.1712646484375]","[733.7868041992188, 540.916748046875]","[739.0748901367188, 546.2048950195312]","[670.3294067382812, 567.3572998046875]","[665.0413208007812, 567.3572998046875]","[675.6174926757812, 704.8482666015625]","[670.3294067382812, 704.8482666015625]","[659.753173828125, 837.0510864257812]","[643.8888549804688, 847.6273193359375]"
"[714.3688354492188, 315.2706604003906]","[708.7088012695312, 303.9505310058594]","[703.0487670898438, 303.9505310058594]","[646.4481201171875, 309.610595703125]","[669.08837890625, 309.610595703125]","[669.08837890625, 377.5313415527344]","[652.1082153320312, 383.1914367675781]","[703.0487670898438, 468.09234619140625]","[708.7088012695312, 468.09234619140625]","[753.9893188476562, 536.0131225585938]","[765.3094482421875, 536.0131225585938]","[674.7484130859375, 569.9734497070312]","[657.7682495117188, 575.633544921875]","[680.4085083007812, 700.1549072265625]","[669.08837890625, 700.1549072265625]","[657.7682495117188, 835.9964599609375]","[646.4481201171875, 847.3165283203125]"
"[714.4629516601562, 319.6499938964844]","[703.3096923828125, 314.0733642578125]","[703.3096923828125, 302.92010498046875]","[647.54345703125, 838.2759399414062]","[669.8499145507812, 308.49676513671875]","[658.6967163085938, 375.4162292480469]","[653.1200561523438, 375.4162292480469]","[708.8862915039062, 453.4889221191406]","[714.4629516601562, 459.0655822753906]","[770.2291870117188, 520.4083862304688]","[781.3823852539062, 520.4083862304688]","[664.2733154296875, 570.5980224609375]","[658.6967163085938, 570.5980224609375]","[669.8499145507812, 698.8602905273438]","[669.8499145507812, 704.4369506835938]","[641.9668579101562, 838.2759399414062]","[641.9668579101562, 855.0056762695312]"
"[714.7799682617188, 314.8084716796875]","[709.1483154296875, 309.1767883300781]","[703.5166625976562, 303.54510498046875]","[652.83154296875, 844.18603515625]","[669.7265625, 303.54510498046875]","[652.83154296875, 376.75689697265625]","[658.4631958007812, 376.75689697265625]","[709.1483154296875, 444.3370361328125]","[720.4116821289062, 444.3370361328125]","[765.465087890625, 495.0221252441406]","[793.6234741210938, 500.65380859375]","[664.0949096679688, 573.8656616210938]","[664.0949096679688, 573.8656616210938]","[675.3582763671875, 697.7625122070312]","[669.7265625, 703.3941650390625]","[647.1998901367188, 838.554443359375]","[647.1998901367188, 849.8177490234375]"
