±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[371.6189270019531, 299.7606201171875]","[385.4463195800781, 285.9332275390625]","[350.8778076171875, 285.9332275390625]","[406.1873779296875, 306.67431640625]","[316.309326171875, 306.67431640625]","[447.66961669921875, 417.29351806640625]","[281.7408447265625, 410.37982177734375]","[489.15179443359375, 534.8263549804688]","[240.25865173339844, 527.9126586914062]","[544.4613647460938, 617.7907104492188]","[157.2942352294922, 569.3948974609375]","[413.10113525390625, 659.27294921875]","[316.309326171875, 652.3592529296875]","[413.10113525390625, 845.9427490234375]","[316.309326171875, 832.1153564453125]","[378.5325927734375, 1018.7852172851562]","[316.309326171875, 1018.7852172851562]"
"[369.0978088378906, 296.3634033203125]","[383.0924377441406, 282.3687744140625]","[355.1032409667969, 282.3687744140625]","[404.0843200683594, 303.36065673828125]","[320.1167297363281, 303.36065673828125]","[446.0681457519531, 415.3175048828125]","[285.1302490234375, 408.3201904296875]","[488.0519104003906, 534.2716064453125]","[243.1464080810547, 527.2742919921875]","[544.0303344726562, 618.2391967773438]","[152.18153381347656, 562.2608032226562]","[418.0789489746094, 660.2230224609375]","[313.11944580078125, 653.2257080078125]","[411.0816345214844, 849.1500854492188]","[313.11944580078125, 835.155517578125]","[376.0951232910156, 1010.0879516601562]","[313.11944580078125, 1024.08251953125]"
"[366.9488830566406, 302.28729248046875]","[388.12994384765625, 288.1666259765625]","[352.8282470703125, 288.1666259765625]","[402.2506408691406, 309.34765625]","[317.5264892578125, 309.34765625]","[444.6127014160156, 415.25286865234375]","[282.2247619628906, 415.25286865234375]","[486.9747619628906, 542.339111328125]","[239.86268615722656, 528.2183837890625]","[543.4575805664062, 620.0028686523438]","[155.13853454589844, 549.3994140625]","[416.3713073730469, 662.364990234375]","[317.5264892578125, 662.364990234375]","[409.3110046386719, 860.0546264648438]","[310.46612548828125, 852.9942626953125]","[381.0696105957031, 1022.4425659179688]","[317.5264892578125, 1043.6234130859375]"
"[368.43035888671875, 311.32275390625]","[383.07647705078125, 296.6766357421875]","[346.4611511230469, 296.6766357421875]","[405.04571533203125, 318.64581298828125]","[317.16888427734375, 318.64581298828125]","[448.984130859375, 428.4918518066406]","[280.5535583496094, 421.1687927246094]","[485.59942626953125, 552.9839477539062]","[236.6151580810547, 538.3378295898438]","[544.1840209960938, 626.2146606445312]","[141.41526794433594, 552.9839477539062]","[419.69183349609375, 662.8300170898438]","[317.16888427734375, 655.5068969726562]","[412.3687744140625, 860.5527954101562]","[309.8458251953125, 853.2297973632812]","[390.39959716796875, 1036.306396484375]","[317.16888427734375, 1050.9525146484375]"
"[365.63861083984375, 326.4991149902344]","[379.9466857910156, 312.1910400390625]","[344.17657470703125, 312.1910400390625]","[408.56280517578125, 326.4991149902344]","[322.7144470214844, 333.65313720703125]","[444.3328857421875, 448.1175842285156]","[286.9443359375, 433.80950927734375]","[487.257080078125, 569.7360229492188]","[236.8661346435547, 548.2739868164062]","[558.79736328125, 634.1222534179688]","[143.86378479003906, 548.2739868164062]","[415.71685791015625, 677.04638671875]","[315.5604553222656, 669.8923950195312]","[415.71685791015625, 884.51318359375]","[308.40643310546875, 870.2051391601562]","[394.2547302246094, 1049.0556640625]","[308.40643310546875, 1070.517822265625]"
"[365.4930114746094, 346.86102294921875]","[386.4697265625, 332.8765563964844]","[351.508544921875, 332.8765563964844]","[407.4464416503906, 346.86102294921875]","[323.5396423339844, 353.8532409667969]","[442.4075622558594, 465.7289733886719]","[288.5784606933594, 458.73675537109375]","[491.3532409667969, 584.596923828125]","[232.6405792236328, 563.6202392578125]","[568.2677612304688, 647.5270385742188]","[134.7493133544922, 542.6435546875]","[421.43084716796875, 696.47265625]","[316.5473937988281, 696.47265625]","[414.43865966796875, 899.2473754882812]","[309.5551452636719, 892.2551879882812]","[400.4541931152344, 1074.0531005859375]","[316.5473937988281, 1095.02978515625]"
"[372.01165771484375, 368.19573974609375]","[385.4975891113281, 354.7098083496094]","[351.78271484375, 354.7098083496094]","[405.7265625, 374.938720703125]","[324.8108215332031, 374.938720703125]","[446.1844177246094, 489.5693359375]","[284.35296630859375, 482.82635498046875]","[500.1282043457031, 604.1998901367188]","[223.66615295410156, 577.22802734375]","[581.0438842773438, 658.1437377929688]","[136.0074462890625, 556.9990844726562]","[419.2124938964844, 718.83056640625]","[318.0678405761719, 712.0875854492188]","[419.2124938964844, 914.3768310546875]","[311.3248596191406, 907.6338500976562]","[398.98358154296875, 1082.951171875]","[311.3248596191406, 1096.43701171875]"
"[377.33734130859375, 384.3227233886719]","[389.8458557128906, 371.814208984375]","[352.3203430175781, 371.814208984375]","[408.60858154296875, 390.57696533203125]","[327.3033752441406, 396.83123779296875]","[446.1340637207031, 509.40771484375]","[289.7778625488281, 496.89923095703125]","[496.1681213378906, 615.7299194335938]","[220.98109436035156, 590.7129516601562]","[583.7276000976562, 665.7639770507812]","[139.6758575439453, 565.6959838867188]","[414.8628234863281, 734.5606689453125]","[314.79486083984375, 728.3064575195312]","[427.371337890625, 915.9338989257812]","[308.5406188964844, 915.9338989257812]","[396.10009765625, 1091.052734375]","[314.79486083984375, 1097.3070068359375]"
"[378.7270812988281, 395.94281005859375]","[392.1940002441406, 382.47589111328125]","[358.52667236328125, 382.47589111328125]","[412.3944091796875, 402.67626953125]","[331.5928039550781, 402.67626953125]","[446.0617370605469, 517.1452026367188]","[284.45855712890625, 503.67828369140625]","[506.6629333496094, 631.6140747070312]","[223.8573760986328, 604.6802368164062]","[587.4644165039062, 678.7483520507812]","[149.7892608642578, 577.7463989257812]","[419.1278381347656, 752.8165283203125]","[311.3924255371094, 752.8165283203125]","[432.59478759765625, 927.8865966796875]","[311.3924255371094, 934.6199951171875]","[392.1940002441406, 1096.2230224609375]","[311.3924255371094, 1096.2230224609375]"
"[378.48345947265625, 393.6567077636719]","[391.7823791503906, 387.0072326660156]","[358.5350646972656, 380.3577880859375]","[411.73077392578125, 400.30615234375]","[331.9372253417969, 400.30615234375]","[451.6275329589844, 519.9964599609375]","[285.3910217285156, 506.6975402832031]","[498.1737365722656, 633.0372924804688]","[238.84474182128906, 606.4395141601562]","[577.9673461914062, 679.5835571289062]","[165.70068359375, 586.4910888671875]","[418.3802490234375, 752.7276611328125]","[311.9888610839844, 752.7276611328125]","[431.6791687011719, 932.2631225585938]","[311.9888610839844, 932.2631225585938]","[391.7823791503906, 1091.8499755859375]","[311.9888610839844, 1098.49951171875]"
