鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[681.7877807617188, 396.4259033203125]","[652.9561767578125, 377.204833984375]","[662.5667114257812, 396.4259033203125]","[672.1773071289062, 329.152099609375]","[1354.5263671875, 655.9107666015625]","[787.50390625, 329.152099609375]","[787.50390625, 300.3204345703125]","[768.2827758789062, 492.53143310546875]","[777.8933715820312, 463.69976806640625]","[720.2300415039062, 655.9107666015625]","[710.6194458007812, 627.0791015625]","[1095.04150390625, 386.81536865234375]","[1104.6519775390625, 367.59423828125]","[1123.873046875, 665.5213012695312]","[1133.483642578125, 617.4685668945312]","[1354.5263671875, 617.4685668945312]","[1344.915771484375, 617.4685668945312]"
"[677.218017578125, 396.7626953125]","[658.0436401367188, 377.5882568359375]","[686.8052368164062, 396.7626953125]","[677.218017578125, 329.6522216796875]","[1348.32275390625, 655.6173706054688]","[782.6773681640625, 310.477783203125]","[792.2645874023438, 300.890625]","[763.5029296875, 502.22198486328125]","[782.6773681640625, 483.047607421875]","[715.56689453125, 665.20458984375]","[715.56689453125, 636.4429321289062]","[1089.468017578125, 396.7626953125]","[1099.05517578125, 387.17547607421875]","[1118.2296142578125, 665.20458984375]","[1137.404052734375, 636.4429321289062]","[1348.32275390625, 617.2685546875]","[1338.7354736328125, 617.2685546875]"
"[672.576171875, 398.34063720703125]","[653.5286865234375, 369.7694091796875]","[682.0999145507812, 388.81689453125]","[672.576171875, 322.1507568359375]","[1348.76171875, 655.4815673828125]","[786.861083984375, 312.626953125]","[786.861083984375, 312.626953125]","[767.8135986328125, 503.10174560546875]","[786.861083984375, 484.0543212890625]","[710.671142578125, 665.0053100585938]","[720.1948852539062, 636.4341430664062]","[1082.096923828125, 398.34063720703125]","[1101.1444091796875, 379.29315185546875]","[1120.19189453125, 665.0053100585938]","[1139.2393798828125, 636.4341430664062]","[1348.76171875, 617.3866577148438]","[1339.2379150390625, 617.3866577148438]"
"[665.4313354492188, 389.5109558105469]","[646.5546264648438, 370.6342468261719]","[665.4313354492188, 389.5109558105469]","[674.8696899414062, 323.4424743652344]","[637.1162719726562, 304.5657043457031]","[788.1300659179688, 314.0040588378906]","[788.1300659179688, 304.5657043457031]","[759.8150024414062, 502.7713317871094]","[788.1300659179688, 483.8946228027344]","[712.6231689453125, 663.2234497070312]","[722.0615234375, 634.9083862304688]","[1090.1575927734375, 389.5109558105469]","[1090.1575927734375, 380.0726013183594]","[1118.47265625, 653.7850952148438]","[1137.349365234375, 634.9083862304688]","[1344.993408203125, 616.0316772460938]","[1335.5550537109375, 616.0316772460938]"
"[662.0202026367188, 388.9435729980469]","[643.0114135742188, 369.9348449707031]","[662.0202026367188, 388.9435729980469]","[671.5245971679688, 322.4129333496094]","[1137.2388916015625, 655.0661010742188]","[785.5770874023438, 312.9085998535156]","[785.5770874023438, 312.9085998535156]","[766.5682983398438, 502.9961242675781]","[776.0726928710938, 493.4917297363281]","[709.5420532226562, 655.0661010742188]","[719.0464477539062, 636.0573120117188]","[1080.212646484375, 398.4479675292969]","[1099.221435546875, 379.4392395019531]","[1118.230224609375, 655.0661010742188]","[1137.2388916015625, 636.0573120117188]","[1346.335205078125, 617.0485229492188]","[1336.830810546875, 617.0485229492188]"
"[662.9270629882812, 397.1062927246094]","[643.6564331054688, 368.2003479003906]","[662.9270629882812, 387.4709777832031]","[672.5624389648438, 320.0237731933594]","[643.6564331054688, 310.3884582519531]","[778.5509643554688, 320.0237731933594]","[778.5509643554688, 300.7531433105469]","[768.9155883789062, 503.0948181152344]","[778.5509643554688, 493.4595031738281]","[711.1036987304688, 657.2598266601562]","[720.739013671875, 637.9893188476562]","[1077.2457275390625, 397.1062927246094]","[1096.516357421875, 377.8356628417969]","[1125.42236328125, 657.2598266601562]","[1144.6929931640625, 637.9893188476562]","[1347.03466796875, 618.7186889648438]","[1337.3994140625, 609.0833129882812]"
"[664.9525146484375, 398.2815246582031]","[645.9676513671875, 369.8042297363281]","[664.9525146484375, 388.7890930175781]","[674.4449462890625, 322.3420104980469]","[1139.574462890625, 654.5774536132812]","[778.86181640625, 312.8495788574219]","[778.86181640625, 303.3570861816406]","[769.369384765625, 502.6983337402344]","[778.86181640625, 502.6983337402344]","[712.4147338867188, 664.0697631835938]","[721.9071655273438, 635.5925903320312]","[1082.619873046875, 398.2815246582031]","[1101.604736328125, 379.2966613769531]","[1120.589599609375, 664.0697631835938]","[1139.574462890625, 635.5925903320312]","[1348.408203125, 616.6077270507812]","[1338.915771484375, 616.6077270507812]"
"[665.53564453125, 398.2390441894531]","[646.5501098632812, 369.7607116699219]","[656.0429077148438, 388.7463073730469]","[675.0284423828125, 322.2967834472656]","[1140.1748046875, 654.5441284179688]","[779.4490966796875, 312.8039855957031]","[779.4490966796875, 303.3112487792969]","[760.4635009765625, 502.6596374511719]","[779.4490966796875, 502.6596374511719]","[712.9995727539062, 664.0369262695312]","[722.4923706054688, 635.5586547851562]","[1083.2181396484375, 398.2390441894531]","[1102.2037353515625, 379.2534484863281]","[1121.189208984375, 664.0369262695312]","[1140.1748046875, 635.5586547851562]","[1349.01611328125, 616.5730590820312]","[1339.5233154296875, 616.5730590820312]"
"[665.7886352539062, 398.1825866699219]","[646.7705078125, 369.6554870605469]","[656.2796020507812, 388.6735534667969]","[675.2976684570312, 322.1101989746094]","[1350.4405517578125, 654.9271850585938]","[779.8972778320312, 312.6011047363281]","[779.8972778320312, 312.6011047363281]","[760.8792114257812, 502.7821960449219]","[779.8972778320312, 502.7821960449219]","[713.3339233398438, 664.4362182617188]","[722.8429565429688, 635.9089965820312]","[1084.18701171875, 398.1825866699219]","[1103.205078125, 379.1645202636719]","[1122.2232666015625, 654.9271850585938]","[1141.2413330078125, 635.9089965820312]","[1350.4405517578125, 616.8909301757812]","[1340.9315185546875, 616.8909301757812]"
"[664.5166625976562, 398.4140930175781]","[645.564697265625, 369.9861145019531]","[664.5166625976562, 388.9380798339844]","[673.9926147460938, 322.6062316894531]","[1138.3155517578125, 654.2654418945312]","[787.7044067382812, 313.1302185058594]","[778.2283935546875, 303.6542663574219]","[768.7523803710938, 502.6498107910156]","[778.2283935546875, 502.6498107910156]","[711.8965454101562, 663.7413940429688]","[721.3724975585938, 635.3135375976562]","[1081.4595947265625, 398.4140930175781]","[1100.41162109375, 379.4621276855469]","[1119.363525390625, 654.2654418945312]","[1138.3155517578125, 635.3135375976562]","[1356.262939453125, 616.3615112304688]","[1337.31103515625, 616.3615112304688]"
