鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[3296.364013671875, 531.837158203125]","[3322.166748046875, 493.1330261230469]","[3296.364013671875, 506.0343933105469]","[3412.476318359375, 506.0343933105469]","[3451.180419921875, 531.837158203125]","[3412.476318359375, 699.5549926757812]","[3438.279052734375, 699.5549926757812]","[3193.153076171875, 867.2727661132812]","[3218.955810546875, 841.4700317382812]","[2986.731201171875, 983.3850708007812]","[3012.533935546875, 970.4837036132812]","[3347.969482421875, 1189.8070068359375]","[3373.772216796875, 1189.8070068359375]","[3347.969482421875, 1589.7496337890625]","[3335.068115234375, 1576.8482666015625]","[3425.377685546875, 2041.297607421875]","[3386.673583984375, 2002.593505859375]"
"[3296.036376953125, 532.0189819335938]","[3321.836181640625, 493.3192138671875]","[3296.036376953125, 506.2191467285156]","[3412.1357421875, 506.2191467285156]","[3450.83544921875, 532.0189819335938]","[3412.1357421875, 699.7180786132812]","[3437.935546875, 699.7180786132812]","[3192.8369140625, 867.4171142578125]","[3218.63671875, 841.6173095703125]","[2973.5380859375, 983.5164794921875]","[3012.23779296875, 970.6165771484375]","[3347.635986328125, 1189.915283203125]","[3373.435791015625, 1189.915283203125]","[3347.635986328125, 1589.81298828125]","[3334.736083984375, 1576.9130859375]","[3425.03564453125, 2041.310302734375]","[3386.335693359375, 2002.610595703125]"
"[3292.393310546875, 527.3598022460938]","[3318.063720703125, 488.8545227050781]","[3305.228515625, 501.6896057128906]","[3407.9091796875, 501.6896057128906]","[3446.41455078125, 540.1949462890625]","[3407.9091796875, 707.0510864257812]","[3433.579345703125, 694.2160034179688]","[3176.877685546875, 873.9072875976562]","[3215.3828125, 848.2371215820312]","[2971.51611328125, 989.4231567382812]","[2997.186279296875, 976.5880126953125]","[3356.56884765625, 1194.7845458984375]","[3369.404052734375, 1194.7845458984375]","[3343.733642578125, 1592.67236328125]","[3343.733642578125, 1579.83740234375]","[3420.744384765625, 2041.900390625]","[3395.07421875, 2016.2303466796875]"
"[3287.238037109375, 511.4908752441406]","[3312.560302734375, 473.5075378417969]","[3287.238037109375, 473.5075378417969]","[3401.18798828125, 473.5075378417969]","[3401.18798828125, 511.4908752441406]","[3413.84912109375, 650.7630004882812]","[3401.18798828125, 650.7630004882812]","[3135.304931640625, 663.424072265625]","[3135.304931640625, 676.085205078125]","[2932.727294921875, 536.8130493164062]","[2970.710693359375, 587.4574584960938]","[3363.204833984375, 1182.529052734375]","[3325.221435546875, 1169.867919921875]","[3325.221435546875, 1575.023193359375]","[3325.221435546875, 1575.023193359375]","[3388.52685546875, 2005.500732421875]","[3363.204833984375, 1967.517333984375]"
"[3285.177490234375, 510.392333984375]","[3310.516357421875, 472.38372802734375]","[3285.177490234375, 472.38372802734375]","[3399.203125, 472.38372802734375]","[3399.203125, 510.392333984375]","[3411.872802734375, 649.75732421875]","[3386.53369140625, 662.4268798828125]","[3133.142822265625, 662.4268798828125]","[3145.812255859375, 687.7659912109375]","[2930.43017578125, 535.7313842773438]","[2968.438720703125, 586.4096069335938]","[3361.194580078125, 1181.878173828125]","[3323.18603515625, 1169.20849609375]","[3335.85546875, 1574.634033203125]","[3323.18603515625, 1574.634033203125]","[3386.53369140625, 2005.3984375]","[3373.864013671875, 1980.059326171875]"
"[3272.88623046875, 504.5780334472656]","[3298.711669921875, 465.83978271484375]","[3259.9736328125, 478.7525329589844]","[3389.100830078125, 465.83978271484375]","[3247.060791015625, 607.8799438476562]","[3414.926513671875, 646.6181640625]","[3337.449951171875, 646.6181640625]","[3130.84619140625, 569.1417846679688]","[3117.933349609375, 582.0545043945312]","[3001.71875, 375.45062255859375]","[3027.544189453125, 427.1015625]","[3363.275390625, 1150.215087890625]","[3298.711669921875, 1137.30224609375]","[3337.449951171875, 1563.422607421875]","[3311.62451171875, 1550.510009765625]","[3376.188232421875, 2002.455810546875]","[3337.449951171875, 1976.630126953125]"
"[3270.483642578125, 493.1004943847656]","[3297.11181640625, 453.1580810546875]","[3257.16943359375, 453.1580810546875]","[3363.6826171875, 453.1580810546875]","[3257.16943359375, 439.8439025878906]","[3403.625, 626.241943359375]","[3323.740234375, 626.241943359375]","[3150.65625, 493.1004943847656]","[3137.342041015625, 493.1004943847656]","[3110.7138671875, 280.07415771484375]","[3097.399658203125, 320.0166015625]","[3350.368408203125, 1132.179443359375]","[3323.740234375, 1132.179443359375]","[3323.740234375, 1558.2320556640625]","[3323.740234375, 1558.2320556640625]","[3363.6826171875, 1984.28466796875]","[3363.6826171875, 1970.9703369140625]"
"[3227.146484375, 484.1256408691406]","[3267.627685546875, 443.6444091796875]","[3227.146484375, 443.6444091796875]","[3348.590087890625, 457.1381530761719]","[3294.615234375, 457.1381530761719]","[3389.071533203125, 632.556884765625]","[3281.121337890625, 619.0631713867188]","[3200.158935546875, 443.6444091796875]","[3173.17138671875, 457.1381530761719]","[3213.652587890625, 254.7318572998047]","[3173.17138671875, 268.2256164550781]","[3348.590087890625, 1118.3319091796875]","[3294.615234375, 1118.3319091796875]","[3321.602783203125, 1550.1318359375]","[3321.602783203125, 1563.6256103515625]","[3362.083984375, 1981.9317626953125]","[3348.590087890625, 1968.43798828125]"
"[3227.259033203125, 484.1256408691406]","[3267.740478515625, 443.6444091796875]","[3227.259033203125, 443.6444091796875]","[3348.702880859375, 457.1381530761719]","[3308.2216796875, 457.1381530761719]","[3389.18408203125, 632.556884765625]","[3281.234130859375, 619.0631713867188]","[3200.271728515625, 443.6444091796875]","[3159.790283203125, 457.1381530761719]","[3200.271728515625, 254.7318572998047]","[3173.2841796875, 268.2256164550781]","[3348.702880859375, 1118.3319091796875]","[3294.727783203125, 1104.838134765625]","[3321.71533203125, 1550.1318359375]","[3321.71533203125, 1563.6256103515625]","[3362.196533203125, 1981.9317626953125]","[3348.702880859375, 1968.43798828125]"
"[3213.91748046875, 484.1256408691406]","[3240.905029296875, 457.1381530761719]","[3213.91748046875, 470.63189697265625]","[3308.373779296875, 457.1381530761719]","[3281.38623046875, 443.6444091796875]","[3375.842529296875, 632.556884765625]","[3281.38623046875, 632.556884765625]","[3308.373779296875, 430.150634765625]","[3240.905029296875, 403.1631164550781]","[3375.842529296875, 281.7193603515625]","[3348.855224609375, 268.2256164550781]","[3321.86767578125, 1118.3319091796875]","[3294.880126953125, 1118.3319091796875]","[3321.86767578125, 1563.6256103515625]","[3321.86767578125, 1563.6256103515625]","[3362.348876953125, 1995.425537109375]","[3348.855224609375, 1981.9317626953125]"
